date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-06-19,Virtus Bologna,Trentino,34.10958904109589,1,28,0,1,0.000,0,1,0.0,0,0,0.0,1,2,3,0,1,0,0,3,0,0.3999999999999999,-1
2018-10-02,Virtus Bologna,Capo d'Orlando,33.397260273972606,1,17,3,4,0.750,0,1,0.0,0,0,0.0,2,1,3,0,1,0,2,2,6,4.300000000000001,21
2018-11-11,Virtus Bologna,Pesaro,33.50684931506849,1,25,2,4,0.500,1,2,0.5,1,1,1.0,1,0,1,0,3,1,1,0,6,7.4,8
2019-08-26,Virtus Bologna,Sassari,34.295890410958904,1,18,3,7,0.429,2,6,0.333,0,0,0.0,0,4,4,0,0,0,0,3,8,4.3,11
2019-08-18,Virtus Bologna,Venezia,34.273972602739725,1,17,2,4,0.500,2,4,0.5,0,0,0.0,3,1,4,0,0,0,1,2,6,4.6,-10
2018-09-16,Virtus Bologna,Milano,33.35342465753425,1,24,3,4,0.750,2,3,0.667,2,2,1.0,0,2,2,0,1,0,2,4,10,6.399999999999999,0
2019-07-11,Virtus Bologna,Brescia,34.16986301369863,1,25,1,4,0.250,1,4,0.25,1,1,1.0,1,0,1,0,1,0,2,0,4,1.3000000000000007,1
2019-04-20,Virtus Bologna,Brindisi,33.945205479452056,1,33,3,7,0.429,2,6,0.333,2,2,1.0,0,5,5,1,0,0,1,3,10,6.3,-1
2019-04-23,Virtus Bologna,Cremona,33.95342465753425,1,24,2,6,0.333,2,5,0.4,0,2,0.0,0,4,4,3,2,0,0,2,6,6.3,-5
2018-11-11,Virtus Bologna,Cantù,33.50684931506849,0,15,3,4,0.750,1,2,0.5,0,0,0.0,0,1,1,2,0,0,0,1,7,6.699999999999999,-14
2018-09-21,Virtus Bologna,Torino,33.367123287671234,0,15,2,6,0.333,1,2,0.5,2,2,1.0,2,1,3,0,1,0,0,2,7,5.5,-2
2018-12-08,Virtus Bologna,Varese,33.58082191780822,0,12,0,3,0.000,0,2,0.0,0,0,0.0,1,1,2,0,2,0,1,1,0,-0.49999999999999967,-12
2019-02-28,Virtus Bologna,Pistoia,33.8054794520548,0,13,2,4,0.500,2,4,0.5,0,0,0.0,2,0,2,0,2,0,0,1,6,7.0,-1
2018-09-26,Virtus Bologna,Avellino,33.38082191780822,1,18,1,3,0.333,1,2,0.5,1,2,0.5,0,3,3,0,0,0,0,1,4,2.400000000000001,-15
2019-06-18,Virtus Bologna,Trentino,34.106849315068494,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-04-16,Virtus Bologna,Capo d'Orlando,33.93424657534246,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-03-19,Virtus Bologna,Pesaro,33.85753424657534,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-11-03,Virtus Bologna,Sassari,33.484931506849314,0,10,0,1,0.000,0,0,0.0,0,0,0.0,1,1,2,0,1,0,0,2,0,0.5,-8
2019-05-27,Virtus Bologna,Venezia,34.04657534246575,0,27,1,3,0.333,0,1,0.0,0,0,0.0,0,4,4,0,0,0,1,1,2,0.10000000000000009,-2
2019-01-12,Virtus Bologna,Milano,33.676712328767124,0,16,2,4,0.500,2,3,0.667,0,0,0.0,0,0,0,0,0,0,0,1,6,3.6,-16
2019-02-14,Virtus Bologna,Brescia,33.76712328767123,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-05-04,Virtus Bologna,Brindisi,33.983561643835614,0,15,3,7,0.429,2,5,0.4,2,3,0.667,0,0,0,0,0,0,0,0,10,5.8999999999999995,6
2018-10-23,Virtus Bologna,Cremona,33.45479452054794,0,21,3,7,0.429,1,4,0.25,0,0,0.0,2,3,5,0,0,0,2,0,7,3.5999999999999996,6
2018-09-23,Virtus Bologna,Cantù,33.37260273972603,0,7,0,1,0.000,0,1,0.0,2,2,1.0,1,0,1,0,0,0,0,1,2,1.6,-5
2019-08-17,Virtus Bologna,Varese,34.27123287671233,0,15,0,1,0.000,0,1,0.0,2,2,1.0,0,2,2,1,0,0,1,1,2,1.1999999999999997,-3
2019-08-20,Virtus Bologna,Pistoia,34.27945205479452,0,16,2,6,0.333,1,3,0.333,1,1,1.0,1,1,2,0,1,0,3,0,6,1.6000000000000005,1
2018-12-16,Virtus Bologna,Avellino,33.602739726027394,0,16,2,3,0.667,0,1,0.0,0,0,0.0,1,1,2,0,0,0,0,1,4,3.3000000000000003,-4
2019-06-29,Virtus Bologna,Reggio Emilia,34.136986301369866,0,21,2,3,0.667,1,2,0.5,2,2,1.0,0,0,0,1,1,0,0,2,7,6.6000000000000005,-9
2019-06-12,Cantù,Virtus Bologna,34.09041095890411,0,17,3,5,0.600,2,4,0.5,0,0,0.0,0,1,1,1,0,0,2,2,8,3.8999999999999995,5
2018-09-13,Torino,Brescia,33.345205479452055,1,11,0,0,0.000,0,0,0.0,1,2,0.5,0,0,0,0,0,0,0,0,1,0.6,-6
