date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-09-13,Avellino,Cantù,34.04657534246575,1,30,5,10,0.500,3,5,0.6,2,3,0.667,0,3,3,1,0,1,3,4,15,7.299999999999999,16
2019-04-09,Avellino,Cremona,34.61643835616439,1,23,3,8,0.375,0,1,0.0,0,0,0.0,1,3,4,0,0,1,2,5,6,-0.09999999999999964,2
2019-05-13,Avellino,Virtus Bologna,34.70958904109589,1,32,3,9,0.333,0,2,0.0,2,2,1.0,2,5,7,1,0,1,3,3,8,2.999999999999999,-11
2018-09-08,Avellino,Brescia,34.032876712328765,1,30,5,14,0.357,0,6,0.0,0,1,0.0,2,3,5,3,1,0,1,2,10,5.400000000000001,13
2019-04-07,Avellino,Trentino,34.61095890410959,1,26,4,9,0.444,2,4,0.5,0,0,0.0,2,8,10,5,2,1,2,0,10,13.299999999999999,31
2019-07-15,Avellino,Varese,34.88219178082192,1,33,6,10,0.600,4,5,0.8,2,2,1.0,1,3,4,1,1,0,2,1,18,14.3,9
2018-11-05,Avellino,Reggio Emilia,34.19178082191781,1,24,8,9,0.889,3,4,0.75,0,0,0.0,0,5,5,1,1,1,1,1,19,18.4,23
2019-08-20,Avellino,Pesaro,34.98082191780822,1,36,8,16,0.500,2,6,0.333,2,3,0.667,0,7,7,3,0,0,0,3,20,14.599999999999998,11
2018-09-09,Avellino,Trieste,34.035616438356165,1,26,3,7,0.429,2,4,0.5,0,0,0.0,0,7,7,1,2,0,2,1,8,6.699999999999999,-28
2018-12-22,Avellino,Sassari,34.32054794520548,1,38,9,15,0.600,4,5,0.8,0,1,0.0,1,4,5,5,1,1,1,2,22,20.0,6
2018-10-28,Avellino,Torino,34.16986301369863,1,34,6,14,0.429,3,7,0.429,2,2,1.0,0,7,7,4,2,0,3,2,17,12.7,16
2018-10-20,Avellino,Milano,34.14794520547945,1,32,4,8,0.500,0,2,0.0,1,2,0.5,1,5,6,2,1,0,3,4,9,4.6,-6
2018-09-15,Avellino,Brindisi,34.05205479452055,1,35,4,11,0.364,2,5,0.4,6,7,0.857,1,4,5,3,1,0,1,0,16,13.5,-2
2018-11-13,Avellino,Pistoia,34.21369863013699,1,36,8,14,0.571,1,5,0.2,3,4,0.75,1,10,11,6,1,1,0,4,20,20.999999999999996,11
2019-03-12,Avellino,Venezia,34.53972602739726,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-01-15,Avellino,Pesaro,34.38630136986301,1,30,6,9,0.667,3,5,0.6,2,2,1.0,3,4,7,1,0,0,2,1,17,14.7,-6
2018-11-03,Avellino,Trieste,34.18630136986302,1,28,6,13,0.462,1,5,0.2,1,2,0.5,2,1,3,0,0,0,1,4,14,6.0,-8
2019-02-22,Avellino,Sassari,34.49041095890411,1,31,6,9,0.667,4,5,0.8,0,0,0.0,2,1,3,4,0,0,0,2,16,15.799999999999997,-23
2018-10-19,Avellino,Torino,34.14520547945205,1,17,3,3,1.000,2,2,1.0,0,0,0.0,0,0,0,6,0,0,1,1,8,9.899999999999999,15
2019-02-17,Avellino,Milano,34.47671232876712,1,31,2,7,0.286,1,3,0.333,2,2,1.0,0,6,6,2,0,0,4,3,7,0.8999999999999995,-9
2019-03-24,Avellino,Brindisi,34.57260273972603,1,22,2,9,0.222,1,2,0.5,1,2,0.5,3,1,4,0,0,0,2,2,6,-0.3000000000000005,-16
2019-05-16,Avellino,Pistoia,34.71780821917808,1,10,2,5,0.400,0,2,0.0,0,0,0.0,1,1,2,1,0,0,0,1,4,2.6,12
