date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-08-29,Avellino,Torino,26.164383561643834,1,11,1,4,0.250,0,2,0.0,0,0,0.0,0,0,0,2,1,1,0,1,2,2.3000000000000003,-8
2019-06-05,Avellino,Milano,25.93150684931507,0,17,3,7,0.429,2,2,1.0,1,2,0.5,1,0,1,2,1,0,0,4,9,6.4,17
2018-11-30,Avellino,Pistoia,25.41917808219178,1,32,6,13,0.462,0,2,0.0,7,9,0.778,1,5,6,3,5,0,0,3,19,19.599999999999998,20
2019-02-06,Avellino,Pesaro,25.605479452054794,1,15,0,2,0.000,0,0,0.0,0,2,0.0,0,0,0,1,0,0,0,1,0,-1.9000000000000004,-4
2019-02-28,Avellino,Brescia,25.665753424657535,1,15,0,3,0.000,0,2,0.0,3,4,0.75,1,0,1,4,0,0,1,5,3,1.0,13
2019-06-07,Avellino,Varese,25.936986301369863,1,15,0,4,0.000,0,2,0.0,3,6,0.5,0,1,1,2,0,1,0,1,3,0.9999999999999999,-3
2019-05-05,Avellino,Reggio Emilia,25.846575342465755,1,16,0,2,0.000,0,1,0.0,2,2,1.0,0,3,3,2,0,0,3,3,2,-1.3000000000000003,-1
2019-05-29,Avellino,Sassari,25.912328767123288,0,8,0,1,0.000,0,1,0.0,0,2,0.0,1,0,1,0,0,0,0,1,0,-1.2000000000000002,-9
2018-12-27,Avellino,Brindisi,25.493150684931507,1,18,2,5,0.000,0,0,0.0,0,0,0.0,0,3,3,2,2,1,3,2,4,2.5,1
2018-11-01,Avellino,Venezia,25.339726027397262,0,5,1,2,0.500,0,1,0.0,0,0,0.0,0,2,2,0,0,0,0,1,2,1.2000000000000002,-5
2019-08-02,Avellino,Cantù,26.09041095890411,1,15,2,4,0.500,0,1,0.0,3,4,0.75,1,1,2,2,0,0,0,4,7,5.4,0
2018-11-15,Avellino,Cremona,25.378082191780823,1,26,8,14,0.571,1,5,0.2,3,6,0.5,2,1,3,2,1,0,2,3,20,13.100000000000001,15
2019-08-10,Avellino,Capo d'Orlando,26.112328767123287,1,20,1,4,0.000,0,0,0.0,3,4,0.75,1,1,2,3,0,1,0,2,5,5.2,7
2019-07-06,Avellino,Caserta,26.016438356164382,1,15,0,2,0.000,0,2,0.0,2,2,1.0,1,1,2,0,1,0,1,2,2,0.8,-3
2019-01-07,Avellino,Trentino,25.523287671232875,1,21,2,4,0.500,1,1,1.0,3,4,0.75,1,1,2,3,0,0,0,1,8,8.299999999999999,7
2019-04-25,Avellino,Torino,25.81917808219178,1,13,2,4,0.500,0,1,0.0,0,0,0.0,0,4,4,1,1,0,3,2,4,1.1000000000000005,-2
2019-01-26,Avellino,Milano,25.575342465753426,1,24,5,9,0.556,3,5,0.6,1,2,0.5,0,1,1,1,4,0,3,4,14,9.7,4
2018-11-25,Avellino,Pistoia,25.405479452054795,1,28,4,11,0.364,0,3,0.0,3,3,1.0,0,2,2,1,0,0,3,2,11,2.4000000000000004,-3
2018-12-16,Avellino,Pesaro,25.46301369863014,1,22,3,7,0.429,2,3,0.667,0,0,0.0,1,6,7,1,1,0,3,1,8,5.1,11
2019-06-21,Avellino,Reggio Emilia,25.975342465753425,0,11,2,3,0.000,0,0,0.0,4,4,1.0,0,1,1,0,1,0,0,2,8,7.2,-1
2019-01-05,Avellino,Sassari,25.517808219178082,0,14,2,2,0.000,0,0,0.0,0,1,0.0,0,2,2,2,1,1,1,1,4,5.3,10
2019-05-24,Avellino,Brindisi,25.898630136986302,0,9,1,7,0.143,0,2,0.0,0,0,0.0,0,1,1,0,1,0,0,2,2,-1.9999999999999998,0
2019-04-14,Avellino,Venezia,25.78904109589041,0,5,0,1,0.000,0,0,0.0,2,2,1.0,0,0,0,0,0,0,0,1,2,0.9,-7
2019-01-29,Avellino,Cantù,25.583561643835615,0,9,0,3,0.000,0,1,0.0,0,0,0.0,0,2,2,2,0,0,0,1,0,-0.49999999999999967,-8
2019-06-18,Avellino,Cremona,25.96712328767123,0,11,3,4,0.750,0,1,0.0,0,0,0.0,0,2,2,1,0,0,0,1,6,5.3,-3
2019-04-16,Avellino,Trentino,25.794520547945204,0,17,3,4,0.750,1,1,1.0,0,2,0.0,0,3,3,0,0,0,2,2,7,2.7,1
