date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-03-17,Pistoia,Trieste,28.112328767123287,1,24,0,5,0.000,0,2,0.0,1,2,0.5,0,1,1,4,0,0,1,3,1,-2.0000000000000004,-12
2018-12-27,Pistoia,Cremona,27.893150684931506,1,28,0,5,0.000,0,3,0.0,0,0,0.0,1,5,6,3,0,0,5,3,0,-5.4,-9
2019-06-28,Pistoia,Sassari,28.394520547945206,1,27,2,7,0.286,1,3,0.333,1,2,0.5,0,2,2,1,2,0,2,3,6,1.6000000000000005,1
2019-01-08,Pistoia,Reggio Emilia,27.926027397260274,1,28,3,5,0.600,1,1,1.0,2,2,1.0,0,2,2,2,0,0,1,3,9,6.499999999999999,0
2019-01-21,Pistoia,Brescia,27.96164383561644,1,22,2,4,0.500,2,4,0.5,1,2,0.5,0,5,5,2,1,0,0,1,7,8.1,-4
2018-12-12,Pistoia,Virtus Bologna,27.852054794520548,1,22,0,3,0.000,0,3,0.0,0,0,0.0,0,0,0,1,2,0,1,3,0,-1.5999999999999999,8
2019-03-03,Pistoia,Torino,28.073972602739726,1,28,1,5,0.200,0,2,0.0,2,2,1.0,1,7,8,3,1,0,0,4,4,5.199999999999999,-1
2019-06-06,Pistoia,Trentino,28.334246575342465,1,23,0,3,0.000,0,2,0.0,0,0,0.0,0,2,2,2,1,0,1,3,0,-1.2999999999999998,4
2018-10-15,Pistoia,Cantù,27.693150684931506,0,21,3,7,0.429,2,5,0.4,0,0,0.0,2,1,3,0,1,0,2,3,8,3.799999999999999,-6
2019-04-07,Pistoia,Varese,28.16986301369863,0,20,0,2,0.000,0,1,0.0,3,3,1.0,0,5,5,1,1,1,1,3,3,3.3,-16
2019-05-16,Pistoia,Avellino,28.276712328767122,0,30,4,8,0.500,1,4,0.25,3,4,0.75,0,7,7,2,2,0,2,2,12,10.299999999999999,-11
