date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-04-17,Varese,Venezia,28.03835616438356,1,30,3,10,0.300,0,5,0.0,0,0,0.0,3,4,7,1,1,1,2,2,6,3.1000000000000005,-11
2018-09-19,Varese,Milano,27.46301369863014,1,23,5,8,0.625,2,3,0.667,2,2,1.0,0,1,1,0,1,0,1,5,14,8.700000000000001,-8
2019-03-02,Varese,Cantù,27.912328767123288,1,32,6,15,0.400,4,8,0.5,6,8,0.75,3,15,18,3,2,0,2,1,22,21.4,22
2019-04-06,Varese,Brescia,28.008219178082193,1,27,6,17,0.353,1,9,0.111,0,0,0.0,2,3,5,1,3,0,3,3,13,5.300000000000001,-15
2019-08-15,Varese,Pistoia,28.367123287671234,1,25,3,9,0.333,0,2,0.0,3,4,0.75,0,3,3,2,1,0,1,3,9,4.599999999999999,-12
2019-01-22,Varese,Trentino,27.805479452054794,1,35,7,11,0.636,2,4,0.5,2,2,1.0,4,7,11,2,1,1,1,1,18,19.700000000000003,31
2018-11-24,Varese,Avellino,27.643835616438356,1,32,4,9,0.444,2,4,0.5,0,0,0.0,2,4,6,0,0,0,1,2,10,6.1,-10
2018-12-27,Varese,Sassari,27.734246575342468,1,31,4,11,0.364,2,4,0.5,1,1,1.0,3,6,9,1,1,0,1,3,11,8.3,-17
2019-07-15,Varese,Pesaro,28.28219178082192,1,34,7,16,0.438,4,9,0.444,4,5,0.8,1,7,8,1,0,1,0,5,22,15.399999999999999,-3
2019-01-30,Varese,Capo d'Orlando,27.827397260273973,1,26,5,9,0.556,2,3,0.667,2,2,1.0,1,4,5,1,0,0,3,1,14,8.899999999999997,0
2018-09-07,Varese,Reggio Emilia,27.43013698630137,1,28,2,12,0.167,0,3,0.0,4,4,1.0,1,4,5,2,0,0,1,0,8,2.700000000000002,-2
2018-12-08,Varese,Virtus Bologna,27.682191780821917,1,36,7,19,0.368,3,10,0.3,1,3,0.333,2,6,8,1,2,0,2,5,18,8.600000000000001,1
2019-06-29,Varese,Brindisi,28.23835616438356,1,41,12,16,0.750,3,5,0.6,2,3,0.667,3,12,15,1,2,0,2,4,29,26.999999999999996,-12
2018-12-25,Varese,Cremona,27.72876712328767,1,30,0,8,0.000,0,6,0.0,2,2,1.0,0,7,7,0,1,0,3,4,2,-5.1,-2
2019-03-03,Varese,Venezia,27.915068493150685,1,33,3,7,0.429,1,3,0.333,7,7,1.0,1,7,8,1,1,0,5,0,14,9.799999999999999,12
2018-10-05,Varese,Milano,27.506849315068493,1,32,2,8,0.250,2,3,0.667,1,2,0.5,0,5,5,1,2,0,2,2,7,3.200000000000001,-2
2018-12-12,Varese,Cantù,27.693150684931506,1,33,4,10,0.400,3,4,0.75,2,4,0.5,1,11,12,1,2,0,3,3,13,9.3,6
2018-12-25,Varese,Brescia,27.72876712328767,1,27,5,10,0.500,4,7,0.571,4,4,1.0,2,9,11,4,0,0,2,2,18,17.1,26
2019-01-22,Varese,Pistoia,27.805479452054794,1,40,9,17,0.529,3,5,0.6,2,2,1.0,5,5,10,4,1,0,3,1,23,20.100000000000005,-8
2018-09-02,Varese,Trentino,27.416438356164385,1,35,7,16,0.438,5,9,0.556,0,2,0.0,0,4,4,1,0,1,1,1,19,10.999999999999998,-9
2019-08-16,Varese,Avellino,28.36986301369863,1,37,9,12,0.750,6,8,0.75,2,2,1.0,1,7,8,3,2,0,0,3,26,26.900000000000002,17
2019-04-16,Varese,Sassari,28.035616438356165,1,36,9,14,0.643,5,8,0.625,4,5,0.8,0,3,3,2,2,1,4,2,27,20.6,16
2019-07-08,Varese,Pesaro,28.263013698630136,1,21,3,9,0.333,1,5,0.2,2,2,1.0,0,5,5,1,0,0,1,4,9,3.5,10
2019-07-15,Varese,Capo d'Orlando,28.28219178082192,1,33,7,21,0.333,4,8,0.5,0,0,0.0,3,3,6,0,1,1,2,4,18,7.200000000000001,10
2019-08-17,Varese,Virtus Bologna,28.372602739726027,1,32,3,12,0.250,3,9,0.333,0,0,0.0,1,5,6,0,1,2,2,3,9,3.2,-11
2018-12-14,Varese,Brindisi,27.698630136986303,1,29,2,10,0.200,0,5,0.0,0,0,0.0,2,3,5,1,2,0,1,2,4,0.9999999999999998,1
2018-09-12,Varese,Cremona,27.443835616438356,1,35,8,19,0.421,3,9,0.333,3,4,0.75,1,6,7,4,0,0,1,1,22,15.400000000000002,10
2019-08-24,Varese,Torino,28.39178082191781,1,30,7,14,0.500,4,9,0.444,5,6,0.833,0,7,7,3,0,0,4,3,23,14.599999999999998,2
2019-05-21,Reggio Emilia,Brindisi,28.13150684931507,1,29,7,15,0.467,2,7,0.286,4,4,1.0,5,5,10,2,0,1,0,4,20,17.799999999999997,3
2018-10-04,Avellino,Cremona,27.504109589041096,1,35,4,11,0.364,2,4,0.5,4,4,1.0,3,5,8,3,0,0,3,3,14,9.399999999999999,0
