date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-10-08,Varese,Cremona,24.06027397260274,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-07-09,Sassari,Brescia,24.81095890410959,0,1,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-12-21,Pistoia,Capo d'Orlando,24.263013698630136,0,2,0,1,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0,-1.5,3
2018-09-01,Pistoia,Brindisi,23.958904109589042,0,1,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-05-02,Pistoia,Cremona,24.624657534246577,0,1,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-0.4,0
2018-09-10,Pistoia,Avellino,23.983561643835618,0,3,0,1,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-1.1,4
2019-08-15,Pistoia,Varese,24.912328767123288,0,4,0,1,0.000,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0,-1.5,-4
2019-02-23,Pistoia,Cantù,24.438356164383563,0,1,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-1
2018-11-28,Pistoia,Reggio Emilia,24.2,0,6,0,0,0.000,0,0,0.0,3,3,1.0,0,0,0,0,0,0,1,1,3,1.6,0
2018-09-02,Pistoia,Venezia,23.96164383561644,0,2,0,1,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.7,0
2019-04-23,Pistoia,Torino,24.6,0,1,0,2,0.000,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-1.0999999999999999,-1
2019-05-29,Pistoia,Pesaro,24.698630136986303,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-03-26,Pistoia,Sassari,24.523287671232875,0,1,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-03-16,Pistoia,Trentino,24.495890410958904,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-02-28,Pistoia,Virtus Bologna,24.45205479452055,0,1,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-3
2019-01-23,Pistoia,Milano,24.353424657534248,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-10-10,Pistoia,Capo d'Orlando,24.065753424657533,0,3,0,0,0.000,0,0,0.0,0,2,0.0,0,1,1,1,0,0,0,2,0,-0.6000000000000001,1
2019-05-15,Pistoia,Brindisi,24.66027397260274,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-01-06,Pistoia,Cremona,24.306849315068494,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-07-17,Pistoia,Avellino,24.83287671232877,0,6,1,3,0.333,0,1,0.0,0,0,0.0,0,0,0,0,1,0,0,1,2,0.9000000000000002,-5
2019-01-22,Pistoia,Varese,24.350684931506848,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-11-23,Pistoia,Cantù,24.186301369863013,0,1,1,1,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,1.7,1
2019-02-10,Pistoia,Reggio Emilia,24.4027397260274,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-01-06,Pistoia,Venezia,24.306849315068494,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-06-23,Pistoia,Torino,24.767123287671232,1,4,0,1,0.000,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,2,0,-0.8,2
2019-08-26,Pistoia,Pesaro,24.942465753424656,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-04-16,Pistoia,Trentino,24.58082191780822,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-08-20,Pistoia,Virtus Bologna,24.926027397260274,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-04-07,Pistoia,Milano,24.556164383561644,0,4,0,0,0.000,0,0,0.0,0,2,0.0,0,0,0,0,0,0,0,1,0,-1.2000000000000002,2
2019-07-08,Pistoia,Brescia,24.808219178082194,0,2,0,1,0.000,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.7,-2
