date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-10-28,Virtus Bologna,Trieste,18.980821917808218,0,8,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,2,0,0,1,2,0,-0.40000000000000013,4
2019-06-26,Virtus Bologna,Milano,19.64109589041096,0,7,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,1,0,-1.4,-10
2019-05-13,Virtus Bologna,Avellino,19.52054794520548,0,6,0,1,0.000,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,0.0,-9
2019-07-15,Virtus Bologna,Cremona,19.693150684931506,0,7,1,2,0.500,0,1,0.0,1,2,0.5,0,0,0,0,2,0,0,2,3,2.8,5
2019-06-29,Virtus Bologna,Venezia,19.649315068493152,0,9,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,1,0,0,1,1,0,-0.7000000000000001,-16
2019-03-11,Virtus Bologna,Cantù,19.34794520547945,0,15,0,0,0.000,0,0,0.0,0,0,0.0,1,1,2,0,0,0,1,2,0,-0.8,9
2018-11-03,Virtus Bologna,Torino,18.997260273972604,0,8,1,2,0.500,1,2,0.5,0,0,0.0,0,2,2,0,0,0,2,1,3,0.20000000000000018,4
2019-05-24,Virtus Bologna,Pesaro,19.55068493150685,0,18,1,4,0.250,0,2,0.0,0,0,0.0,0,3,3,1,3,0,0,2,2,3.4000000000000004,-5
2018-12-06,Virtus Bologna,Sassari,19.087671232876712,0,19,1,2,0.000,0,0,0.0,0,0,0.0,0,0,0,1,0,1,1,2,2,0.5999999999999999,-14
2019-02-09,Virtus Bologna,Pistoia,19.265753424657536,0,14,0,0,0.000,0,0,0.0,0,0,0.0,0,1,1,3,1,0,1,3,0,1.1999999999999993,-6
2019-02-09,Virtus Bologna,Brindisi,19.265753424657536,0,17,0,1,0.000,0,1,0.0,0,0,0.0,0,2,2,1,0,0,0,5,0,-1.4,7
2019-07-24,Virtus Bologna,Reggio Emilia,19.71780821917808,0,13,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,1,0,1,1,4,0,-1.2000000000000002,2
2019-07-26,Virtus Bologna,Trentino,19.723287671232878,0,15,0,2,0.000,0,1,0.0,0,0,0.0,0,3,3,1,0,0,3,3,0,-4.0,-14
2019-05-16,Virtus Bologna,Brescia,19.528767123287672,0,8,0,0,0.000,0,0,0.0,2,2,1.0,0,0,0,2,2,0,1,1,2,4.0,-3
2018-11-21,Virtus Bologna,Varese,19.046575342465754,0,8,0,0,0.000,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,1,0,0.6,-1
2018-10-27,Virtus Bologna,Trieste,18.97808219178082,0,11,0,0,0.000,0,0,0.0,1,4,0.25,0,1,1,2,2,1,1,3,1,1.9999999999999991,0
2019-08-18,Virtus Bologna,Milano,19.786301369863015,0,18,0,4,0.000,0,2,0.0,0,0,0.0,0,1,1,1,2,0,1,4,0,-2.4000000000000004,-15
2019-03-01,Virtus Bologna,Avellino,19.32054794520548,0,25,2,4,0.500,2,3,0.667,2,2,1.0,2,3,5,2,3,0,1,3,8,10.5,3
2019-03-10,Virtus Bologna,Cremona,19.345205479452055,0,10,0,2,0.000,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,1,0,-2.5,3
