date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-01-30,Cantù,Milano,26.17808219178082,1,22,1,5,0.200,1,3,0.333,0,0,0.0,1,1,2,1,1,0,0,3,3,1.3999999999999995,-7
2019-06-22,Cantù,Brescia,26.56986301369863,1,25,3,7,0.429,2,5,0.4,0,0,0.0,3,0,3,0,2,0,1,1,8,6.999999999999998,-19
2019-06-14,Cantù,Venezia,26.54794520547945,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-12-17,Cantù,Pistoia,26.057534246575344,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-10-15,Cantù,Torino,25.884931506849316,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-08-03,Cantù,Sassari,26.684931506849317,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-12-05,Cantù,Avellino,26.024657534246575,0,6,0,1,0.000,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.7,2
2019-05-03,Cantù,Trentino,26.432876712328767,0,2,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0,-0.8,2
2018-11-05,Cantù,Cremona,25.942465753424656,0,9,0,1,0.000,0,1,0.0,0,0,0.0,0,1,1,1,0,0,0,3,0,-0.9000000000000001,-9
2018-10-07,Cantù,Reggio Emilia,25.863013698630137,0,11,2,2,1.000,2,2,1.0,0,0,0.0,2,1,3,1,0,0,0,5,6,5.800000000000001,17
2019-01-21,Cantù,Brindisi,26.153424657534245,0,13,1,2,0.500,1,1,1.0,0,0,0.0,1,1,2,0,0,0,0,2,3,2.2,4
2018-09-02,Cantù,Virtus Bologna,25.767123287671232,0,20,0,1,0.000,0,1,0.0,0,0,0.0,0,1,1,1,1,1,0,3,0,0.7999999999999998,-8
