date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-08-12,Trentino,Cremona,28.67945205479452,0,8,0,1,0.000,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,-0.8,0
2019-04-09,Trentino,Cantù,28.336986301369862,1,24,3,7,0.429,1,1,1.0,2,2,1.0,1,2,3,2,1,0,0,3,9,7.8,-7
2019-08-21,Trentino,Varese,28.704109589041096,1,23,3,5,0.600,0,1,0.0,0,0,0.0,1,3,4,1,1,1,1,3,6,5.500000000000001,-3
2019-01-29,Trentino,Venezia,28.145205479452056,1,26,3,7,0.000,0,0,0.0,2,2,1.0,3,3,6,4,0,0,2,1,8,7.6999999999999975,-15
2019-04-07,Trentino,Avellino,28.33150684931507,1,14,1,5,0.200,0,1,0.0,0,0,0.0,1,1,2,0,0,0,2,1,2,-2.5,-25
2019-07-19,Trentino,Brescia,28.613698630136987,1,18,1,3,0.333,0,1,0.0,0,0,0.0,1,0,1,0,3,0,1,1,2,2.6,-13
2018-09-04,Trentino,Trieste,27.742465753424657,0,16,3,5,0.000,0,0,0.0,0,0,0.0,0,2,2,0,1,0,0,2,6,4.5,1
2019-05-25,Trentino,Sassari,28.46301369863014,1,27,5,8,0.625,1,1,1.0,2,2,1.0,0,2,2,2,1,0,1,2,13,10.6,4
2018-09-10,Trentino,Torino,27.758904109589043,1,23,4,7,0.571,0,1,0.0,0,0,0.0,1,1,2,1,0,1,1,3,8,4.9,-8
2018-10-14,Trentino,Reggio Emilia,27.852054794520548,1,27,5,7,0.714,0,1,0.0,0,0,0.0,1,3,4,1,1,0,1,2,10,8.6,2
2018-10-24,Trentino,Pesaro,27.87945205479452,0,24,4,8,0.500,0,2,0.0,2,4,0.5,4,4,8,1,4,0,1,0,10,12.899999999999999,17
2018-12-30,Trentino,Pistoia,28.063013698630137,1,27,4,6,0.667,0,1,0.0,1,2,0.5,1,7,8,0,0,0,0,2,9,8.0,13
2019-07-26,Trentino,Virtus Bologna,28.632876712328766,0,23,1,2,0.000,0,0,0.0,1,1,1.0,3,5,8,0,0,1,0,2,3,5.5,2
2019-04-20,Trentino,Milano,28.367123287671234,1,24,3,5,0.000,0,0,0.0,0,0,0.0,3,3,6,0,4,1,1,2,6,9.599999999999998,1
2019-07-01,Trentino,Brindisi,28.564383561643837,1,36,6,9,0.667,0,1,0.0,1,1,1.0,4,5,9,0,1,0,1,3,13,12.200000000000003,11
2019-03-13,Trentino,Cremona,28.263013698630136,1,31,5,9,0.556,0,1,0.0,2,2,1.0,2,4,6,4,0,1,1,1,12,12.399999999999997,3
2019-05-03,Trentino,Cantù,28.4027397260274,1,27,6,9,0.000,0,0,0.0,1,1,1.0,1,1,2,1,1,1,0,2,13,11.7,-7
2019-07-18,Trentino,Varese,28.61095890410959,1,23,1,3,0.000,0,0,0.0,0,0,0.0,0,0,0,3,1,1,0,2,2,3.3,7
2019-04-10,Trentino,Venezia,28.339726027397262,0,23,3,7,0.000,0,0,0.0,1,2,0.5,3,4,7,2,2,0,2,4,7,6.0,6
2019-04-27,Trentino,Avellino,28.386301369863013,0,23,2,4,0.000,0,0,0.0,0,0,0.0,0,2,2,3,0,1,1,3,4,3.1999999999999993,9
2018-09-13,Trentino,Brescia,27.767123287671232,1,17,3,7,0.000,0,0,0.0,0,0,0.0,5,1,6,1,2,0,1,1,6,7.4,1
2018-12-19,Trentino,Trieste,28.03287671232877,1,25,3,7,0.429,0,1,0.0,2,2,1.0,3,2,5,1,2,0,0,1,8,9.299999999999999,2
2018-12-31,Trentino,Sassari,28.065753424657533,1,33,5,10,0.500,0,2,0.0,2,4,0.5,3,4,7,0,1,1,0,2,12,10.399999999999999,-16
2018-09-11,Trentino,Torino,27.76164383561644,1,21,3,5,0.600,0,1,0.0,1,2,0.5,2,2,4,4,3,1,2,3,7,9.599999999999998,10
2018-10-13,Trentino,Reggio Emilia,27.84931506849315,1,26,3,7,0.429,1,2,0.5,0,0,0.0,2,3,5,0,2,1,0,1,7,7.899999999999999,-1
2018-11-15,Trentino,Pesaro,27.93972602739726,1,19,1,4,0.250,0,1,0.0,0,0,0.0,3,3,6,2,0,0,2,3,2,0.7999999999999994,-3
