date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-05-21,Brindisi,Reggio Emilia,27.791780821917808,1,35,10,18,0.556,6,8,0.75,4,4,1.0,0,4,4,5,1,0,2,4,30,23.499999999999996,7
2019-08-14,Torino,Brindisi,28.024657534246575,0,25,2,10,0.200,1,3,0.333,0,0,0.0,2,5,7,4,1,0,3,1,5,2.0999999999999996,1
2019-01-30,Torino,Sassari,27.487671232876714,1,31,8,17,0.471,2,6,0.333,2,2,1.0,2,3,5,2,7,0,4,3,20,16.8,8
2018-12-10,Torino,Avellino,27.34794520547945,1,27,6,12,0.500,2,5,0.4,1,1,1.0,1,2,3,1,3,0,1,4,15,11.399999999999999,-10
2019-08-25,Torino,Pesaro,28.054794520547944,1,32,5,10,0.500,0,4,0.0,4,4,1.0,2,4,6,6,3,0,3,1,14,15.399999999999999,1
2018-12-22,Torino,Capo d'Orlando,27.38082191780822,1,24,1,7,0.143,0,3,0.0,4,4,1.0,0,4,4,2,0,0,4,5,6,-1.8999999999999986,3
2018-12-24,Torino,Venezia,27.386301369863013,1,36,9,15,0.600,1,3,0.333,6,8,0.75,2,5,7,3,1,0,0,3,25,22.099999999999998,5
2019-08-24,Torino,Cremona,28.052054794520547,1,24,2,10,0.200,0,2,0.0,2,2,1.0,3,1,4,3,0,0,2,3,6,1.0999999999999988,-2
2019-07-16,Torino,Cantù,27.945205479452056,0,19,3,7,0.429,2,4,0.5,2,2,1.0,0,3,3,3,1,0,2,1,10,7.899999999999999,-22
2019-04-23,Torino,Pistoia,27.715068493150685,1,34,3,11,0.273,0,2,0.0,2,3,0.667,1,5,6,3,0,0,2,1,8,2.999999999999999,-15
2019-05-22,Torino,Milano,27.794520547945204,1,31,4,12,0.333,0,1,0.0,8,9,0.889,2,4,6,4,2,0,2,5,16,12.200000000000003,20
2018-09-21,Torino,Virtus Bologna,27.12876712328767,1,25,7,9,0.778,1,2,0.5,0,1,0.0,1,3,4,3,0,0,3,5,15,9.799999999999999,5
2018-11-12,Torino,Reggio Emilia,27.27123287671233,1,17,3,7,0.429,0,2,0.0,0,0,0.0,0,4,4,3,1,0,1,3,6,4.4,13
2018-11-26,Torino,Trentino,27.30958904109589,0,23,7,9,0.778,1,2,0.5,2,3,0.667,1,5,6,1,0,0,1,2,17,14.199999999999998,-14
2018-10-05,Torino,Brescia,27.167123287671235,1,35,9,11,0.818,2,3,0.667,2,3,0.667,0,4,4,6,1,0,1,0,22,22.900000000000002,9
2018-10-29,Torino,Brindisi,27.232876712328768,1,23,2,6,0.333,1,3,0.333,1,2,0.5,0,1,1,2,1,0,1,5,6,1.9000000000000004,-12
2018-09-26,Torino,Sassari,27.14246575342466,0,22,4,8,0.500,1,3,0.333,1,2,0.5,1,5,6,3,0,0,1,2,10,8.099999999999998,-14
2018-11-08,Torino,Pesaro,27.26027397260274,1,33,4,9,0.444,0,3,0.0,4,6,0.667,1,3,4,3,2,0,3,4,12,7.6,3
