date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-03-30,Capo d'Orlando,Milano,23.687671232876713,0,17,1,4,0.250,0,1,0.0,0,0,0.0,0,2,2,0,0,0,1,3,2,-2.0,-8
2019-04-13,Capo d'Orlando,Venezia,23.726027397260275,1,37,5,9,0.556,0,1,0.0,7,7,1.0,0,4,4,1,2,0,2,1,17,14.2,-8
2018-09-16,Capo d'Orlando,Torino,23.153424657534245,1,26,2,6,0.333,1,1,1.0,3,3,1.0,1,6,7,2,0,0,1,2,8,6.700000000000002,14
2018-09-28,Capo d'Orlando,Trentino,23.186301369863013,1,26,2,8,0.250,1,3,0.333,5,7,0.714,1,5,6,1,0,0,2,3,10,4.100000000000001,-16
2019-06-24,Capo d'Orlando,Caserta,23.923287671232877,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-07-29,Capo d'Orlando,Varese,24.019178082191782,0,14,2,5,0.000,0,0,0.0,0,0,0.0,2,0,2,0,2,0,1,0,4,3.6999999999999993,5
2019-02-24,Capo d'Orlando,Reggio Emilia,23.594520547945205,1,21,3,6,0.500,0,1,0.0,0,0,0.0,0,1,1,1,0,0,2,1,6,1.600000000000001,3
2019-06-06,Capo d'Orlando,Pistoia,23.873972602739727,0,11,0,1,0.000,0,0,0.0,0,0,0.0,0,0,0,0,1,0,1,1,0,-1.1,4
2019-07-08,Capo d'Orlando,Sassari,23.96164383561644,0,2,0,1,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.7,-3
2019-08-10,Capo d'Orlando,Avellino,24.052054794520547,0,10,0,2,0.000,0,1,0.0,1,2,0.5,1,0,1,2,0,0,0,1,1,0.8999999999999998,-14
2019-02-03,Capo d'Orlando,Brindisi,23.536986301369865,0,12,3,3,0.000,0,0,0.0,2,2,1.0,1,2,3,0,0,0,2,2,8,5.6000000000000005,-8
2019-08-25,Capo d'Orlando,Pesaro,24.09315068493151,0,8,0,0,0.000,0,0,0.0,0,0,0.0,0,1,1,0,1,0,2,2,0,-1.5,-4
2018-11-29,Capo d'Orlando,Milano,23.356164383561644,0,20,3,7,0.429,0,1,0.0,1,2,0.5,1,3,4,1,3,0,1,1,7,6.799999999999999,-3
2018-11-15,Capo d'Orlando,Venezia,23.317808219178083,0,18,2,2,1.000,1,1,1.0,2,2,1.0,1,3,4,3,0,0,1,1,7,8.7,2
2019-08-17,Capo d'Orlando,Torino,24.07123287671233,0,4,0,1,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-1.1,-12
2019-02-26,Capo d'Orlando,Trentino,23.6,0,3,0,0,0.000,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0,0.7,-5
2018-09-10,Capo d'Orlando,Cantù,23.136986301369863,0,7,1,1,0.000,0,0,0.0,0,0,0.0,0,0,0,1,0,0,1,1,2,1.0,3
