date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-10-07,Torino,Venezia,33.09041095890411,0,16,0,2,0.000,0,0,0.0,1,2,0.5,0,5,5,0,1,0,1,0,1,0.7000000000000002,-11
2018-10-13,Torino,Trieste,33.106849315068494,0,17,2,5,0.400,1,2,0.5,2,2,1.0,0,1,1,4,3,0,0,0,7,10.399999999999999,10
2018-10-21,Torino,Reggio Emilia,33.12876712328767,1,22,1,4,0.250,0,2,0.0,6,6,1.0,0,1,1,2,3,0,1,3,8,8.100000000000001,-1
2018-10-28,Torino,Sassari,33.14794520547945,0,26,2,6,0.333,2,3,0.667,1,2,0.5,0,3,3,4,1,0,4,2,7,3.1000000000000005,-3
2018-11-04,Torino,Milano,33.16712328767123,1,26,4,10,0.400,0,3,0.0,0,0,0.0,0,5,5,5,1,0,1,2,8,6.8,-4
2018-11-11,Torino,Brindisi,33.18630136986302,1,28,6,13,0.462,0,4,0.0,0,0,0.0,0,3,3,1,0,0,3,2,12,3.1000000000000014,-11
2018-11-18,Torino,Virtus Bologna,33.205479452054796,1,30,5,7,0.714,1,3,0.333,4,6,0.667,1,5,6,5,1,0,1,1,15,16.6,-1
2018-11-25,Torino,Brescia,33.224657534246575,1,19,1,3,0.333,0,1,0.0,0,0,0.0,0,1,1,1,0,0,2,1,2,-1.0999999999999996,-7
2018-12-08,Torino,Trentino,33.26027397260274,0,11,1,4,0.250,0,2,0.0,2,3,0.667,0,0,0,4,1,0,0,0,4,5.0,4
2018-12-16,Torino,Varese,33.28219178082192,0,13,0,1,0.000,0,1,0.0,0,0,0.0,0,2,2,3,1,0,1,0,0,1.9999999999999996,0
2018-12-23,Torino,Pistoia,33.3013698630137,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-12-26,Torino,Avellino,33.30958904109589,0,7,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,2,0,0,0,0,0,1.4,-3
2018-12-30,Torino,Cremona,33.32054794520548,0,19,3,8,0.375,2,5,0.4,2,2,1.0,0,2,2,2,1,0,0,2,10,7.8,-4
2019-01-06,Torino,Cantù,33.33972602739726,0,21,3,8,0.375,0,1,0.0,4,5,0.8,2,2,4,1,0,0,1,2,10,6.1,-3
2019-01-13,Torino,Pesaro,33.35890410958904,0,16,3,6,0.500,2,4,0.5,1,2,0.5,0,1,1,4,2,0,1,1,9,9.299999999999999,2
2019-01-20,Torino,Venezia,33.37808219178082,0,11,0,1,0.000,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,2,0,-2.2,-7
2019-01-27,Torino,Trieste,33.397260273972606,0,19,2,7,0.286,0,2,0.0,4,5,0.8,0,1,1,3,0,0,0,3,8,4.7,-4
2019-02-03,Torino,Reggio Emilia,33.416438356164385,0,18,3,6,0.500,1,1,1.0,0,0,0.0,0,1,1,2,1,0,0,4,7,5.1,13
2019-02-10,Torino,Sassari,33.43561643835616,0,14,4,7,0.571,2,4,0.5,0,0,0.0,0,0,0,2,0,0,2,3,10,4.8999999999999995,11
2019-03-03,Torino,Milano,33.49315068493151,0,18,2,5,0.400,2,3,0.667,2,2,1.0,0,2,2,2,0,0,2,0,8,5.300000000000001,-21
2019-03-10,Torino,Brindisi,33.512328767123286,0,21,1,3,0.333,0,1,0.0,2,2,1.0,1,0,1,1,2,0,1,3,4,3.500000000000001,-9
2019-03-17,Torino,Virtus Bologna,33.53150684931507,0,19,0,5,0.000,0,2,0.0,4,4,1.0,1,1,2,3,0,0,1,0,4,2.5999999999999996,-10
2019-03-24,Torino,Brescia,33.55068493150685,0,14,0,0,0.000,0,0,0.0,0,0,0.0,0,1,1,3,2,0,1,2,0,2.5999999999999996,2
2019-03-30,Torino,Trentino,33.56712328767124,0,15,1,5,0.200,1,2,0.5,4,4,1.0,2,0,2,5,0,0,1,3,7,6.6000000000000005,-2
2019-04-07,Torino,Varese,33.58904109589041,0,21,1,5,0.200,0,3,0.0,0,0,0.0,0,4,4,3,0,0,1,2,2,0.39999999999999925,3
2019-04-14,Torino,Pistoia,33.608219178082194,0,18,2,5,0.400,1,1,1.0,2,3,0.667,0,1,1,1,1,0,0,2,7,5.1000000000000005,3
2019-04-20,Torino,Avellino,33.62465753424657,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-04-28,Torino,Cremona,33.64657534246575,0,21,2,3,0.000,0,0,0.0,0,0,0.0,0,0,0,7,0,0,0,3,4,6.3999999999999995,-15
2019-05-05,Torino,Cantù,33.66575342465754,0,22,5,9,0.556,1,2,0.5,6,6,1.0,0,0,0,3,1,0,2,3,17,12.599999999999998,-11
