date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-10-31,Trentino,Sassari,29.443835616438356,0,10,1,1,1.000,1,1,1.0,2,2,1.0,3,0,3,0,0,0,1,0,5,5.8,2
2019-08-12,Cremona,Trentino,30.224657534246575,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-04-09,Cremona,Avellino,29.88219178082192,0,6,0,1,0.000,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-0.39999999999999997,-6
2019-01-09,Cremona,Cantù,29.635616438356166,0,3,0,2,0.000,0,0,0.0,0,2,0.0,0,0,0,0,0,0,0,0,0,-2.2,3
2019-07-15,Cremona,Virtus Bologna,30.147945205479452,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-12-12,Cremona,Sassari,29.55890410958904,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-01-11,Cremona,Milano,29.64109589041096,0,18,2,5,0.400,1,3,0.333,0,0,0.0,0,2,2,0,0,0,1,2,5,1.0999999999999996,-16
2018-10-29,Cremona,Cantù,29.438356164383563,0,9,0,1,0.000,0,1,0.0,0,0,0.0,0,0,0,0,0,0,1,2,0,-2.5,-2
2019-05-02,Cremona,Pistoia,29.945205479452056,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-03-04,Cremona,Venezia,29.78356164383562,0,13,1,3,0.333,0,1,0.0,0,0,0.0,0,0,0,1,1,0,0,1,2,1.6,9
2019-02-23,Cremona,Pesaro,29.758904109589043,0,5,1,3,0.333,0,1,0.0,0,0,0.0,1,0,1,1,0,0,0,0,2,1.7000000000000002,10
2019-07-05,Cremona,Sassari,30.12054794520548,0,23,3,5,0.600,2,3,0.667,0,0,0.0,1,2,3,1,1,0,0,4,8,7.1,17
2019-02-08,Cremona,Reggio Emilia,29.71780821917808,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-04-23,Cremona,Virtus Bologna,29.92054794520548,0,8,0,2,0.000,0,2,0.0,0,0,0.0,2,0,2,3,0,0,1,3,0,-0.10000000000000053,-10
2018-12-29,Cremona,Avellino,29.605479452054794,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-06-10,Cremona,Trentino,30.052054794520547,0,4,0,2,0.000,0,2,0.0,0,0,0.0,0,0,0,0,1,0,0,1,0,-0.7999999999999999,0
2018-11-26,Cremona,Brindisi,29.515068493150686,0,14,2,4,0.500,1,3,0.333,1,2,0.5,0,1,1,0,0,1,1,3,6,2.3999999999999995,4
2019-01-15,Cremona,Brescia,29.65205479452055,0,13,4,8,0.500,2,6,0.333,2,2,1.0,1,0,1,3,0,0,0,3,12,9.599999999999998,21
2018-12-25,Cremona,Varese,29.594520547945205,0,15,2,4,0.500,2,3,0.667,1,2,0.5,0,1,1,2,1,0,0,2,7,6.499999999999999,10
2018-10-31,Cremona,Milano,29.443835616438356,0,5,0,1,0.000,0,0,0.0,0,0,0.0,1,0,1,1,0,0,0,1,0,0.29999999999999993,-3
2019-04-22,Cremona,Cantù,29.91780821917808,0,11,1,3,0.333,0,2,0.0,0,0,0.0,0,2,2,1,0,0,1,1,2,0.20000000000000018,-3
2019-01-06,Cremona,Pistoia,29.627397260273973,0,11,1,4,0.250,1,4,0.25,2,2,1.0,1,1,2,1,0,0,2,3,5,1.1000000000000005,-7
2019-05-02,Cremona,Venezia,29.945205479452056,0,5,0,2,0.000,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0,-2.2,-3
2019-03-03,Cremona,Pesaro,29.78082191780822,0,10,2,2,1.000,1,1,1.0,0,0,0.0,0,0,0,0,0,0,0,0,5,4.4,-1
2018-10-11,Cremona,Sassari,29.389041095890413,0,10,5,6,0.833,3,4,0.75,2,2,1.0,1,1,2,1,0,0,2,1,15,12.1,-2
2019-04-20,Cremona,Torino,29.912328767123288,0,15,1,2,0.500,1,2,0.5,0,0,0.0,0,3,3,0,0,0,1,1,3,1.5,9
2019-05-18,Cremona,Reggio Emilia,29.98904109589041,0,4,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,2,0,-0.10000000000000009,5
2018-10-23,Cremona,Virtus Bologna,29.421917808219177,0,11,2,3,0.667,2,3,0.667,0,0,0.0,1,1,2,0,1,0,0,1,6,6.3,-2
2019-08-02,Cremona,Avellino,30.197260273972603,0,13,0,3,0.000,0,2,0.0,0,0,0.0,1,2,3,1,0,0,0,2,0,-0.8999999999999998,-8
2019-01-25,Cremona,Brindisi,29.67945205479452,0,5,1,2,0.000,0,0,0.0,2,2,1.0,0,1,1,0,0,0,1,1,4,1.9000000000000004,5
2018-11-10,Cremona,Brescia,29.471232876712328,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-09-12,Cremona,Varese,29.30958904109589,0,4,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0,-0.8,2
2018-12-23,Cremona,Capo d'Orlando,29.589041095890412,0,2,1,1,1.000,1,1,1.0,0,0,0.0,0,0,0,0,0,0,0,1,3,2.3000000000000003,3
2019-03-31,Torino,Brindisi,29.857534246575344,0,18,2,5,0.400,2,3,0.667,0,0,0.0,0,2,2,1,3,0,2,2,6,4.800000000000001,8
2018-11-03,Torino,Virtus Bologna,29.45205479452055,0,4,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,1,0,0.29999999999999993,2
2019-02-09,Torino,Brescia,29.720547945205478,0,18,2,4,0.500,2,4,0.5,6,7,0.857,0,2,2,0,2,0,1,0,12,11.2,-6
2018-09-10,Torino,Trentino,29.304109589041097,0,2,0,0,0.000,0,0,0.0,0,1,0.0,0,0,0,0,0,0,0,1,0,-0.8,-3
2019-08-06,Torino,Varese,30.208219178082192,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-10-03,Torino,Pistoia,29.367123287671234,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-10-28,Torino,Avellino,29.435616438356163,0,7,1,2,0.500,0,1,0.0,0,0,0.0,1,0,1,0,0,0,1,0,2,0.7,0
2019-07-27,Torino,Cremona,30.18082191780822,0,10,1,2,0.500,0,1,0.0,0,0,0.0,0,1,1,1,0,0,0,2,2,1.2,1
2018-10-15,Torino,Cantù,29.4,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-12-26,Torino,Pesaro,29.5972602739726,0,7,1,1,1.000,1,1,1.0,0,0,0.0,0,0,0,1,0,0,0,3,3,2.2,-2
2019-01-21,Torino,Venezia,29.66849315068493,1,21,3,5,0.600,1,3,0.333,1,1,1.0,1,3,4,3,0,0,2,2,8,6.599999999999998,-10
2019-02-06,Torino,Trieste,29.71232876712329,1,29,5,7,0.714,4,6,0.667,2,3,0.667,0,2,2,2,2,0,4,5,16,10.7,10
2018-10-24,Torino,Reggio Emilia,29.424657534246574,0,17,1,3,0.333,1,1,1.0,4,4,1.0,0,0,0,1,0,0,0,2,7,5.200000000000001,16
2019-08-15,Torino,Sassari,30.232876712328768,0,13,0,1,0.000,0,0,0.0,1,2,0.5,0,1,1,0,0,0,0,1,1,-0.2,13
2019-04-24,Torino,Milano,29.923287671232877,0,9,1,2,0.500,0,1,0.0,0,0,0.0,0,2,2,0,1,0,2,0,2,0.6000000000000001,-13
2019-04-10,Torino,Brindisi,29.884931506849316,0,8,0,3,0.000,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2.0999999999999996,-13
2019-06-08,Torino,Virtus Bologna,30.046575342465754,0,10,1,2,0.500,1,1,1.0,0,0,0.0,0,0,0,0,0,0,0,0,3,2.0,-11
2019-01-18,Torino,Brescia,29.66027397260274,0,4,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,1,0,0,1,1,0,-0.7000000000000001,-6
2018-09-11,Torino,Trentino,29.306849315068494,0,18,3,5,0.600,1,2,0.5,2,2,1.0,1,1,2,0,0,0,1,3,9,5.499999999999999,-3
2019-02-06,Torino,Varese,29.71232876712329,0,18,4,6,0.667,3,5,0.6,1,2,0.5,1,3,4,0,1,0,0,0,12,11.6,-1
2019-03-03,Torino,Pistoia,29.78082191780822,0,18,0,3,0.000,0,2,0.0,0,0,0.0,0,0,0,2,0,0,0,1,0,-1.0999999999999996,8
2018-10-19,Torino,Avellino,29.410958904109588,0,7,0,2,0.000,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,-1.5,-5
2019-07-27,Torino,Cremona,30.18082191780822,0,13,0,2,0.000,0,1,0.0,0,0,0.0,0,3,3,0,1,0,0,2,0,-0.30000000000000004,-5
2019-04-05,Torino,Cantù,29.87123287671233,0,6,1,3,0.333,1,2,0.5,0,0,0.0,1,1,2,0,1,0,2,1,3,0.8999999999999999,1
2019-07-28,Torino,Pesaro,30.183561643835617,0,19,4,8,0.500,2,4,0.5,0,0,0.0,0,3,3,1,0,0,1,2,10,5.800000000000001,13
2019-05-04,Milano,Torino,29.95068493150685,0,13,2,5,0.400,2,3,0.667,0,0,0.0,1,0,1,0,0,0,3,1,6,0.6000000000000001,-10
