date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-06-05,Milano,Avellino,31.435616438356163,0,12,2,5,0.000,0,0,0.0,0,0,0.0,1,4,5,3,1,0,2,3,4,3.0999999999999988,-3
2019-08-03,Milano,Varese,31.5972602739726,0,10,1,7,0.000,0,0,0.0,0,0,0.0,2,1,3,0,0,0,2,1,2,-3.1999999999999997,1
2019-02-09,Milano,Brescia,31.117808219178084,1,12,1,3,0.333,1,1,1.0,2,2,1.0,0,3,3,1,0,1,1,1,5,4.200000000000001,12
2018-09-29,Milano,Caserta,30.753424657534246,1,17,7,8,0.000,0,0,0.0,2,2,1.0,1,2,3,5,0,0,3,2,16,14.2,9
2019-07-25,Milano,Torino,31.572602739726026,1,20,4,5,0.000,0,0,0.0,6,7,0.857,2,2,4,1,1,0,3,3,14,11.2,-3
2019-01-14,Milano,Sassari,31.046575342465754,1,18,5,9,0.000,0,0,0.0,7,8,0.875,1,3,4,1,1,0,2,2,17,12.799999999999997,7
2018-11-16,Milano,Pistoia,30.884931506849316,1,20,5,7,0.714,0,1,0.0,4,5,0.8,2,9,11,2,2,0,2,1,14,15.8,14
2019-07-07,Milano,Venezia,31.523287671232875,1,15,2,6,0.000,0,0,0.0,5,6,0.833,3,0,3,0,0,0,1,4,9,4.700000000000001,-11
2019-02-18,Milano,Brindisi,31.14246575342466,1,19,5,7,0.000,0,0,0.0,5,6,0.833,3,1,4,3,1,0,5,3,15,11.000000000000004,10
2018-10-19,Milano,Reggio Emilia,30.808219178082194,1,18,2,4,0.000,0,0,0.0,1,2,0.5,0,1,1,1,0,1,1,3,5,2.0999999999999996,-7
2019-05-09,Milano,Pesaro,31.361643835616437,1,9,0,3,0.000,0,0,0.0,2,2,1.0,1,1,2,0,1,0,3,3,2,-2.3,-6
2019-01-17,Milano,Cantù,31.054794520547947,1,12,2,3,0.000,0,0,0.0,0,0,0.0,1,1,2,2,0,0,1,2,4,3.3,3
2018-11-29,Milano,Capo d'Orlando,30.92054794520548,0,4,0,2,0.000,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,-2.0999999999999996,-2
2019-01-26,Milano,Avellino,31.079452054794523,0,14,4,8,0.000,0,0,0.0,3,4,0.75,1,1,2,0,0,0,1,3,11,5.3999999999999995,5
2019-06-19,Milano,Varese,31.473972602739725,0,4,1,2,0.000,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,3,2,-0.9000000000000001,-5
2018-10-27,Milano,Brescia,30.83013698630137,1,13,1,4,0.000,0,0,0.0,5,6,0.833,0,3,3,2,1,1,0,1,7,7.799999999999999,7
2019-01-14,Milano,Caserta,31.046575342465754,0,7,1,2,0.000,0,0,0.0,0,0,0.0,0,4,4,0,0,0,2,1,2,-0.19999999999999973,2
2019-02-13,Milano,Torino,31.12876712328767,1,13,0,2,0.000,0,0,0.0,0,0,0.0,0,3,3,0,0,0,1,2,0,-2.3,-10
2018-11-30,Milano,Sassari,30.923287671232877,1,3,0,1,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,3,0,-1.9000000000000001,-1
2018-10-30,Milano,Cremona,30.838356164383562,1,11,2,5,0.000,0,0,0.0,4,4,1.0,1,3,4,0,0,0,2,2,8,4.1000000000000005,-1
2019-02-01,Milano,Pistoia,31.095890410958905,0,13,2,5,0.000,0,0,0.0,2,2,1.0,0,5,5,2,0,0,3,0,6,3.1999999999999993,-8
2019-05-28,Milano,Trentino,31.413698630136988,1,19,3,5,0.000,0,0,0.0,2,2,1.0,0,1,1,1,0,0,0,3,8,5.499999999999999,-10
2019-01-13,Milano,Venezia,31.043835616438358,0,2,1,1,0.000,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,2,2,1.5999999999999999,3
2019-06-27,Milano,Brindisi,31.495890410958904,0,13,1,5,0.000,0,0,0.0,2,2,1.0,2,2,4,1,0,0,2,3,4,0.40000000000000036,-3
2019-03-17,Milano,Reggio Emilia,31.216438356164385,0,14,7,8,0.000,0,0,0.0,6,7,0.857,1,3,4,1,2,0,2,3,20,17.900000000000002,10
2019-01-13,Milano,Pesaro,31.043835616438358,0,18,2,7,0.286,0,1,0.0,0,2,0.0,1,1,2,2,1,0,3,5,4,-2.5,-7
2019-04-03,Milano,Cantù,31.263013698630136,0,7,1,1,0.000,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,0,2,2.3,-4
