date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-01-08,Virtus Bologna,Avellino,28.55068493150685,0,1,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-0.4,-2
2019-08-16,Cantù,Sassari,29.153424657534245,0,1,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-10-29,Cantù,Cremona,28.356164383561644,0,3,0,2,0.000,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-1.7999999999999998,-3
2019-03-02,Cantù,Varese,28.695890410958903,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-02-10,Cantù,Trentino,28.64109589041096,0,1,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-3
2018-09-07,Cantù,Avellino,28.213698630136985,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-02-23,Cantù,Pistoia,28.676712328767124,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-01-22,Cantù,Venezia,28.589041095890412,0,2,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-0.4,0
2019-07-16,Cantù,Torino,29.068493150684933,0,7,0,1,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-1.1,4
2019-02-26,Cantù,Brescia,28.684931506849317,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-11-11,Cantù,Virtus Bologna,28.39178082191781,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-04-03,Cantù,Milano,28.78356164383562,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-10-16,Cantù,Pesaro,28.32054794520548,0,12,1,2,0.500,0,1,0.0,0,0,0.0,0,0,0,0,1,0,2,1,2,-0.3999999999999999,-2
2019-04-14,Cantù,Reggio Emilia,28.813698630136987,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-07-21,Cantù,Capo d'Orlando,29.08219178082192,0,4,0,2,0.000,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,1,0,-1.1,-6
2018-12-12,Cantù,Sassari,28.476712328767125,1,11,0,3,0.000,0,2,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,-1.3999999999999997,-3
2019-04-22,Cantù,Cremona,28.835616438356166,1,7,0,2,0.000,0,0,0.0,0,0,0.0,0,1,1,2,0,0,1,1,0,-1.1,-12
2018-12-12,Cantù,Varese,28.476712328767125,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-01-26,Cantù,Trentino,28.6,0,10,1,2,0.500,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,1.0,0
2018-10-14,Cantù,Avellino,28.315068493150687,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-11-23,Cantù,Pistoia,28.424657534246574,0,2,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,2
2018-10-18,Cantù,Venezia,28.326027397260273,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-05-27,Cantù,Torino,28.93150684931507,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
