date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-12-11,Brindisi,Milano,30.493150684931507,0,12,2,5,0.400,2,4,0.5,1,2,0.5,0,1,1,2,1,1,0,1,7,6.8999999999999995,3
2019-07-22,Brindisi,Pesaro,31.104109589041098,0,19,3,7,0.429,2,4,0.5,1,2,0.5,2,0,2,1,1,0,1,3,9,5.799999999999999,10
2019-06-02,Brindisi,Sassari,30.96712328767123,0,14,3,6,0.500,2,3,0.667,0,0,0.0,0,2,2,0,1,1,2,5,8,3.3,15
2019-04-21,Brindisi,Pistoia,30.852054794520548,0,16,3,5,0.600,0,2,0.0,0,0,0.0,2,1,3,2,0,0,0,0,6,6.799999999999999,8
2019-06-25,Brindisi,Cantù,31.030136986301372,0,20,3,6,0.500,1,2,0.5,4,6,0.667,3,4,7,3,2,0,2,2,11,11.799999999999999,5
2019-03-31,Brindisi,Torino,30.794520547945204,0,15,0,2,0.000,0,1,0.0,1,2,0.5,0,3,3,3,0,1,1,1,1,1.4999999999999996,10
2018-10-27,Brindisi,Brescia,30.36986301369863,0,22,5,7,0.714,3,5,0.6,0,0,0.0,1,1,2,2,0,0,2,0,13,10.500000000000002,8
2018-12-22,Brindisi,Varese,30.523287671232875,0,14,6,9,0.667,3,6,0.5,0,0,0.0,1,1,2,1,1,0,0,0,15,13.799999999999997,-1
2018-10-30,Brindisi,Reggio Emilia,30.378082191780823,0,23,3,10,0.300,2,4,0.5,0,1,0.0,5,3,8,2,1,1,1,0,8,8.299999999999999,2
2019-04-25,Brindisi,Venezia,30.863013698630137,0,19,2,9,0.222,0,3,0.0,0,0,0.0,0,1,1,1,0,1,2,3,4,-3.0,-4
2019-02-09,Brindisi,Virtus Bologna,30.65753424657534,0,18,3,5,0.600,0,1,0.0,0,0,0.0,2,4,6,1,0,0,3,3,6,2.8,1
2019-06-30,Brindisi,Cremona,31.043835616438358,0,22,2,7,0.000,0,0,0.0,0,0,0.0,3,4,7,3,1,0,1,2,4,4.5,3
2019-04-30,Brindisi,Trieste,30.876712328767123,0,14,1,5,0.200,0,3,0.0,0,0,0.0,0,2,2,0,1,0,1,3,2,-1.7000000000000002,13
2018-09-15,Brindisi,Avellino,30.254794520547946,0,20,1,5,0.200,0,2,0.0,0,0,0.0,1,3,4,1,0,1,0,4,2,0.2999999999999996,-3
2019-07-01,Brindisi,Trentino,31.046575342465754,0,9,1,3,0.333,0,2,0.0,0,0,0.0,0,2,2,0,0,1,0,1,2,1.2000000000000002,2
2018-09-17,Brindisi,Milano,30.26027397260274,0,14,0,2,0.000,0,2,0.0,0,2,0.0,1,1,2,0,1,1,1,3,0,-1.7000000000000004,-4
2019-07-08,Brindisi,Pesaro,31.065753424657533,0,14,3,6,0.500,3,5,0.6,0,0,0.0,0,1,1,2,0,0,0,2,9,6.8999999999999995,0
2019-05-27,Brindisi,Sassari,30.95068493150685,0,15,2,4,0.500,1,3,0.333,0,0,0.0,0,1,1,0,0,0,2,3,5,0.09999999999999964,-9
2019-05-21,Brindisi,Pistoia,30.934246575342467,0,15,2,8,0.250,1,5,0.2,0,0,0.0,0,1,1,2,0,1,0,1,5,2.2,-1
2019-01-21,Brindisi,Cantù,30.605479452054794,0,15,2,7,0.286,0,2,0.0,0,0,0.0,3,1,4,1,0,0,0,1,4,2.6,2
2019-04-10,Brindisi,Torino,30.82191780821918,0,25,6,10,0.600,2,5,0.4,0,0,0.0,2,3,5,4,1,1,2,1,14,13.799999999999999,13
2019-04-18,Brindisi,Brescia,30.843835616438355,0,29,4,10,0.400,1,4,0.25,0,2,0.0,1,7,8,0,0,1,0,5,9,4.3,-6
2019-03-08,Brindisi,Varese,30.731506849315068,0,20,2,6,0.333,1,4,0.25,0,0,0.0,0,2,2,0,1,0,1,1,5,1.8000000000000007,17
2018-11-27,Brindisi,Reggio Emilia,30.454794520547946,0,18,5,9,0.556,2,4,0.5,0,0,0.0,1,6,7,1,0,0,2,2,12,8.099999999999998,5
2019-02-03,Brindisi,Venezia,30.64109589041096,0,17,1,3,0.333,1,3,0.333,0,0,0.0,0,0,0,0,0,0,0,2,3,0.5000000000000002,12
2018-12-10,Brindisi,Virtus Bologna,30.49041095890411,0,13,1,4,0.250,0,1,0.0,0,4,0.0,0,1,1,1,0,0,1,4,2,-3.6,11
2019-04-13,Brindisi,Cremona,30.83013698630137,0,13,1,3,0.000,0,0,0.0,0,0,0.0,1,2,3,1,0,0,0,1,2,1.9,-8
2019-02-06,Brindisi,Trieste,30.649315068493152,0,20,4,6,0.667,3,3,1.0,0,0,0.0,0,1,1,0,0,1,0,0,11,9.4,13
2019-03-24,Brindisi,Avellino,30.775342465753425,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-09-02,Brindisi,Trentino,30.21917808219178,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
