date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-10-07,Brescia,Varese,32.44931506849315,0,14,1,3,0.333,0,2,0.0,4,4,1.0,0,2,2,1,0,0,1,2,6,3.8000000000000007,-4
2018-10-14,Brescia,Reggio Emilia,32.468493150684935,0,25,3,6,0.500,2,5,0.4,2,3,0.667,2,4,6,0,0,0,2,1,10,6.799999999999999,11
2018-10-21,Brescia,Trieste,32.487671232876714,0,25,2,5,0.400,2,2,1.0,1,2,0.5,2,4,6,2,0,0,0,2,7,7.1000000000000005,5
2018-10-27,Brescia,Avellino,32.50410958904109,0,20,3,4,0.750,2,2,1.0,5,5,1.0,1,3,4,1,0,1,0,1,13,13.999999999999996,5
2018-11-04,Brescia,Pesaro,32.52602739726027,0,21,3,7,0.429,2,4,0.5,1,2,0.5,2,3,5,1,1,0,1,3,9,6.699999999999998,12
2018-11-10,Brescia,Trentino,32.54246575342466,0,18,0,1,0.000,0,0,0.0,4,6,0.667,0,2,2,0,1,0,1,3,4,1.8999999999999995,2
2018-11-18,Brescia,Brindisi,32.56438356164384,0,14,1,3,0.333,0,1,0.0,0,0,0.0,0,4,4,1,0,0,1,0,2,1.2000000000000002,-3
2018-11-25,Brescia,Torino,32.583561643835615,0,18,1,3,0.333,1,2,0.5,0,0,0.0,0,5,5,2,0,0,1,4,3,1.6,10
2018-12-09,Brescia,Pistoia,32.62191780821918,0,18,0,1,0.000,0,0,0.0,6,6,1.0,2,3,5,1,1,0,0,3,6,8.099999999999998,2
2018-12-16,Brescia,Cantù,32.64109589041096,0,19,1,5,0.200,1,3,0.333,4,4,1.0,1,1,2,2,1,0,1,3,7,5.1000000000000005,10
2018-12-22,Brescia,Cremona,32.657534246575345,0,25,2,8,0.250,2,6,0.333,1,1,1.0,1,2,3,2,1,0,1,3,7,3.7,-1
2018-12-25,Brescia,Milano,32.66575342465753,0,27,1,6,0.167,0,5,0.0,1,2,0.5,0,3,3,2,1,0,3,0,3,-0.8999999999999995,-5
2018-12-30,Brescia,Sassari,32.679452054794524,0,22,1,4,0.250,1,2,0.5,3,4,0.75,0,2,2,1,1,1,0,3,6,5.000000000000001,-9
2019-01-06,Brescia,Virtus Bologna,32.6986301369863,0,22,4,7,0.571,1,4,0.25,1,1,1.0,2,1,3,0,0,0,0,2,10,7.6000000000000005,-5
2019-01-12,Brescia,Venezia,32.71506849315068,0,22,1,3,0.333,0,2,0.0,3,6,0.5,0,2,2,0,0,0,0,2,5,1.9000000000000006,-14
2019-01-20,Brescia,Varese,32.73698630136986,0,20,2,3,0.667,1,2,0.5,5,5,1.0,1,3,4,2,0,0,2,0,10,9.700000000000001,11
2019-01-27,Brescia,Reggio Emilia,32.75616438356165,1,30,2,4,0.500,1,1,1.0,2,2,1.0,0,6,6,3,0,0,1,2,7,7.099999999999998,4
2019-02-03,Brescia,Trieste,32.775342465753425,0,31,3,5,0.600,0,1,0.0,2,4,0.5,2,2,4,4,2,1,0,2,8,11.599999999999998,8
2019-02-10,Brescia,Avellino,32.794520547945204,0,19,2,8,0.250,2,5,0.4,2,4,0.5,1,3,4,0,1,0,1,2,8,3.200000000000002,-12
2019-03-03,Brescia,Pesaro,32.85205479452055,0,22,3,7,0.429,2,5,0.4,3,4,0.75,3,1,4,1,0,0,1,2,11,8.2,19
2019-03-10,Brescia,Trentino,32.87123287671233,0,20,2,5,0.400,0,2,0.0,2,3,0.667,0,2,2,1,2,0,1,4,6,3.5999999999999996,0
2019-03-17,Brescia,Brindisi,32.89041095890411,0,8,1,2,0.500,1,2,0.5,0,0,0.0,0,2,2,1,0,0,0,1,3,2.9,0
2019-03-24,Brescia,Torino,32.90958904109589,0,10,1,2,0.500,1,2,0.5,0,0,0.0,0,0,0,2,0,0,1,2,3,1.5999999999999996,-2
2019-03-31,Brescia,Pistoia,32.92876712328767,0,15,1,3,0.333,1,2,0.5,0,0,0.0,0,5,5,0,0,1,1,3,3,1.2999999999999998,8
2019-04-07,Brescia,Cantù,32.94794520547945,0,17,1,5,0.200,1,4,0.25,2,2,1.0,0,2,2,1,0,0,1,2,5,1.4000000000000004,-2
2019-04-14,Brescia,Cremona,32.967123287671235,0,22,4,7,0.571,2,4,0.5,1,1,1.0,0,4,4,1,0,1,0,2,11,9.499999999999998,6
2019-04-20,Brescia,Milano,32.983561643835614,0,21,2,5,0.400,1,2,0.5,2,3,0.667,1,1,2,0,0,0,0,1,7,4.499999999999999,7
2019-04-24,Brescia,Virtus Bologna,32.99452054794521,0,15,0,3,0.000,0,3,0.0,2,2,1.0,2,2,4,0,0,0,0,1,2,1.5000000000000004,-13
2019-04-28,Brescia,Sassari,33.00547945205479,0,20,2,3,0.667,1,1,1.0,2,2,1.0,0,1,1,1,0,0,0,1,7,6.3,-22
