date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-08-12,Cremona,Trentino,26.172602739726027,0,40,8,13,0.615,2,4,0.5,11,12,0.917,2,6,8,2,4,0,3,4,29,26.7,12
2019-04-09,Cremona,Avellino,25.83013698630137,0,28,2,7,0.286,0,2,0.0,10,12,0.833,2,5,7,0,2,0,1,2,14,12.200000000000001,14
2019-01-09,Cremona,Cantù,25.583561643835615,0,32,2,5,0.000,0,0,0.0,3,3,1.0,2,2,4,3,0,0,1,1,7,6.999999999999998,-15
2019-07-15,Cremona,Virtus Bologna,26.095890410958905,1,37,3,11,0.273,1,1,1.0,2,4,0.5,2,9,11,1,0,0,1,2,9,4.699999999999999,12
2018-12-12,Cremona,Sassari,25.506849315068493,1,28,5,5,0.000,0,0,0.0,3,3,1.0,3,9,12,4,1,0,1,2,13,18.3,5
2019-06-11,Cremona,Pistoia,26.002739726027396,1,34,5,8,0.000,0,0,0.0,1,2,0.5,5,3,8,5,2,0,1,1,11,15.5,20
2018-11-27,Cremona,Varese,25.465753424657535,1,19,0,5,0.000,0,2,0.0,0,0,0.0,3,3,6,2,0,0,2,3,0,-2.3000000000000007,-17
2018-12-09,Cremona,Milano,25.4986301369863,1,26,2,7,0.000,0,0,0.0,1,1,1.0,5,4,9,4,0,0,1,1,5,7.0,0
2019-03-31,Cremona,Trieste,25.805479452054794,1,35,3,9,0.333,0,1,0.0,4,5,0.8,3,5,8,7,0,0,1,1,10,11.599999999999996,6
2018-12-08,Cremona,Pesaro,25.495890410958904,1,29,3,5,0.600,1,2,0.5,6,7,0.857,2,4,6,5,2,2,2,2,13,16.999999999999996,19
2018-12-20,Cremona,Brescia,25.528767123287672,1,29,3,6,0.500,1,2,0.5,0,0,0.0,1,2,3,4,1,0,1,3,7,6.8999999999999995,-7
2019-06-30,Cremona,Brindisi,26.054794520547944,1,34,3,5,0.600,1,1,1.0,3,3,1.0,1,6,7,2,0,0,2,3,10,8.399999999999999,3
2019-07-27,Cremona,Torino,26.12876712328767,1,27,5,5,1.000,3,3,1.0,1,1,1.0,0,6,6,7,0,0,1,2,14,17.4,9
2019-01-07,Cremona,Venezia,25.578082191780823,1,37,2,9,0.222,0,1,0.0,3,4,0.75,2,4,6,1,0,0,2,2,7,1.6000000000000005,-10
2019-08-14,Cremona,Reggio Emilia,26.17808219178082,1,34,5,9,0.556,1,2,0.5,4,4,1.0,4,11,15,3,2,1,2,3,15,18.4,15
2019-03-13,Cremona,Trentino,25.756164383561643,1,35,2,4,0.500,0,1,0.0,5,7,0.714,1,2,3,4,2,0,2,1,9,9.9,-3
2019-06-18,Cremona,Avellino,26.02191780821918,1,32,1,5,0.200,0,2,0.0,1,1,1.0,2,6,8,2,5,1,2,4,3,6.6,15
2018-11-05,Cremona,Cantù,25.405479452054795,1,33,5,12,0.417,2,5,0.4,0,2,0.0,3,3,6,3,2,1,1,1,12,11.2,-21
2019-03-10,Cremona,Virtus Bologna,25.747945205479454,1,34,5,11,0.455,0,2,0.0,5,6,0.833,1,3,4,2,0,0,0,2,15,11.1,12
2018-12-27,Cremona,Pistoia,25.54794520547945,1,35,4,9,0.444,0,2,0.0,6,8,0.75,2,6,8,5,2,0,3,1,14,13.8,7
2018-12-10,Cremona,Varese,25.5013698630137,1,32,4,8,0.500,1,2,0.5,0,0,0.0,1,7,8,2,0,0,2,4,9,5.600000000000001,-12
2019-03-31,Cremona,Milano,25.805479452054794,1,35,6,11,0.000,0,0,0.0,1,2,0.5,2,8,10,4,0,0,0,2,13,13.100000000000001,4
2018-09-30,Cremona,Trieste,25.306849315068494,1,31,2,8,0.000,0,0,0.0,5,6,0.833,5,2,7,2,1,0,4,1,9,5.9,-20
2018-12-28,Cremona,Pesaro,25.55068493150685,1,26,4,6,0.667,1,1,1.0,2,2,1.0,1,4,5,8,1,1,0,1,11,17.2,27
2018-12-02,Cremona,Brescia,25.47945205479452,1,35,6,11,0.545,0,1,0.0,1,2,0.5,1,3,4,4,0,0,1,3,13,9.5,6
2019-04-13,Cremona,Brindisi,25.84109589041096,1,28,0,5,0.000,0,0,0.0,2,2,1.0,3,2,5,5,0,0,2,1,2,2.299999999999999,-5
2019-07-27,Cremona,Torino,26.12876712328767,1,21,4,6,0.000,0,0,0.0,0,0,0.0,2,0,2,1,0,1,2,0,8,6.200000000000001,-13
2018-12-19,Cremona,Venezia,25.526027397260275,1,36,6,12,0.500,1,1,1.0,7,8,0.875,3,4,7,3,1,1,1,1,20,19.3,12
2019-01-28,Cremona,Reggio Emilia,25.635616438356166,1,22,5,9,0.556,1,3,0.333,4,4,1.0,0,1,1,2,2,0,3,1,15,11.0,-11
