date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-02-20,Sassari,Varese,35.484931506849314,1,20,2,10,0.200,1,5,0.2,1,2,0.5,0,3,3,1,1,0,3,3,6,-2.2,-5
2019-05-25,Sassari,Reggio Emilia,35.74246575342466,1,26,4,8,0.500,1,3,0.333,2,2,1.0,1,3,4,3,2,0,1,2,11,10.899999999999999,-1
2019-05-31,Sassari,Brescia,35.75890410958904,1,22,6,10,0.600,1,4,0.25,6,6,1.0,0,3,3,1,0,0,0,1,19,15.599999999999998,13
2019-04-10,Sassari,Cantù,35.61917808219178,1,20,6,12,0.500,1,3,0.333,0,0,0.0,1,2,3,0,2,0,1,5,13,7.3000000000000025,1
2019-08-19,Sassari,Pesaro,35.97808219178082,0,21,4,9,0.444,2,6,0.333,2,2,1.0,2,3,5,3,1,0,2,0,12,10.7,14
2019-06-22,Sassari,Pistoia,35.81917808219178,0,22,6,11,0.545,2,3,0.667,0,0,0.0,3,2,5,1,0,0,2,5,14,8.099999999999998,-4
2019-01-14,Sassari,Milano,35.38356164383562,1,26,3,8,0.375,1,5,0.2,0,0,0.0,0,4,4,1,1,0,1,1,7,4.1,-7
2019-05-29,Sassari,Avellino,35.75342465753425,1,19,2,6,0.333,2,2,1.0,0,0,0.0,0,1,1,1,0,0,2,2,6,0.8000000000000007,-15
2018-10-08,Sassari,Cremona,35.11506849315069,1,25,6,12,0.500,3,5,0.6,2,2,1.0,1,2,3,5,0,1,3,2,17,12.7,6
2018-12-05,Sassari,Brindisi,35.273972602739725,1,14,1,5,0.200,1,2,0.5,2,2,1.0,0,2,2,2,0,0,1,2,5,2.1000000000000005,-16
2019-07-12,Sassari,Trentino,35.87397260273973,0,23,5,14,0.357,2,7,0.286,0,0,0.0,1,5,6,3,2,0,4,4,12,4.900000000000002,3
2019-07-08,Sassari,Capo d'Orlando,35.863013698630134,0,26,5,14,0.357,1,4,0.25,1,1,1.0,3,4,7,0,0,1,4,2,12,3.4000000000000012,-7
2019-05-25,Sassari,Torino,35.74246575342466,0,14,2,8,0.250,1,3,0.333,4,4,1.0,0,6,6,2,1,0,3,2,9,4.6000000000000005,12
2019-07-07,Sassari,Venezia,35.86027397260274,0,20,3,7,0.429,2,4,0.5,2,2,1.0,0,2,2,3,1,0,1,2,10,8.2,7
2018-09-13,Sassari,Caserta,35.04657534246575,0,21,7,14,0.500,2,3,0.667,1,2,0.5,1,3,4,1,1,0,2,0,17,10.9,13
2019-06-17,Sassari,Varese,35.8054794520548,0,17,1,4,0.250,1,3,0.333,0,0,0.0,0,2,2,2,0,0,1,1,3,1.2000000000000002,19
2019-06-12,Sassari,Reggio Emilia,35.79178082191781,0,24,5,11,0.455,1,4,0.25,2,3,0.667,0,3,3,1,2,0,2,2,13,7.699999999999999,8
2019-08-04,Sassari,Pesaro,35.93698630136986,0,21,3,8,0.375,1,2,0.5,6,8,0.75,3,6,9,0,1,0,1,2,13,10.899999999999999,-3
2018-12-07,Sassari,Pistoia,35.27945205479452,0,18,1,7,0.143,0,2,0.0,10,10,1.0,1,3,4,1,0,0,2,0,12,7.800000000000001,2
2018-11-30,Sassari,Milano,35.26027397260274,0,22,2,11,0.182,0,2,0.0,4,4,1.0,2,2,4,1,1,0,1,2,8,3.0000000000000018,-2
2019-01-05,Sassari,Avellino,35.35890410958904,0,24,3,11,0.273,1,4,0.25,0,0,0.0,0,7,7,1,0,0,0,2,7,2.5,-9
2019-06-29,Sassari,Cremona,35.83835616438356,0,18,1,6,0.167,0,3,0.0,1,2,0.5,0,3,3,0,2,0,1,3,3,-0.49999999999999956,-5
2018-09-26,Sassari,Brindisi,35.082191780821915,0,18,4,9,0.444,1,2,0.5,0,0,0.0,2,1,3,0,0,0,0,0,9,5.999999999999999,-8
2018-09-17,Sassari,Trentino,35.057534246575344,0,13,1,7,0.143,0,1,0.0,1,2,0.5,2,0,2,0,1,0,2,2,3,-2.3,-8
2018-10-28,Sassari,Capo d'Orlando,35.16986301369863,0,24,4,19,0.211,1,5,0.2,0,0,0.0,1,3,4,2,2,0,2,1,9,-0.0999999999999992,9
2019-05-06,Sassari,Torino,35.69041095890411,0,19,5,10,0.500,0,4,0.0,2,2,1.0,0,4,4,3,0,1,1,1,12,9.599999999999998,8
2018-11-07,Sassari,Venezia,35.1972602739726,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-04-10,Sassari,Caserta,35.61917808219178,0,12,0,6,0.000,0,1,0.0,1,2,0.5,1,1,2,1,0,0,1,3,1,-4.1,-6
