date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-10-28,Trieste,Virtus Bologna,17.63013698630137,0,7,1,1,0.000,0,0,0.0,0,0,0.0,2,0,2,0,1,0,3,3,2,-0.10000000000000053,-5
2019-07-29,Trieste,Torino,18.38082191780822,0,7,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,1,0,1,0,0,0.0,7
2019-06-15,Trieste,Brescia,18.26027397260274,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-06-16,Trieste,Varese,18.263013698630136,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-08-07,Trieste,Pistoia,18.405479452054795,0,1,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-9
2018-12-07,Trieste,Pesaro,17.73972602739726,0,3,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,1,0,0.6,-4
2019-03-31,Trieste,Cremona,18.052054794520547,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-09-05,Trieste,Reggio Emilia,17.484931506849314,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-10-16,Trieste,Venezia,17.5972602739726,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-04-30,Trieste,Brindisi,18.134246575342466,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-10-29,Trieste,Sassari,17.632876712328766,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-03-11,Trieste,Brescia,17.997260273972604,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-07-11,Trieste,Varese,18.33150684931507,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-11-03,Trieste,Avellino,17.646575342465752,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
