date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-10-07,Varese,Brescia,27.04931506849315,1,37,4,11,0.364,3,6,0.5,2,2,1.0,1,8,9,2,2,0,3,2,13,9.6,-5
2018-10-14,Varese,Sassari,27.068493150684933,1,29,3,10,0.300,1,6,0.167,0,0,0.0,3,3,6,1,1,1,0,4,7,5.0,-1
2018-10-21,Varese,Trentino,27.087671232876712,1,33,6,8,0.750,2,4,0.5,5,7,0.714,1,4,5,5,1,0,1,1,19,20.0,3
2018-10-28,Varese,Trieste,27.106849315068494,1,40,4,8,0.500,1,3,0.333,1,2,0.5,3,5,8,3,3,0,2,2,10,11.499999999999998,12
2018-11-04,Varese,Reggio Emilia,27.126027397260273,1,38,1,5,0.200,1,3,0.333,2,5,0.4,1,7,8,4,2,0,0,4,5,6.700000000000001,-5
2018-11-11,Varese,Avellino,27.145205479452056,1,30,3,8,0.375,0,4,0.0,0,0,0.0,1,4,5,2,0,1,3,2,6,1.8000000000000007,-2
2018-11-18,Varese,Cremona,27.164383561643834,1,30,3,11,0.273,2,5,0.4,0,0,0.0,1,10,11,3,2,0,1,2,8,7.5,17
2018-11-25,Varese,Brindisi,27.183561643835617,1,34,7,8,0.875,2,3,0.667,2,4,0.5,4,6,10,2,2,0,2,0,18,20.4,26
2018-12-09,Varese,Venezia,27.221917808219178,1,40,6,11,0.545,0,1,0.0,1,2,0.5,1,3,4,1,0,0,2,1,13,7.199999999999999,5
2018-12-16,Varese,Torino,27.24109589041096,1,33,6,12,0.500,2,8,0.25,2,2,1.0,2,4,6,3,1,0,0,0,16,15.7,23
2018-12-23,Varese,Milano,27.26027397260274,1,36,5,14,0.357,2,4,0.5,0,0,0.0,4,4,8,0,3,0,0,2,12,10.4,-1
2018-12-25,Varese,Cantù,27.265753424657536,1,39,9,15,0.600,7,9,0.778,2,3,0.667,3,3,6,4,2,0,1,0,27,26.500000000000004,20
2018-12-30,Varese,Pesaro,27.279452054794522,1,35,5,10,0.500,1,3,0.333,3,5,0.6,4,4,8,4,0,0,1,1,14,13.6,24
2019-01-06,Varese,Pistoia,27.2986301369863,1,37,4,9,0.444,1,3,0.333,5,6,0.833,4,1,5,7,1,0,2,1,14,15.5,-7
2019-01-13,Varese,Virtus Bologna,27.317808219178083,1,36,5,13,0.385,1,4,0.25,4,5,0.8,3,2,5,1,3,0,1,4,15,11.299999999999999,-13
2019-01-20,Varese,Brescia,27.336986301369862,1,38,11,18,0.611,5,8,0.625,4,4,1.0,4,4,8,1,2,1,1,2,31,28.399999999999995,-7
2019-01-27,Varese,Sassari,27.356164383561644,1,31,4,9,0.444,0,4,0.0,1,1,1.0,2,6,8,3,3,0,1,2,9,10.799999999999999,18
2019-02-02,Varese,Trentino,27.372602739726027,1,31,4,14,0.286,1,6,0.167,0,0,0.0,1,8,9,5,1,0,0,2,9,7.6000000000000005,-7
2019-02-10,Varese,Trieste,27.394520547945206,1,36,5,8,0.625,1,2,0.5,3,3,1.0,3,6,9,1,2,0,0,2,14,16.2,7
2019-03-03,Varese,Reggio Emilia,27.45205479452055,1,26,5,11,0.455,1,3,0.333,4,4,1.0,2,6,8,2,1,0,0,1,15,14.5,16
2019-03-10,Varese,Avellino,27.471232876712328,1,37,4,12,0.333,1,5,0.2,0,0,0.0,1,7,8,1,1,0,1,0,9,5.700000000000002,0
2019-03-17,Varese,Cremona,27.49041095890411,1,33,5,9,0.556,1,3,0.333,5,6,0.833,2,3,5,1,1,0,1,1,16,13.899999999999999,18
2019-03-24,Varese,Brindisi,27.50958904109589,1,28,4,10,0.400,3,7,0.429,0,1,0.0,2,5,7,0,0,1,2,1,11,6.399999999999999,17
2019-03-31,Varese,Venezia,27.528767123287672,1,33,4,8,0.500,2,6,0.333,4,5,0.8,1,6,7,2,0,0,3,1,14,10.099999999999998,15
2019-04-07,Varese,Torino,27.54794520547945,1,38,5,12,0.417,2,7,0.286,0,0,0.0,4,3,7,2,4,0,2,1,12,12.300000000000002,-7
2019-04-13,Varese,Milano,27.564383561643837,1,34,6,12,0.500,2,6,0.333,0,1,0.0,4,3,7,1,1,0,1,1,14,11.599999999999998,-4
2019-04-20,Varese,Cantù,27.583561643835615,1,35,8,13,0.615,1,3,0.333,2,4,0.5,0,3,3,3,1,0,1,4,19,13.699999999999998,-3
2019-04-28,Varese,Pesaro,27.605479452054794,1,32,5,10,0.500,1,2,0.5,0,0,0.0,5,5,10,2,2,0,2,3,11,11.2,-6
2019-05-05,Varese,Pistoia,27.624657534246577,1,30,8,17,0.471,0,4,0.0,0,0,0.0,2,3,5,3,2,0,0,2,16,12.9,23
