date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-07-22,Pesaro,Brindisi,19.413698630136988,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-11-20,Pesaro,Venezia,18.745205479452054,0,10,1,2,0.500,0,1,0.0,0,0,0.0,1,1,2,0,0,0,1,0,2,1.0,-16
2018-10-12,Pesaro,Milano,18.638356164383563,0,8,1,1,0.000,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,1,2,2.0,9
2019-04-13,Pesaro,Brescia,19.13972602739726,0,1,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-0.4,-5
2018-12-07,Pesaro,Trieste,18.791780821917808,0,13,2,3,0.667,1,2,0.5,3,4,0.75,1,2,3,0,0,0,0,2,8,6.800000000000001,6
2019-01-17,Pesaro,Cantù,18.904109589041095,0,13,2,5,0.400,0,2,0.0,0,0,0.0,1,1,2,1,1,0,0,0,4,4.0,6
2019-05-24,Pesaro,Virtus Bologna,19.252054794520546,0,2,0,1,0.000,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-0.39999999999999997,-4
2018-12-08,Pesaro,Cremona,18.794520547945204,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-10-24,Pesaro,Trentino,18.671232876712327,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-08-10,Pesaro,Sassari,19.465753424657535,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-08-13,Pesaro,Varese,19.473972602739725,1,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-08-19,Pesaro,Reggio Emilia,19.49041095890411,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-12-26,Pesaro,Torino,18.843835616438355,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-09-22,Pesaro,Pistoia,18.583561643835615,0,3,0,1,0.000,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-1.1,-6
2019-07-08,Pesaro,Brindisi,19.375342465753423,0,5,0,0,0.000,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,-0.7,-6
2019-07-06,Pesaro,Venezia,19.36986301369863,1,23,1,4,0.250,1,2,0.5,1,2,0.5,0,1,1,0,1,0,0,1,4,2.100000000000001,0
2019-02-07,Pesaro,Milano,18.96164383561644,0,10,3,6,0.500,0,2,0.0,0,0,0.0,1,1,2,0,0,0,0,1,6,3.600000000000001,-6
2018-12-06,Pesaro,Brescia,18.78904109589041,0,8,3,4,0.750,1,1,1.0,0,0,0.0,0,1,1,0,1,0,1,1,7,5.299999999999999,-20
2019-02-24,Pesaro,Virtus Bologna,19.008219178082193,0,9,0,1,0.000,0,0,0.0,0,0,0.0,0,2,2,0,0,0,1,2,0,-1.9,-4
2018-12-28,Pesaro,Cremona,18.84931506849315,0,5,1,3,0.333,1,1,1.0,0,0,0.0,0,1,1,0,0,0,1,0,3,0.6000000000000003,-6
2018-11-15,Pesaro,Trentino,18.731506849315068,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-07-28,Pesaro,Torino,19.43013698630137,0,8,1,2,0.500,0,1,0.0,0,0,0.0,0,2,2,0,0,0,2,2,2,-1.2,0
