date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-06-19,Trentino,Virtus Bologna,25.054794520547944,1,29,7,9,0.778,1,2,0.5,4,4,1.0,2,3,5,2,0,0,0,2,19,18.399999999999995,1
2019-03-22,Trentino,Venezia,24.81095890410959,1,24,3,8,0.000,0,0,0.0,6,8,0.75,1,2,3,2,1,0,1,4,12,7.9,1
2019-07-10,Trentino,Brescia,25.112328767123287,1,27,2,6,0.333,0,3,0.0,2,2,1.0,0,2,2,0,1,0,2,4,6,0.600000000000001,-1
2019-02-10,Trentino,Cantù,24.7013698630137,1,22,2,6,0.333,0,1,0.0,0,0,0.0,3,3,6,4,1,0,2,2,4,4.6,-2
2019-05-03,Trentino,Reggio Emilia,24.926027397260274,1,29,4,5,0.000,0,0,0.0,0,0,0.0,0,2,2,1,3,1,2,2,8,8.299999999999997,9
2019-04-23,Trentino,Pesaro,24.898630136986302,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-01-12,Trentino,Capo d'Orlando,24.621917808219177,0,24,4,10,0.400,0,2,0.0,2,2,1.0,0,6,6,2,1,0,0,0,10,8.799999999999999,-12
2018-10-03,Trentino,Brindisi,24.345205479452055,1,33,4,10,0.400,1,3,0.333,4,5,0.8,1,1,2,0,3,0,3,0,13,8.2,1
2019-06-10,Trentino,Cremona,25.03013698630137,1,34,4,9,0.444,1,2,0.5,1,2,0.5,1,3,4,1,0,0,3,1,10,3.8,3
2019-03-16,Trentino,Pistoia,24.794520547945204,1,32,6,10,0.600,1,2,0.5,0,0,0.0,2,1,3,1,0,0,2,3,13,7.600000000000001,-1
2018-11-26,Trentino,Torino,24.493150684931507,1,23,4,7,0.000,0,0,0.0,2,2,1.0,1,0,1,4,0,0,0,2,10,9.399999999999999,9
2019-04-17,Trentino,Sassari,24.88219178082192,1,26,6,11,0.545,0,1,0.0,0,0,0.0,0,2,2,2,0,0,2,5,12,4.700000000000001,-12
2019-06-18,Trentino,Virtus Bologna,25.052054794520547,1,31,2,6,0.333,2,3,0.667,2,2,1.0,0,2,2,3,1,0,1,0,8,7.300000000000001,2
2019-06-22,Trentino,Venezia,25.063013698630137,1,31,4,8,0.500,1,2,0.5,2,2,1.0,1,1,2,1,2,0,1,3,11,8.5,-13
2019-04-11,Trentino,Brescia,24.865753424657534,1,27,5,11,0.455,1,4,0.25,1,4,0.25,1,1,2,3,1,0,3,1,12,5.799999999999999,-9
2019-01-26,Trentino,Cantù,24.66027397260274,1,30,5,13,0.385,0,3,0.0,3,4,0.75,2,0,2,3,0,0,0,2,13,8.2,16
2018-09-05,Trentino,Reggio Emilia,24.268493150684932,1,31,9,18,0.500,0,2,0.0,4,5,0.8,4,4,8,2,0,0,0,2,22,17.2,10
2018-09-02,Trentino,Varese,24.26027397260274,1,30,3,8,0.375,2,3,0.667,1,2,0.5,1,3,4,3,0,0,1,3,9,5.699999999999998,-2
2019-02-02,Trentino,Milano,24.67945205479452,1,33,5,18,0.278,1,3,0.333,4,8,0.5,2,8,10,7,1,0,1,4,15,9.9,-2
2019-08-01,Trentino,Pesaro,25.172602739726027,1,25,8,14,0.571,1,2,0.5,0,0,0.0,2,0,2,3,2,0,2,3,17,12.7,-2
2019-07-29,Trentino,Capo d'Orlando,25.164383561643834,1,30,7,12,0.000,0,0,0.0,2,2,1.0,2,6,8,11,3,0,5,0,16,19.3,49
2019-01-05,Trentino,Brindisi,24.602739726027398,1,34,9,17,0.529,1,4,0.25,3,3,1.0,1,1,2,2,1,0,3,2,22,13.3,9
2019-04-16,Trentino,Pistoia,24.87945205479452,1,30,6,17,0.353,1,3,0.333,6,7,0.857,0,4,4,4,2,1,1,1,19,14.399999999999997,14
2019-03-09,Trentino,Torino,24.775342465753425,1,32,9,16,0.563,1,4,0.25,3,4,0.75,1,6,7,5,0,0,2,1,22,17.6,2
2018-10-20,Trentino,Sassari,24.39178082191781,1,31,10,14,0.714,1,1,1.0,0,1,0.0,0,5,5,2,2,0,3,3,21,15.5,2
2019-05-04,Trentino,Avellino,24.92876712328767,1,10,2,6,0.333,1,1,1.0,0,0,0.0,0,2,2,0,0,0,1,1,5,0.8000000000000007,4
2019-05-23,Trentino,Varese,24.98082191780822,1,25,2,5,0.400,0,2,0.0,4,4,1.0,0,2,2,1,1,0,4,5,8,1.6000000000000005,-4
2018-10-11,Trentino,Brescia,24.367123287671234,1,23,6,13,0.462,0,2,0.0,0,0,0.0,1,1,2,4,1,0,1,2,12,8.3,21
2019-02-10,Trentino,Cantù,24.7013698630137,1,31,6,11,0.000,0,0,0.0,2,2,1.0,1,2,3,3,1,0,2,3,14,9.899999999999999,19
2019-04-16,Trentino,Avellino,24.87945205479452,1,25,2,6,0.333,0,1,0.0,1,4,0.25,1,1,2,2,1,0,2,1,5,1.4000000000000004,-14
2019-06-09,Cantù,Capo d'Orlando,25.027397260273972,1,28,4,8,0.000,0,0,0.0,3,3,1.0,2,0,2,1,2,0,1,1,11,9.7,-13
2019-05-04,Torino,Milano,24.92876712328767,1,21,5,8,0.625,1,1,1.0,2,2,1.0,1,0,1,2,0,0,5,5,13,4.5,-19
