date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-03-30,Milano,Capo d'Orlando,33.78630136986301,0,27,6,13,0.462,4,7,0.571,1,2,0.5,1,5,6,4,0,0,3,2,17,11.099999999999998,10
2019-06-05,Milano,Avellino,33.96986301369863,1,31,4,9,0.444,2,4,0.5,2,3,0.667,1,5,6,4,0,0,3,0,12,8.899999999999999,19
2019-08-03,Milano,Varese,34.131506849315066,1,19,3,6,0.500,1,4,0.25,0,0,0.0,1,0,1,1,1,0,2,4,7,2.8000000000000007,10
2019-02-09,Milano,Brescia,33.652054794520545,1,32,9,16,0.563,6,12,0.5,2,2,1.0,0,6,6,3,1,1,3,2,26,20.200000000000003,12
2018-09-29,Milano,Caserta,33.28767123287671,0,18,3,7,0.429,1,4,0.25,2,2,1.0,0,3,3,3,0,0,0,0,9,8.299999999999999,5
2019-07-25,Milano,Torino,34.106849315068494,0,25,5,8,0.625,3,5,0.6,3,3,1.0,0,2,2,2,2,0,1,3,16,14.2,-2
2019-01-14,Milano,Sassari,33.58082191780822,0,24,5,9,0.556,1,4,0.25,0,0,0.0,2,5,7,8,1,0,2,0,11,14.2,2
2019-01-03,Milano,Cremona,33.55068493150685,0,22,2,4,0.500,0,1,0.0,2,2,1.0,0,8,8,0,0,0,1,1,6,5.0,-8
2019-07-09,Milano,Trentino,34.06301369863014,1,27,5,8,0.625,2,4,0.5,7,8,0.875,0,3,3,1,0,0,1,0,19,15.600000000000001,2
2019-07-07,Milano,Venezia,34.057534246575344,1,28,4,10,0.400,3,7,0.429,0,0,0.0,0,2,2,1,1,0,3,5,11,2.8999999999999995,0
2019-02-18,Milano,Brindisi,33.676712328767124,0,27,7,12,0.583,3,7,0.429,2,2,1.0,0,4,4,2,1,0,1,1,19,15.600000000000001,9
2019-01-17,Milano,Cantù,33.58904109589041,1,32,11,15,0.733,4,5,0.8,0,0,0.0,0,9,9,4,0,0,2,0,26,23.4,11
2018-11-29,Milano,Capo d'Orlando,33.45479452054794,1,16,2,6,0.333,0,1,0.0,0,0,0.0,0,3,3,2,1,1,3,0,4,1.6000000000000005,10
2019-01-26,Milano,Avellino,33.61369863013699,0,26,2,5,0.000,0,0,0.0,1,2,0.5,1,6,7,6,0,0,2,1,5,6.1999999999999975,-1
2019-01-13,Milano,Venezia,33.57808219178082,0,20,0,4,0.000,0,3,0.0,4,6,0.667,1,1,2,1,1,0,0,0,4,3.1000000000000005,3
2019-06-27,Milano,Brindisi,34.03013698630137,0,21,2,4,0.500,0,1,0.0,2,2,1.0,3,4,7,2,0,0,3,1,6,5.299999999999999,-6
2019-03-17,Milano,Reggio Emilia,33.75068493150685,0,24,3,7,0.429,1,3,0.333,0,0,0.0,2,6,8,6,1,0,2,1,7,9.299999999999999,12
2019-01-13,Milano,Pesaro,33.57808219178082,0,24,4,7,0.571,3,4,0.75,2,3,0.667,1,7,8,3,0,0,2,3,13,10.999999999999996,-4
2019-04-03,Milano,Cantù,33.797260273972604,0,26,4,11,0.364,3,7,0.429,2,2,1.0,0,4,4,2,2,0,1,1,13,10.1,1
