date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-05-14,Pesaro,Brescia,22.04931506849315,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-06-16,Pesaro,Reggio Emilia,22.13972602739726,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-11-11,Pesaro,Virtus Bologna,21.545205479452054,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-02-23,Pesaro,Cremona,21.83013698630137,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-02-08,Pesaro,Capo d'Orlando,21.78904109589041,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-04-18,Pistoia,Cremona,21.97808219178082,0,8,0,1,0.000,0,1,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,-1.7,-5
2019-03-01,Pistoia,Brindisi,21.846575342465755,0,1,0,0,0.000,0,0,0.0,2,4,0.5,0,0,0,0,0,0,1,0,2,0.19999999999999996,-4
2018-11-30,Pistoia,Avellino,21.5972602739726,0,4,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,1,0,0,1,0,0,-0.30000000000000004,-4
2019-05-11,Pistoia,Caserta,22.041095890410958,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-05-29,Pistoia,Varese,22.09041095890411,0,9,2,4,0.000,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,0,4,3.0,3
2019-06-22,Pistoia,Sassari,22.156164383561645,0,1,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,1
2018-09-23,Pistoia,Venezia,21.410958904109588,0,12,0,2,0.000,0,1,0.0,0,0,0.0,0,0,0,0,0,1,0,0,0,-0.7,-2
2018-10-31,Pistoia,Trentino,21.515068493150686,0,1,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-11-16,Pistoia,Milano,21.55890410958904,0,3,0,0,0.000,0,0,0.0,0,0,0.0,0,1,1,1,0,0,1,0,0,0.0,1
2018-10-18,Pistoia,Torino,21.47945205479452,0,1,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,1
2019-05-07,Pistoia,Cantù,22.03013698630137,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-12-17,Pistoia,Pesaro,21.643835616438356,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-01-24,Pistoia,Reggio Emilia,21.747945205479454,0,3,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-0.4,-3
2019-02-15,Pistoia,Brescia,21.808219178082194,0,1,0,1,0.000,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.7,-4
2018-09-23,Pistoia,Cremona,21.410958904109588,0,2,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,0.7,-2
2018-10-04,Pistoia,Brindisi,21.44109589041096,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,1
2018-11-25,Pistoia,Avellino,21.583561643835615,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-12-13,Pistoia,Caserta,21.632876712328766,1,8,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,1,0,0.29999999999999993,5
2019-07-17,Pistoia,Varese,22.224657534246575,0,4,0,0,0.000,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.3,2
2018-12-07,Pistoia,Sassari,21.616438356164384,0,1,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-05-08,Pistoia,Venezia,22.03287671232877,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-03-01,Pistoia,Trentino,21.846575342465755,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-02-01,Pistoia,Milano,21.76986301369863,0,1,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-02-25,Pistoia,Torino,21.835616438356166,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-05-08,Pistoia,Capo d'Orlando,22.03287671232877,0,2,0,1,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.7,-5
2019-06-27,Pistoia,Cantù,22.16986301369863,0,1,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,1
2019-01-02,Pistoia,Pesaro,21.687671232876713,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-09-10,Pistoia,Reggio Emilia,21.375342465753423,0,1,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,3
2019-04-22,Pistoia,Brescia,21.98904109589041,0,3,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
