date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-09-13,Avellino,Cantù,28.695890410958903,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-04-09,Avellino,Cremona,29.265753424657536,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-05-13,Avellino,Virtus Bologna,29.35890410958904,0,4,1,2,0.000,0,0,0.0,0,0,0.0,1,0,1,0,0,1,0,1,2,2.0,-6
2018-09-08,Avellino,Brescia,28.682191780821917,0,4,1,1,0.000,0,0,0.0,0,0,0.0,0,0,0,1,0,1,0,0,2,3.0999999999999996,-3
2019-04-07,Avellino,Trentino,29.26027397260274,0,15,3,6,0.500,0,1,0.0,0,0,0.0,1,1,2,1,0,1,0,4,6,3.800000000000001,6
2019-07-15,Avellino,Varese,29.53150684931507,0,13,2,2,0.000,0,0,0.0,0,0,0.0,1,2,3,0,0,0,0,3,4,3.499999999999999,-8
2018-11-05,Avellino,Reggio Emilia,28.84109589041096,0,12,0,3,0.000,0,2,0.0,2,2,1.0,5,2,7,0,0,0,1,0,2,3.0,-18
2019-01-06,Avellino,Venezia,29.01095890410959,0,11,0,4,0.000,0,0,0.0,2,4,0.5,3,0,3,0,0,0,1,0,2,-0.5000000000000002,-8
2019-08-20,Avellino,Pesaro,29.63013698630137,0,10,1,4,0.000,0,0,0.0,1,2,0.5,1,1,2,0,0,0,0,2,3,0.3999999999999999,9
2018-09-09,Avellino,Trieste,28.684931506849317,0,14,1,2,0.000,0,0,0.0,3,3,1.0,1,1,2,0,1,1,0,0,5,6.7,-16
2018-12-22,Avellino,Sassari,28.96986301369863,0,8,0,1,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0,-1.5,0
2018-10-20,Avellino,Milano,28.797260273972604,0,7,1,1,0.000,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,2,2,1.5999999999999999,2
2018-09-15,Avellino,Brindisi,28.7013698630137,0,4,0,1,0.000,0,0,0.0,0,0,0.0,0,0,0,1,0,0,2,1,0,-2.4,-7
2018-11-13,Avellino,Pistoia,28.863013698630137,0,10,0,2,0.000,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,4,0,-2.3,-2
2018-12-05,Avellino,Cantù,28.923287671232877,1,26,3,7,0.429,0,1,0.0,0,0,0.0,1,4,5,1,0,0,0,3,6,3.700000000000001,-19
2018-12-20,Avellino,Brescia,28.964383561643835,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-04-27,Avellino,Trentino,29.315068493150687,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-03-25,Avellino,Varese,29.224657534246575,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-11-20,Avellino,Reggio Emilia,28.88219178082192,0,17,2,3,0.667,0,1,0.0,0,0,0.0,1,2,3,0,1,0,0,1,4,4.6,7
2019-03-12,Avellino,Venezia,29.18904109589041,0,7,1,3,0.000,0,0,0.0,0,0,0.0,1,4,5,0,1,0,0,2,2,2.4000000000000004,-2
2019-01-15,Avellino,Pesaro,29.035616438356165,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-11-03,Avellino,Trieste,28.835616438356166,0,1,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0,-0.8,-1
2019-02-22,Avellino,Sassari,29.13972602739726,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-10-19,Avellino,Torino,28.794520547945204,0,10,4,4,0.000,0,0,0.0,0,0,0.0,1,1,2,1,0,0,0,3,8,7.3,-2
2019-02-17,Avellino,Milano,29.126027397260273,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-03-24,Avellino,Brindisi,29.221917808219178,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-05-16,Avellino,Pistoia,29.367123287671234,0,7,1,1,0.000,0,0,0.0,0,0,0.0,1,1,2,0,0,0,2,4,2,-0.9000000000000004,0
