date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-08-16,Sassari,Cantù,33.26301369863014,0,32,4,9,0.444,1,4,0.25,2,2,1.0,0,4,4,8,2,0,2,2,11,12.299999999999999,26
2019-01-30,Sassari,Torino,32.72054794520548,0,26,4,10,0.400,2,6,0.333,4,4,1.0,1,0,1,5,0,0,5,2,14,6.999999999999998,-9
2019-03-29,Sassari,Reggio Emilia,32.87945205479452,0,26,4,10,0.400,2,6,0.333,1,1,1.0,0,3,3,1,2,0,1,1,11,7.799999999999999,10
2019-08-26,Sassari,Virtus Bologna,33.29041095890411,1,18,2,6,0.333,0,4,0.0,0,0,0.0,1,1,2,1,0,0,1,1,4,0.9000000000000008,-25
2019-02-23,Sassari,Milano,32.78630136986301,0,16,0,0,0.000,0,0,0.0,2,2,1.0,0,3,3,8,2,0,0,2,2,9.7,11
2019-01-31,Sassari,Brindisi,32.723287671232875,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-11-07,Sassari,Brescia,32.49041095890411,0,5,0,0,0.000,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,0,0,1.0,-15
2019-03-26,Sassari,Pistoia,32.87123287671233,0,15,0,3,0.000,0,2,0.0,0,0,0.0,1,0,1,1,0,0,1,2,0,-2.5,-17
2019-01-12,Sassari,Venezia,32.67123287671233,0,16,0,2,0.000,0,2,0.0,2,2,1.0,0,1,1,1,0,0,0,0,2,1.6,-2
2018-12-12,Sassari,Cantù,32.586301369863016,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-05-11,Sassari,Reggio Emilia,32.9972602739726,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-11-03,Sassari,Virtus Bologna,32.47945205479452,0,16,1,5,0.200,0,3,0.0,4,4,1.0,1,2,3,2,0,1,1,3,6,4.1,1
2019-03-21,Sassari,Milano,32.85753424657534,0,22,1,3,0.333,0,1,0.0,0,0,0.0,0,2,2,5,2,0,1,2,2,4.6000000000000005,-2
2018-10-11,Sassari,Cremona,32.416438356164385,1,27,3,6,0.500,3,6,0.5,0,0,0.0,0,1,1,4,2,0,1,1,9,9.700000000000001,17
2019-05-03,Sassari,Capo d'Orlando,32.97534246575343,1,35,5,8,0.625,4,6,0.667,0,0,0.0,1,3,4,7,0,0,1,3,14,14.7,9
2019-04-16,Sassari,Varese,32.92876712328767,1,33,5,9,0.556,3,6,0.5,2,2,1.0,0,0,0,4,1,0,3,5,15,9.5,4
