date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-10-07,Trieste,Virtus Bologna,19.96986301369863,0,22,2,8,0.250,1,3,0.333,1,1,1.0,0,2,2,1,0,0,2,0,6,0.5,-8
2018-10-13,Trieste,Torino,19.986301369863014,1,34,8,16,0.500,2,7,0.286,0,0,0.0,0,6,6,2,0,1,1,4,18,11.3,-7
2018-10-21,Trieste,Brescia,20.008219178082193,1,26,6,8,0.750,4,6,0.667,0,0,0.0,0,5,5,0,2,0,0,1,16,15.899999999999997,9
2018-10-28,Trieste,Varese,20.027397260273972,1,26,4,10,0.400,2,4,0.5,5,6,0.833,0,3,3,1,3,1,1,3,15,12.3,-4
2018-11-04,Trieste,Pistoia,20.046575342465754,1,29,6,12,0.500,1,5,0.2,5,5,1.0,4,5,9,0,0,0,2,3,18,13.100000000000001,-8
2018-11-12,Trieste,Pesaro,20.068493150684933,1,37,3,8,0.375,2,5,0.4,2,4,0.5,2,7,9,1,1,0,3,4,10,5.399999999999999,-22
2018-11-17,Trieste,Trentino,20.08219178082192,1,25,3,6,0.500,2,3,0.667,2,2,1.0,1,4,5,1,0,1,2,2,10,7.499999999999998,17
2018-11-25,Trieste,Cantù,20.104109589041094,1,19,2,6,0.333,0,3,0.0,0,0,0.0,0,5,5,0,0,0,0,0,4,2.1000000000000005,10
2018-12-16,Trieste,Avellino,20.161643835616438,0,14,0,2,0.000,0,2,0.0,7,8,0.875,1,0,1,2,0,0,2,1,7,4.899999999999999,17
2018-12-23,Trieste,Reggio Emilia,20.18082191780822,0,14,1,3,0.333,0,2,0.0,1,2,0.5,1,4,5,0,0,0,3,1,3,-0.6000000000000001,-1
2018-12-26,Trieste,Venezia,20.18904109589041,1,21,3,8,0.375,2,4,0.5,2,2,1.0,1,6,7,2,0,0,0,2,10,8.7,2
2018-12-30,Trieste,Brindisi,20.2,1,9,0,1,0.000,0,0,0.0,0,0,0.0,0,2,2,0,0,0,3,0,0,-3.1,-19
2019-01-06,Trieste,Sassari,20.21917808219178,1,13,0,1,0.000,0,1,0.0,0,0,0.0,2,0,2,0,0,0,0,1,0,0.29999999999999993,-9
2019-01-13,Trieste,Milano,20.23835616438356,1,12,0,2,0.000,0,1,0.0,0,0,0.0,0,0,0,0,0,0,1,3,0,-3.6,-10
2019-01-20,Trieste,Virtus Bologna,20.257534246575343,0,16,3,6,0.500,3,4,0.75,0,4,0.0,1,4,5,2,1,1,0,3,9,8.2,4
2019-01-27,Trieste,Torino,20.276712328767122,0,5,0,0,0.000,0,0,0.0,0,0,0.0,1,0,1,0,1,0,0,1,0,1.2999999999999998,1
2019-02-03,Trieste,Brescia,20.295890410958904,0,24,2,6,0.333,1,2,0.5,7,8,0.875,5,1,6,3,0,0,1,4,12,11.500000000000002,-3
2019-03-03,Trieste,Pistoia,20.372602739726027,0,16,1,4,0.250,1,3,0.333,2,2,1.0,0,4,4,0,0,0,0,4,5,2.2000000000000006,7
2019-03-09,Trieste,Pesaro,20.389041095890413,0,20,3,4,0.750,1,1,1.0,2,2,1.0,2,5,7,0,0,0,4,1,9,5.899999999999999,19
2019-03-17,Trieste,Trentino,20.410958904109588,1,8,0,3,0.000,0,1,0.0,0,0,0.0,0,2,2,1,0,0,1,2,0,-2.5999999999999996,-3
2019-03-24,Trieste,Cantù,20.43013698630137,0,11,1,3,0.333,1,3,0.333,0,0,0.0,1,2,3,0,0,0,0,2,3,1.8,4
2019-03-31,Trieste,Cremona,20.44931506849315,0,13,2,5,0.400,0,2,0.0,3,3,1.0,0,4,4,0,0,0,1,3,7,3.3,-2
2019-04-09,Trieste,Avellino,20.473972602739725,1,15,2,5,0.400,0,2,0.0,4,7,0.571,0,3,3,0,1,0,1,2,8,4.2,-6
2019-04-14,Trieste,Reggio Emilia,20.487671232876714,0,12,0,1,0.000,0,1,0.0,0,0,0.0,0,1,1,0,0,0,1,3,0,-2.6,-14
2019-04-20,Trieste,Venezia,20.504109589041096,0,12,0,2,0.000,0,2,0.0,4,4,1.0,1,0,1,0,0,0,1,1,4,1.9,3
2019-04-28,Trieste,Brindisi,20.526027397260275,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-05-05,Trieste,Sassari,20.545205479452054,0,10,2,4,0.500,2,3,0.667,0,0,0.0,1,1,2,0,0,0,2,2,6,2.2,-12
