date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-06-19,Trentino,Virtus Bologna,32.68493150684932,1,34,4,14,0.286,2,6,0.333,0,0,0.0,1,4,5,0,2,0,2,3,10,2.500000000000001,10
2019-03-22,Trentino,Venezia,32.441095890410956,1,16,2,5,0.400,1,2,0.5,2,4,0.5,0,2,2,0,1,1,1,4,7,3.1999999999999993,9
2019-07-10,Trentino,Brescia,32.74246575342466,1,27,2,10,0.200,0,5,0.0,0,0,0.0,0,7,7,1,1,2,2,2,4,0.20000000000000018,-8
2019-02-10,Trentino,Cantù,32.33150684931507,1,24,6,13,0.462,1,3,0.333,1,2,0.5,3,9,12,1,0,0,2,2,14,9.599999999999996,-2
2019-05-03,Trentino,Reggio Emilia,32.556164383561644,1,27,4,8,0.500,0,2,0.0,0,0,0.0,1,7,8,6,3,0,5,2,8,8.2,9
2019-01-22,Trentino,Varese,32.27945205479452,1,27,2,8,0.250,1,4,0.25,2,7,0.286,2,10,12,1,2,0,2,2,7,4.5,-15
2018-12-10,Trentino,Milano,32.16164383561644,1,29,2,10,0.200,0,3,0.0,2,2,1.0,1,3,4,3,2,0,2,1,6,3.0999999999999988,-11
2019-04-23,Trentino,Pesaro,32.52876712328767,1,31,4,9,0.444,2,4,0.5,2,3,0.667,3,3,6,2,1,1,1,4,12,10.4,25
2019-01-12,Trentino,Capo d'Orlando,32.25205479452055,1,30,7,14,0.500,1,3,0.333,1,1,1.0,1,5,6,5,3,0,2,3,16,14.500000000000004,10
2018-10-03,Trentino,Brindisi,31.975342465753425,1,34,7,8,0.875,1,2,0.5,1,4,0.25,2,8,10,2,1,0,4,4,16,12.599999999999998,-1
2019-06-10,Trentino,Cremona,32.66027397260274,1,33,9,14,0.000,0,0,0.0,6,6,1.0,6,7,13,1,1,0,4,3,24,20.600000000000005,18
2019-03-16,Trentino,Pistoia,32.42465753424658,1,34,6,14,0.429,0,5,0.0,0,0,0.0,2,6,8,4,3,0,1,3,12,11.400000000000002,12
2018-11-26,Trentino,Torino,32.12328767123288,1,30,5,11,0.455,1,2,0.5,5,5,1.0,4,9,13,4,3,2,5,2,16,17.2,7
