date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-06-18,Trentino,Brindisi,32.326027397260276,1,25,1,5,0.200,0,3,0.0,1,2,0.5,0,3,3,2,4,0,0,0,3,5.799999999999999,4
2019-08-14,Brindisi,Torino,32.48219178082192,1,29,1,6,0.167,0,3,0.0,1,1,1.0,1,1,2,1,1,0,0,2,3,1.1000000000000005,-8
2018-09-01,Brindisi,Pistoia,31.53150684931507,1,23,1,5,0.200,0,2,0.0,3,4,0.75,1,3,4,1,0,0,0,3,5,2.5999999999999996,-12
2019-06-21,Brindisi,Venezia,32.33424657534247,1,27,5,11,0.455,2,5,0.4,2,2,1.0,0,3,3,0,1,0,0,1,14,9.8,4
2018-09-29,Brindisi,Milano,31.60821917808219,1,21,1,4,0.250,1,1,1.0,0,0,0.0,0,0,0,0,0,0,1,2,3,-1.2,-27
2019-01-13,Brindisi,Brescia,31.898630136986302,1,29,3,6,0.500,1,2,0.5,1,1,1.0,1,5,6,4,0,0,2,3,8,6.800000000000001,-4
2019-04-20,Brindisi,Avellino,32.16438356164384,0,29,4,9,0.444,2,4,0.5,0,0,0.0,0,2,2,1,0,0,1,2,10,4.8,6
2018-11-15,Brindisi,Pesaro,31.736986301369864,0,21,0,7,0.000,0,3,0.0,2,5,0.4,0,2,2,1,1,0,0,1,2,-2.1999999999999997,-17
2019-04-20,Brindisi,Virtus Bologna,32.16438356164384,0,30,5,10,0.500,0,3,0.0,0,0,0.0,0,3,3,3,0,0,2,3,10,4.8,4
2019-01-31,Brindisi,Sassari,31.947945205479453,0,17,2,5,0.400,1,2,0.5,0,0,0.0,1,3,4,4,1,0,0,1,5,7.3,-10
2018-10-03,Brindisi,Trentino,31.61917808219178,0,9,1,2,0.000,0,0,0.0,0,0,0.0,1,0,1,0,0,0,1,1,2,0.2999999999999998,-3
2019-08-04,Brindisi,Capo d'Orlando,32.45479452054794,1,30,5,11,0.455,0,3,0.0,0,0,0.0,0,4,4,2,2,0,2,2,10,6.1,3
2018-11-26,Brindisi,Cremona,31.767123287671232,1,29,4,8,0.500,0,2,0.0,4,4,1.0,1,4,5,1,1,0,2,2,12,8.799999999999997,-14
2019-06-29,Brindisi,Varese,32.35616438356164,1,36,7,12,0.583,2,5,0.4,1,1,1.0,0,5,5,4,1,0,1,4,17,14.100000000000003,9
2019-07-03,Brindisi,Reggio Emilia,32.367123287671234,1,35,4,6,0.667,1,1,1.0,1,2,0.5,0,7,7,4,0,0,1,1,10,10.499999999999998,6
2018-10-29,Brindisi,Torino,31.69041095890411,0,13,1,3,0.333,0,2,0.0,0,0,0.0,0,1,1,1,0,0,1,2,2,-0.4999999999999998,-5
2019-05-15,Brindisi,Pistoia,32.23287671232877,1,21,4,6,0.667,2,3,0.667,2,2,1.0,0,2,2,2,0,0,0,2,12,10.6,12
2019-02-12,Brindisi,Venezia,31.98082191780822,1,31,6,13,0.462,1,3,0.333,2,2,1.0,2,2,4,1,1,0,1,3,15,9.799999999999997,-4
2019-06-24,Brindisi,Milano,32.342465753424655,1,26,4,8,0.500,0,3,0.0,0,0,0.0,1,5,6,5,0,0,1,3,8,7.5,-2
2018-12-20,Brindisi,Brescia,31.83287671232877,1,33,3,7,0.429,1,2,0.5,0,0,0.0,1,6,7,3,1,0,1,0,7,7.899999999999999,-6
2018-11-18,Brindisi,Avellino,31.745205479452054,1,24,3,8,0.375,0,1,0.0,0,0,0.0,0,0,0,1,1,0,2,1,6,0.9000000000000008,-17
2019-01-27,Brindisi,Pesaro,31.936986301369863,1,24,5,9,0.000,0,0,0.0,0,0,0.0,1,4,5,2,1,0,0,4,10,8.400000000000002,7
