date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-08-29,Avellino,Torino,26.45205479452055,1,21,2,6,0.333,2,4,0.5,0,0,0.0,0,3,3,1,0,0,4,1,6,-0.19999999999999973,-5
2019-06-05,Avellino,Milano,26.21917808219178,1,31,8,13,0.615,3,5,0.6,0,0,0.0,0,0,0,2,0,1,1,2,19,13.399999999999999,-6
2019-02-06,Avellino,Pesaro,25.893150684931506,0,14,2,7,0.286,0,1,0.0,0,0,0.0,0,2,2,0,0,0,1,1,4,-0.8999999999999997,-1
2019-02-28,Avellino,Brescia,25.953424657534246,1,27,6,12,0.500,3,6,0.5,4,4,1.0,1,4,5,3,0,0,1,1,19,15.600000000000001,14
2019-06-07,Avellino,Varese,26.224657534246575,1,39,6,13,0.462,3,4,0.75,1,2,0.5,1,4,5,1,1,0,1,1,16,11.099999999999996,2
2019-05-05,Avellino,Reggio Emilia,26.134246575342466,1,21,1,5,0.200,0,1,0.0,0,2,0.0,0,3,3,1,0,0,1,1,2,-1.7000000000000002,-8
2019-05-29,Avellino,Sassari,26.2,1,22,8,13,0.615,4,5,0.8,1,1,1.0,0,1,1,0,0,0,1,3,21,13.2,14
2018-12-27,Avellino,Brindisi,25.78082191780822,1,28,3,10,0.300,2,6,0.333,2,2,1.0,1,3,4,1,0,0,1,1,10,5.099999999999999,5
2018-11-01,Avellino,Venezia,25.627397260273973,1,18,0,6,0.000,0,2,0.0,0,0,0.0,0,0,0,2,0,0,2,3,0,-6.0,-6
2019-08-02,Avellino,Cantù,26.378082191780823,1,15,0,5,0.000,0,1,0.0,0,2,0.0,1,3,4,0,1,0,0,2,0,-2.5,-10
2018-11-15,Avellino,Cremona,25.665753424657535,1,30,8,14,0.571,2,5,0.4,1,1,1.0,1,4,5,1,2,0,1,2,19,15.199999999999996,26
2019-08-10,Avellino,Capo d'Orlando,26.4,1,27,9,12,0.750,4,6,0.667,2,2,1.0,0,1,1,1,0,0,2,1,24,17.800000000000004,22
2019-07-06,Avellino,Caserta,26.304109589041097,1,24,6,14,0.429,2,4,0.5,0,0,0.0,1,4,5,1,0,0,2,1,14,6.799999999999999,-12
2019-01-07,Avellino,Trentino,25.81095890410959,1,37,5,10,0.500,3,6,0.5,0,0,0.0,1,11,12,0,1,1,6,2,13,6.899999999999999,12
2019-04-25,Avellino,Torino,26.106849315068494,1,30,7,13,0.538,1,4,0.25,1,3,0.333,1,1,2,1,1,0,2,3,16,8.399999999999999,-3
2019-01-26,Avellino,Milano,25.863013698630137,1,31,3,8,0.375,1,4,0.25,4,5,0.8,0,1,1,3,0,0,1,3,11,6.399999999999998,18
2018-11-25,Avellino,Pistoia,25.693150684931506,1,25,1,7,0.143,0,2,0.0,3,3,1.0,0,3,3,1,0,0,3,3,5,-2.0999999999999996,2
2018-12-16,Avellino,Pesaro,25.75068493150685,1,30,8,16,0.500,1,4,0.25,3,6,0.5,0,3,3,2,0,0,0,1,20,12.700000000000001,2
2019-03-30,Avellino,Brescia,26.035616438356165,1,23,1,5,0.200,0,1,0.0,0,0,0.0,0,1,1,0,0,0,3,2,2,-4.6,-6
2018-12-24,Avellino,Varese,25.77260273972603,1,27,2,7,0.286,0,2,0.0,1,2,0.5,2,0,2,3,1,0,1,3,5,2.8,4
2019-06-21,Avellino,Reggio Emilia,26.263013698630136,1,38,10,19,0.526,3,4,0.75,1,2,0.5,1,4,5,1,0,0,0,3,24,15.7,2
2019-01-05,Avellino,Sassari,25.805479452054794,1,23,3,12,0.250,2,4,0.5,1,1,1.0,1,1,2,2,0,0,1,1,9,2.800000000000001,3
2019-05-24,Avellino,Brindisi,26.186301369863013,1,26,2,8,0.250,1,4,0.25,0,0,0.0,1,4,5,1,0,0,1,0,5,1.7999999999999998,-17
2019-04-14,Avellino,Venezia,26.076712328767123,1,24,4,9,0.444,0,2,0.0,0,0,0.0,0,0,0,1,0,1,2,0,8,2.7,5
2019-01-29,Avellino,Cantù,25.87123287671233,1,31,4,13,0.308,2,6,0.333,3,4,0.75,1,5,6,3,0,0,1,4,13,6.799999999999999,1
2019-06-18,Avellino,Cremona,26.254794520547946,1,25,6,13,0.462,3,6,0.5,4,4,1.0,1,1,2,2,0,0,3,2,19,10.899999999999999,7
2018-10-02,Avellino,Capo d'Orlando,25.545205479452054,1,22,1,7,0.143,0,3,0.0,2,2,1.0,2,2,4,2,1,0,4,4,4,-1.6999999999999993,-1
2019-02-05,Avellino,Caserta,25.89041095890411,1,26,5,10,0.500,2,6,0.333,6,7,0.857,1,4,5,2,1,1,2,3,18,14.399999999999999,3
2019-04-16,Avellino,Trentino,26.08219178082192,1,31,6,12,0.500,3,7,0.429,0,0,0.0,1,3,4,2,0,0,3,5,15,7.0,6
