date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-10-07,Sassari,Reggio Emilia,24.161643835616438,1,24,1,8,0.125,1,2,0.5,2,4,0.5,2,2,4,1,2,0,1,4,5,1.1,-1
2018-10-14,Sassari,Varese,24.18082191780822,1,30,4,10,0.400,0,2,0.0,2,5,0.4,4,11,15,5,1,1,3,2,10,10.899999999999999,5
2018-10-21,Sassari,Brindisi,24.2,1,30,4,7,0.571,0,2,0.0,1,2,0.5,2,7,9,0,1,0,2,5,9,5.799999999999999,9
2018-10-28,Sassari,Torino,24.21917808219178,1,20,5,8,0.625,1,2,0.5,1,1,1.0,3,1,4,3,0,0,1,2,12,11.1,19
2018-11-04,Sassari,Cremona,24.23835616438356,1,23,3,8,0.375,0,1,0.0,3,5,0.6,0,5,5,0,0,0,6,3,9,-1.9000000000000004,-6
2018-11-10,Sassari,Venezia,24.254794520547946,1,23,2,5,0.400,0,1,0.0,0,0,0.0,1,4,5,1,1,0,3,2,4,1.0999999999999996,0
2018-11-18,Sassari,Pistoia,24.276712328767122,1,27,5,7,0.000,0,0,0.0,4,6,0.667,4,6,10,4,1,1,3,3,14,15.200000000000003,-18
2018-11-25,Sassari,Trentino,24.295890410958904,1,17,1,3,0.000,0,0,0.0,2,2,1.0,1,6,7,2,0,0,3,5,4,1.200000000000001,2
2018-12-09,Sassari,Virtus Bologna,24.334246575342465,1,18,4,9,0.444,2,3,0.667,1,2,0.5,0,2,2,1,0,0,0,3,11,5.999999999999999,-6
2018-12-16,Sassari,Milano,24.353424657534248,1,30,6,16,0.375,0,1,0.0,2,2,1.0,2,5,7,1,1,0,4,2,14,4.999999999999998,0
2018-12-23,Sassari,Avellino,24.372602739726027,1,19,4,11,0.364,2,5,0.4,0,0,0.0,0,1,1,0,1,0,1,2,10,3.4000000000000004,-4
2018-12-26,Sassari,Pesaro,24.38082191780822,1,21,7,11,0.636,2,5,0.4,0,0,0.0,1,8,9,5,1,0,3,3,16,14.500000000000004,36
2018-12-30,Sassari,Brescia,24.39178082191781,0,20,4,8,0.500,1,4,0.25,0,0,0.0,1,3,4,0,1,0,3,4,9,3.0,13
2019-01-06,Sassari,Trieste,24.410958904109588,1,25,4,9,0.444,1,3,0.333,2,4,0.5,1,7,8,2,1,1,1,0,11,10.4,0
2019-01-12,Sassari,Cantù,24.427397260273974,1,22,7,10,0.700,2,4,0.5,4,6,0.667,3,2,5,2,0,0,1,4,20,16.5,25
2019-01-20,Sassari,Reggio Emilia,24.44931506849315,1,22,3,7,0.429,0,2,0.0,0,1,0.0,2,5,7,4,0,0,3,1,6,4.2,8
2019-01-27,Sassari,Varese,24.46849315068493,1,33,5,8,0.625,0,1,0.0,2,2,1.0,6,2,8,3,0,1,1,3,12,13.799999999999997,-15
2019-02-03,Sassari,Brindisi,24.487671232876714,1,30,6,12,0.500,0,1,0.0,0,0,0.0,1,9,10,3,0,0,3,5,12,6.500000000000002,7
2019-02-10,Sassari,Torino,24.506849315068493,1,31,3,8,0.375,1,4,0.25,1,5,0.2,1,7,8,1,2,0,3,1,8,4.099999999999999,-19
2019-03-10,Sassari,Venezia,24.583561643835615,1,30,5,9,0.556,1,3,0.333,3,5,0.6,2,5,7,4,1,0,2,5,14,11.599999999999998,1
2019-03-17,Sassari,Pistoia,24.602739726027398,1,38,2,9,0.222,1,4,0.25,12,14,0.857,2,5,7,1,1,0,2,2,17,12.499999999999998,3
2019-03-24,Sassari,Trentino,24.621917808219177,1,21,4,8,0.500,0,2,0.0,3,3,1.0,1,3,4,2,2,0,3,5,11,7.0,12
2019-03-31,Sassari,Virtus Bologna,24.64109589041096,1,22,5,9,0.556,0,2,0.0,2,2,1.0,3,2,5,1,1,1,3,4,12,8.2,8
2019-04-07,Sassari,Milano,24.66027397260274,1,22,5,10,0.500,1,2,0.5,2,3,0.667,2,4,6,2,0,0,1,4,13,9.0,7
2019-04-14,Sassari,Avellino,24.67945205479452,1,32,7,12,0.583,2,4,0.5,6,8,0.75,3,3,6,1,2,1,0,3,22,20.8,11
2019-04-20,Sassari,Pesaro,24.695890410958903,1,34,6,14,0.429,4,7,0.571,0,4,0.0,4,6,10,2,0,1,2,5,16,9.700000000000001,1
2019-04-28,Sassari,Brescia,24.71780821917808,1,33,13,26,0.500,2,7,0.286,2,5,0.4,2,5,7,4,2,0,1,3,30,21.300000000000004,13
2019-05-05,Sassari,Trieste,24.736986301369864,1,36,6,14,0.429,0,2,0.0,4,4,1.0,0,5,5,2,4,1,4,2,16,11.399999999999999,28
