date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-04-18,Cremona,Pistoia,28.96986301369863,1,22,9,14,0.643,5,8,0.625,0,0,0.0,0,3,3,2,1,0,1,0,23,19.1,14
2019-06-19,Cremona,Trentino,29.13972602739726,1,28,6,13,0.462,4,7,0.571,3,3,1.0,1,2,3,1,1,0,1,0,19,14.299999999999997,-3
2019-05-26,Cremona,Caserta,29.073972602739726,1,28,7,14,0.500,5,8,0.625,2,2,1.0,0,3,3,1,1,0,4,0,21,12.600000000000001,-13
2019-06-13,Cremona,Torino,29.123287671232877,1,29,2,11,0.182,2,8,0.25,0,0,0.0,1,2,3,2,0,0,3,0,6,-1.1999999999999997,-10
2018-11-29,Cremona,Venezia,28.586301369863016,1,32,3,6,0.500,0,1,0.0,0,0,0.0,0,3,3,3,1,0,1,2,6,5.2,-1
2019-02-07,Cremona,Brindisi,28.778082191780822,1,31,5,17,0.294,2,12,0.167,3,3,1.0,0,3,3,4,1,0,2,0,15,7.800000000000001,-24
2019-04-18,Cremona,Capo d'Orlando,28.96986301369863,1,37,7,15,0.467,1,6,0.167,0,0,0.0,0,6,6,3,1,0,0,0,15,12.200000000000001,-7
2019-01-03,Cremona,Milano,28.682191780821917,1,29,2,10,0.200,0,4,0.0,0,0,0.0,0,4,4,2,0,0,2,4,4,-3.2,-4
2018-10-08,Cremona,Sassari,28.443835616438356,1,33,2,8,0.250,0,2,0.0,2,2,1.0,0,1,1,5,0,1,1,0,6,4.7,-7
2018-10-17,Cremona,Pesaro,28.46849315068493,1,28,3,8,0.375,2,6,0.333,0,0,0.0,0,1,1,0,0,0,3,1,8,0.49999999999999956,-14
2019-07-02,Cremona,Brescia,29.175342465753424,1,29,3,11,0.273,0,6,0.0,0,0,0.0,0,5,5,1,1,1,2,0,6,1.4000000000000012,-15
2018-11-15,Cremona,Avellino,28.54794520547945,1,20,1,9,0.111,0,5,0.0,0,0,0.0,0,3,3,0,1,0,2,1,2,-4.4,-22
2019-08-16,Cremona,Cantù,29.2986301369863,0,24,2,9,0.222,0,4,0.0,0,0,0.0,0,1,1,4,1,1,1,1,4,1.9,-10
2019-07-23,Cremona,Varese,29.232876712328768,0,25,2,8,0.250,1,4,0.25,1,2,0.5,0,2,2,3,1,0,1,3,6,2.3,5
2019-06-26,Cremona,Reggio Emilia,29.15890410958904,0,20,1,5,0.200,1,3,0.333,1,2,0.5,0,0,0,3,2,0,0,2,4,3.8,2
2018-09-23,Cremona,Pistoia,28.4027397260274,0,25,3,8,0.375,3,5,0.6,0,0,0.0,0,3,3,1,2,0,2,3,9,4.999999999999999,-7
2019-07-05,Cremona,Trentino,29.183561643835617,0,26,5,11,0.455,2,6,0.333,4,4,1.0,0,3,3,0,0,0,0,1,16,10.8,-7
2018-10-07,Cremona,Caserta,28.44109589041096,0,20,0,6,0.000,0,4,0.0,1,2,0.5,1,2,3,0,1,0,1,4,1,-3.8999999999999995,1
2019-04-10,Cremona,Torino,28.947945205479453,0,25,10,16,0.625,6,9,0.667,0,2,0.0,0,2,2,2,0,0,0,2,26,19.2,36
2019-01-25,Cremona,Venezia,28.742465753424657,1,31,4,10,0.400,3,4,0.75,0,0,0.0,0,0,0,0,3,0,0,2,11,7.8,10
2019-02-28,Cremona,Brindisi,28.835616438356166,1,25,3,10,0.300,1,3,0.333,0,2,0.0,0,0,0,2,0,0,3,2,7,-2.000000000000001,-12
2018-09-23,Cremona,Capo d'Orlando,28.4027397260274,1,36,3,7,0.429,0,2,0.0,2,2,1.0,1,2,3,3,3,0,0,2,8,9.899999999999999,3
2018-10-30,Cremona,Milano,28.504109589041096,1,29,4,12,0.333,2,4,0.5,0,0,0.0,0,1,1,0,3,0,3,1,10,3.1000000000000005,-8
2019-06-29,Cremona,Sassari,29.167123287671235,1,21,3,4,0.750,1,1,1.0,1,1,1.0,0,1,1,3,2,0,2,5,8,6.799999999999999,4
2019-03-17,Cremona,Pesaro,28.88219178082192,1,36,7,15,0.467,5,9,0.556,1,1,1.0,0,11,11,2,1,0,2,0,20,16.0,10
2019-07-13,Cremona,Brescia,29.205479452054796,1,25,1,6,0.167,0,4,0.0,0,0,0.0,0,0,0,2,1,0,2,1,2,-1.7999999999999994,-15
2019-06-18,Cremona,Avellino,29.136986301369863,1,24,2,7,0.286,1,5,0.2,2,2,1.0,0,3,3,2,1,0,0,2,7,5.400000000000001,0
2019-07-12,Cremona,Cantù,29.202739726027396,1,37,6,11,0.545,3,5,0.6,0,0,0.0,0,3,3,1,4,0,2,0,15,13.299999999999999,6
2018-11-22,Cremona,Varese,28.567123287671233,1,37,7,17,0.412,2,9,0.222,0,0,0.0,1,2,3,1,0,0,5,2,16,3.1000000000000014,-8
2019-07-02,Cremona,Reggio Emilia,29.175342465753424,1,30,4,7,0.571,3,4,0.75,5,5,1.0,0,5,5,4,2,0,2,3,16,15.800000000000004,12
