date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-10-06,Cantù,Avellino,29.197260273972603,1,35,9,10,0.000,0,0,0.0,1,1,1.0,4,3,7,5,1,0,1,1,19,22.400000000000002,-16
2018-10-14,Cantù,Trentino,29.21917808219178,1,35,2,5,0.000,0,0,0.0,9,9,1.0,4,9,13,8,5,0,2,0,13,24.4,15
2018-10-20,Cantù,Cremona,29.235616438356164,1,33,3,8,0.000,0,0,0.0,0,0,0.0,3,7,10,4,1,0,1,1,6,8.200000000000001,26
2018-10-28,Cantù,Reggio Emilia,29.257534246575343,1,38,6,14,0.000,0,0,0.0,2,4,0.5,1,6,7,3,1,0,2,0,14,9.4,-2
2018-11-04,Cantù,Brindisi,29.276712328767122,1,32,1,3,0.000,0,0,0.0,3,3,1.0,2,6,8,2,0,0,1,2,5,6.1000000000000005,-21
2018-11-11,Cantù,Virtus Bologna,29.295890410958904,1,39,6,9,0.000,0,0,0.0,4,6,0.667,2,11,13,5,3,0,4,3,16,17.299999999999997,-4
2018-11-19,Cantù,Pesaro,29.317808219178083,1,36,12,15,0.000,0,0,0.0,0,1,0.0,7,6,13,3,3,1,2,4,24,26.8,-3
2018-11-25,Cantù,Trieste,29.334246575342465,1,36,6,9,0.000,0,0,0.0,4,5,0.8,1,8,9,2,3,0,1,1,16,17.799999999999997,-13
2018-12-09,Cantù,Milano,29.372602739726027,1,38,7,15,0.000,0,0,0.0,0,1,0.0,5,7,12,2,3,0,1,2,14,14.1,-21
2018-12-16,Cantù,Brescia,29.39178082191781,1,36,5,8,0.000,0,0,0.0,1,4,0.25,4,6,10,4,2,0,1,1,11,14.200000000000001,-17
2018-12-23,Cantù,Venezia,29.410958904109588,1,35,5,13,0.385,0,3,0.0,2,4,0.5,2,4,6,5,1,0,6,4,12,3.5999999999999996,-21
2018-12-25,Cantù,Varese,29.416438356164385,1,27,4,8,0.500,0,1,0.0,2,2,1.0,2,3,5,3,2,0,2,2,10,9.6,-8
2018-12-30,Cantù,Pistoia,29.43013698630137,1,36,4,8,0.000,0,0,0.0,3,7,0.429,2,4,6,6,1,0,3,1,11,9.799999999999999,25
2019-01-06,Cantù,Torino,29.44931506849315,1,39,6,12,0.500,0,1,0.0,2,2,1.0,3,6,9,5,2,0,2,4,14,13.799999999999999,19
2019-01-19,Cantù,Avellino,29.484931506849314,1,26,3,5,0.000,0,0,0.0,0,0,0.0,2,5,7,6,2,0,2,1,6,10.399999999999999,5
2019-01-27,Cantù,Trentino,29.506849315068493,1,38,7,10,0.700,0,1,0.0,4,4,1.0,3,5,8,3,0,0,4,4,18,13.899999999999999,6
2019-02-03,Cantù,Cremona,29.526027397260275,1,32,3,5,0.600,1,2,0.5,1,2,0.5,4,8,12,6,2,0,3,3,8,12.499999999999996,16
2019-02-09,Cantù,Reggio Emilia,29.542465753424658,1,32,4,7,0.571,0,2,0.0,0,0,0.0,4,3,7,5,2,0,4,4,8,8.3,16
2019-03-03,Avellino,Trentino,29.602739726027398,0,30,8,12,0.000,0,0,0.0,1,2,0.5,0,7,7,6,0,0,3,2,17,13.899999999999999,-15
2019-03-10,Avellino,Varese,29.621917808219177,0,22,4,6,0.000,0,0,0.0,2,3,0.667,3,7,10,1,1,0,2,3,10,9.7,12
2019-03-17,Avellino,Reggio Emilia,29.64109589041096,0,22,4,7,0.000,0,0,0.0,1,1,1.0,2,6,8,6,2,1,2,4,9,12.199999999999998,17
2019-03-24,Avellino,Venezia,29.66027397260274,1,28,6,14,0.429,0,1,0.0,0,0,0.0,1,4,5,1,0,1,1,4,12,5.3000000000000025,5
2019-03-31,Avellino,Pesaro,29.67945205479452,1,25,7,10,0.700,0,1,0.0,3,4,0.75,3,2,5,3,2,0,0,5,17,17.200000000000003,16
2019-04-09,Avellino,Trieste,29.704109589041096,1,40,3,6,0.000,0,0,0.0,4,6,0.667,5,8,13,5,2,1,3,1,10,14.900000000000002,-2
2019-04-14,Avellino,Sassari,29.71780821917808,1,28,2,4,0.000,0,0,0.0,2,2,1.0,2,3,5,2,2,0,1,4,6,7.100000000000001,-14
2019-04-20,Avellino,Torino,29.734246575342468,1,30,7,9,0.778,1,1,1.0,0,1,0.0,2,6,8,3,0,0,2,2,15,13.599999999999998,22
2019-04-28,Avellino,Milano,29.756164383561643,1,34,6,12,0.500,0,1,0.0,3,6,0.5,3,6,9,0,2,0,1,4,15,11.1,-9
2019-05-05,Avellino,Brindisi,29.775342465753425,0,22,3,8,0.000,0,0,0.0,0,0,0.0,4,3,7,1,0,0,3,2,6,2.200000000000001,-13
