date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-03-10,Venezia,Torino,31.506849315068493,1,17,0,2,0.000,0,0,0.0,1,4,0.25,1,1,2,3,1,1,6,2,1,-3.6000000000000005,0
2019-08-12,Venezia,Pistoia,31.93150684931507,1,12,4,5,0.000,0,0,0.0,0,0,0.0,2,0,2,0,1,0,1,4,8,5.9,10
2018-11-20,Venezia,Pesaro,31.205479452054796,1,21,2,5,0.000,0,0,0.0,0,0,0.0,3,4,7,1,1,0,1,0,4,5.3,19
2019-01-29,Venezia,Trentino,31.397260273972602,1,16,4,6,0.000,0,0,0.0,0,0,0.0,3,2,5,2,1,0,3,3,8,6.300000000000001,19
2019-06-29,Venezia,Virtus Bologna,31.81095890410959,1,15,5,7,0.000,0,0,0.0,2,2,1.0,2,1,3,0,0,1,0,4,12,9.900000000000002,3
2019-08-11,Venezia,Sassari,31.92876712328767,1,17,3,5,0.000,0,0,0.0,0,0,0.0,2,2,4,0,0,1,1,2,6,4.6,1
2019-06-08,Venezia,Milano,31.753424657534246,1,13,2,2,0.000,0,0,0.0,1,4,0.25,1,1,2,2,0,0,3,1,5,2.1999999999999993,-6
2019-01-06,Venezia,Avellino,31.334246575342465,1,14,3,4,0.000,0,0,0.0,0,0,0.0,2,0,2,1,0,0,1,3,6,4.300000000000001,17
2019-01-24,Venezia,Varese,31.383561643835616,1,15,1,3,0.000,0,0,0.0,1,2,0.5,1,2,3,1,0,0,0,0,3,2.9000000000000004,0
2019-03-10,Venezia,Reggio Emilia,31.506849315068493,1,14,1,3,0.000,0,0,0.0,2,2,1.0,1,0,1,1,0,2,0,3,4,3.9000000000000012,-4
2019-01-21,Venezia,Torino,31.375342465753423,1,19,3,5,0.000,0,0,0.0,0,0,0.0,1,3,4,1,1,0,0,3,6,5.800000000000001,14
2018-10-05,Venezia,Pistoia,31.079452054794523,1,16,3,4,0.000,0,0,0.0,1,1,1.0,1,2,3,1,1,0,2,3,7,5.199999999999998,8
2019-07-06,Venezia,Pesaro,31.83013698630137,1,12,1,1,0.000,0,0,0.0,1,2,0.5,0,0,0,0,0,0,2,3,3,-0.8999999999999999,-4
2019-04-10,Venezia,Trentino,31.59178082191781,1,12,1,2,0.000,0,0,0.0,1,2,0.5,3,1,4,1,0,0,3,1,3,1.299999999999999,-16
2019-06-12,Venezia,Virtus Bologna,31.764383561643836,0,9,2,5,0.000,0,0,0.0,2,3,0.667,3,0,3,0,0,0,2,2,6,2.2,-4
2019-04-08,Venezia,Sassari,31.586301369863016,0,9,1,2,0.000,0,0,0.0,0,2,0.0,1,0,1,0,0,0,0,2,2,0.09999999999999987,-10
2019-05-20,Venezia,Milano,31.7013698630137,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-03-12,Venezia,Avellino,31.51232876712329,0,8,0,2,0.000,0,0,0.0,1,2,0.5,2,1,3,0,0,0,0,1,1,0.4999999999999999,8
2018-09-12,Venezia,Varese,31.016438356164382,0,8,2,2,0.000,0,0,0.0,1,2,0.5,0,0,0,0,0,0,0,1,5,3.6,2
2019-02-03,Venezia,Brindisi,31.410958904109588,0,3,0,0,0.000,0,0,0.0,2,2,1.0,0,0,0,0,0,0,0,0,2,2.0,3
2019-01-20,Venezia,Cantù,31.372602739726027,0,4,1,2,0.000,0,0,0.0,0,0,0.0,2,0,2,0,0,0,1,2,2,0.5999999999999999,-2
2019-01-04,Venezia,Brescia,31.328767123287673,0,17,6,9,0.000,0,0,0.0,2,4,0.5,4,3,7,0,1,0,0,2,14,13.199999999999998,-7
