date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-03-10,Venezia,Torino,29.254794520547946,0,21,5,9,0.556,0,1,0.0,1,4,0.25,0,2,2,1,0,1,1,1,11,6.1,8
2019-08-12,Venezia,Pistoia,29.67945205479452,0,12,2,3,0.000,0,0,0.0,4,6,0.667,1,4,5,0,0,1,4,4,8,2.900000000000002,5
2018-11-20,Venezia,Pesaro,28.953424657534246,0,5,3,5,0.600,0,1,0.0,1,1,1.0,0,3,3,0,0,1,0,0,7,6.3,0
2019-01-29,Venezia,Trentino,29.145205479452056,0,20,6,8,0.000,0,0,0.0,5,6,0.833,1,5,6,2,1,3,2,2,17,17.299999999999994,9
2019-06-29,Venezia,Virtus Bologna,29.55890410958904,0,19,7,13,0.538,1,1,1.0,2,3,0.667,3,5,8,1,0,2,0,1,17,15.6,17
2019-08-11,Venezia,Sassari,29.676712328767124,0,22,3,7,0.429,0,1,0.0,4,6,0.667,3,2,5,1,0,0,3,3,10,4.699999999999998,-2
2019-06-08,Venezia,Milano,29.5013698630137,0,16,8,11,0.000,0,0,0.0,8,9,0.889,2,2,4,0,0,0,0,4,24,19.5,4
2019-01-06,Venezia,Avellino,29.08219178082192,0,23,7,12,0.583,1,2,0.5,2,3,0.667,0,8,8,3,0,0,2,2,17,12.700000000000001,23
2019-01-24,Venezia,Varese,29.13150684931507,0,17,1,7,0.143,0,2,0.0,1,2,0.5,2,3,5,3,0,0,1,0,3,1.5,3
2019-04-25,Venezia,Brindisi,29.38082191780822,1,26,6,9,0.000,0,0,0.0,4,5,0.8,2,4,6,1,3,2,1,0,16,18.399999999999995,19
2019-06-14,Venezia,Cantù,29.517808219178082,0,16,7,9,0.000,0,0,0.0,3,4,0.75,0,2,2,3,0,2,0,3,17,16.0,18
2018-10-16,Venezia,Trieste,28.857534246575344,1,26,6,9,0.000,0,0,0.0,0,1,0.0,3,4,7,0,1,0,5,3,12,5.800000000000001,-10
2019-03-10,Venezia,Reggio Emilia,29.254794520547946,0,21,4,7,0.000,0,0,0.0,1,4,0.25,2,3,5,2,0,0,1,5,9,5.200000000000001,-6
2019-01-07,Venezia,Cremona,29.084931506849315,1,28,9,11,0.000,0,0,0.0,0,0,0.0,0,3,3,1,2,0,0,0,18,17.500000000000004,17
2019-06-07,Venezia,Brescia,29.4986301369863,1,23,3,7,0.000,0,0,0.0,3,4,0.75,1,4,5,0,0,0,3,5,9,1.7999999999999998,-12
2019-01-21,Venezia,Torino,29.123287671232877,0,20,7,9,0.778,1,1,1.0,2,4,0.5,2,3,5,0,0,0,0,3,17,13.8,-3
2018-10-05,Venezia,Pistoia,28.827397260273973,0,17,5,6,0.000,0,0,0.0,2,2,1.0,0,2,2,4,1,1,3,1,12,11.499999999999998,11
2019-07-06,Venezia,Pesaro,29.578082191780823,0,24,3,5,0.000,0,0,0.0,2,2,1.0,1,2,3,0,2,3,3,4,8,6.5,4
2019-04-10,Venezia,Trentino,29.339726027397262,0,23,5,6,0.000,0,0,0.0,4,7,0.571,2,8,10,1,2,4,4,5,14,13.900000000000002,11
2019-06-12,Venezia,Virtus Bologna,29.51232876712329,1,28,5,9,0.000,0,0,0.0,5,6,0.833,1,4,5,1,0,0,4,4,15,7.299999999999997,3
2019-04-08,Venezia,Sassari,29.334246575342465,1,28,8,9,0.000,0,0,0.0,1,3,0.333,1,4,5,2,0,0,1,4,17,13.799999999999995,22
2019-05-20,Venezia,Milano,29.44931506849315,1,28,11,14,0.000,0,0,0.0,2,3,0.667,0,0,0,0,0,0,2,5,24,14.200000000000003,1
2019-03-12,Venezia,Avellino,29.26027397260274,1,28,12,14,0.857,1,1,1.0,2,2,1.0,0,9,9,1,0,0,1,3,27,23.2,9
2018-09-12,Venezia,Varese,28.764383561643836,1,21,7,9,0.778,1,1,1.0,0,1,0.0,0,3,3,0,0,0,1,3,15,9.8,-7
2019-02-03,Venezia,Brindisi,29.15890410958904,1,23,6,11,0.545,0,1,0.0,3,8,0.375,5,7,12,0,1,0,7,4,15,5.699999999999999,5
2019-01-20,Venezia,Cantù,29.12054794520548,1,27,7,8,0.000,0,0,0.0,4,7,0.571,2,4,6,2,1,1,0,4,18,18.099999999999998,9
2019-06-27,Venezia,Trieste,29.553424657534247,1,27,11,13,0.000,0,0,0.0,4,4,1.0,5,5,10,2,0,1,3,4,26,23.799999999999994,3
2019-04-09,Venezia,Reggio Emilia,29.336986301369862,1,29,12,17,0.000,0,0,0.0,0,3,0.0,1,1,2,2,4,1,2,2,24,20.0,-4
2018-12-19,Venezia,Cremona,29.03287671232877,1,26,8,10,0.000,0,0,0.0,2,3,0.667,3,5,8,0,0,2,4,3,18,13.599999999999998,1
2019-01-04,Venezia,Brescia,29.076712328767123,0,22,6,9,0.000,0,0,0.0,3,5,0.6,3,7,10,3,3,0,3,3,15,15.399999999999995,21
