date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-08-20,Virtus Bologna,Pistoia,27.764383561643836,0,13,0,4,0.000,0,3,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-2.5,-5
2018-12-16,Virtus Bologna,Avellino,27.087671232876712,0,22,3,6,0.500,1,2,0.5,0,1,0.0,2,4,6,0,0,0,2,3,7,3.0,3
2019-06-29,Virtus Bologna,Reggio Emilia,27.621917808219177,0,4,0,1,0.000,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.7,-5
2019-03-10,Torino,Venezia,27.317808219178083,1,31,2,5,0.400,0,1,0.0,3,4,0.75,1,1,2,2,2,0,2,5,7,4.299999999999999,-2
2019-07-29,Torino,Trieste,27.704109589041096,1,30,5,9,0.556,2,4,0.5,2,5,0.4,4,4,8,0,1,0,2,2,14,10.7,2
2018-09-06,Torino,Reggio Emilia,26.81095890410959,1,23,7,12,0.583,4,7,0.571,0,0,0.0,1,2,3,1,1,0,2,3,18,12.2,9
2018-11-11,Torino,Sassari,26.991780821917807,1,24,2,10,0.200,0,6,0.0,2,2,1.0,2,2,4,1,0,0,0,4,6,0.8999999999999999,-1
2018-12-11,Torino,Milano,27.073972602739726,1,35,4,12,0.333,1,5,0.2,4,4,1.0,0,2,2,0,0,0,1,3,13,4.6000000000000005,-16
2019-03-31,Torino,Brindisi,27.375342465753423,1,27,2,9,0.222,2,5,0.4,0,0,0.0,1,3,4,0,2,2,0,5,6,3.5,-4
2018-11-03,Torino,Virtus Bologna,26.96986301369863,1,30,4,9,0.444,1,3,0.333,0,1,0.0,1,3,4,0,0,2,2,3,9,3.7,-2
2019-02-09,Torino,Brescia,27.23835616438356,1,22,2,9,0.222,1,6,0.167,0,0,0.0,0,5,5,0,0,0,2,4,5,-2.6,-2
2018-09-10,Torino,Trentino,26.82191780821918,1,26,8,12,0.667,2,4,0.5,0,0,0.0,0,4,4,0,0,0,3,3,18,9.8,-3
2019-08-06,Torino,Varese,27.726027397260275,1,24,2,6,0.333,0,2,0.0,0,0,0.0,0,3,3,2,1,0,1,4,4,1.3000000000000003,-1
2018-10-03,Torino,Pistoia,26.884931506849316,1,37,3,12,0.250,2,7,0.286,1,1,1.0,2,1,3,2,1,1,0,3,9,5.4,7
2018-10-28,Torino,Avellino,26.953424657534246,1,28,5,10,0.500,1,2,0.5,0,0,0.0,2,2,4,1,2,0,1,4,11,8.1,-7
2019-07-27,Torino,Cremona,27.698630136986303,1,26,1,7,0.143,1,5,0.2,0,0,0.0,3,2,5,2,0,0,2,2,3,-0.19999999999999996,-21
2018-10-15,Torino,Cantù,26.91780821917808,1,32,5,12,0.417,3,8,0.375,1,1,1.0,0,2,2,3,0,0,3,4,14,5.700000000000001,-5
2018-12-26,Torino,Pesaro,27.115068493150684,1,34,6,10,0.600,5,8,0.625,6,7,0.857,0,8,8,3,0,4,2,3,23,22.1,-1
2019-01-21,Torino,Venezia,27.186301369863013,1,26,3,8,0.375,0,1,0.0,2,3,0.667,0,2,2,1,1,1,1,4,8,3.5999999999999996,-2
2019-02-06,Torino,Trieste,27.23013698630137,1,19,3,8,0.375,0,4,0.0,1,2,0.5,0,4,4,1,1,1,1,5,7,2.8,5
2018-10-24,Torino,Reggio Emilia,26.942465753424656,1,33,3,10,0.300,0,4,0.0,0,0,0.0,0,6,6,2,0,0,1,3,6,1.1999999999999997,14
2019-08-15,Torino,Sassari,27.75068493150685,1,18,3,4,0.750,2,3,0.667,1,2,0.5,0,5,5,1,0,0,1,5,9,6.199999999999999,16
2019-04-24,Torino,Milano,27.44109589041096,1,20,1,4,0.250,0,2,0.0,0,1,0.0,0,4,4,2,0,1,0,2,2,1.7,-18
2019-04-10,Torino,Brindisi,27.4027397260274,0,28,2,3,0.667,2,3,0.667,2,2,1.0,0,5,5,1,1,0,2,4,8,6.300000000000001,-9
2019-06-08,Torino,Virtus Bologna,27.564383561643837,0,17,1,5,0.200,1,3,0.333,2,4,0.5,1,4,5,1,0,0,2,1,5,1.3000000000000003,-7
2019-01-18,Torino,Brescia,27.17808219178082,1,15,1,2,0.500,1,2,0.5,0,1,0.0,0,3,3,1,0,0,2,0,3,1.2000000000000002,2
2018-09-11,Torino,Trentino,26.824657534246576,0,10,0,1,0.000,0,1,0.0,0,0,0.0,0,4,4,0,0,0,1,0,0,-0.5,1
2019-02-06,Torino,Varese,27.23013698630137,0,15,2,6,0.333,0,3,0.0,1,2,0.5,0,3,3,1,0,0,1,0,5,1.8000000000000007,-4
2019-03-03,Torino,Pistoia,27.2986301369863,0,22,4,9,0.444,2,5,0.4,2,4,0.5,1,2,3,1,1,1,0,2,12,9.399999999999999,1
2018-10-19,Torino,Avellino,26.92876712328767,1,38,6,11,0.545,3,6,0.5,3,3,1.0,1,2,3,2,1,0,1,3,18,14.2,-24
2019-07-27,Torino,Cremona,27.698630136986303,1,33,4,10,0.400,2,4,0.5,3,3,1.0,1,5,6,3,1,1,0,3,13,12.399999999999999,0
2019-04-05,Torino,Cantù,27.389041095890413,1,31,5,9,0.556,3,6,0.5,0,0,0.0,1,6,7,1,1,2,2,4,13,10.7,-9
2019-07-28,Torino,Pesaro,27.7013698630137,1,30,3,8,0.375,2,4,0.5,4,4,1.0,1,6,7,1,0,1,1,1,12,10.099999999999996,21
2019-08-29,Torino,Avellino,27.78904109589041,1,32,4,7,0.571,1,2,0.5,0,0,0.0,1,2,3,1,1,0,3,3,9,4.499999999999999,0
2018-12-18,Torino,Pesaro,27.09315068493151,1,16,0,2,0.000,0,0,0.0,0,0,0.0,1,2,3,0,1,0,1,3,0,-1.3000000000000003,-6
2018-09-16,Torino,Capo d'Orlando,26.838356164383562,1,21,2,5,0.400,1,4,0.25,0,2,0.0,1,1,2,0,0,1,3,0,5,0.1999999999999993,-13
2019-06-13,Torino,Cremona,27.578082191780823,1,30,3,8,0.375,0,3,0.0,2,2,1.0,1,2,3,2,1,3,0,3,8,8.2,0
2019-04-18,Torino,Brindisi,27.424657534246574,1,29,8,11,0.727,5,7,0.714,0,3,0.0,1,6,7,1,1,1,2,1,21,17.8,-3
2019-07-25,Torino,Milano,27.693150684931506,1,25,7,9,0.778,3,5,0.6,3,4,0.75,2,3,5,2,1,0,4,4,20,15.199999999999996,5
2019-08-20,Torino,Trentino,27.764383561643836,1,28,3,5,0.600,1,3,0.333,0,0,0.0,0,7,7,2,0,1,2,4,7,5.299999999999999,-1
2019-03-23,Torino,Venezia,27.353424657534248,1,35,2,9,0.222,0,2,0.0,3,3,1.0,3,6,9,4,0,1,2,3,7,5.699999999999998,10
2019-08-22,Torino,Cantù,27.76986301369863,1,22,3,5,0.600,2,4,0.5,0,0,0.0,1,4,5,1,2,1,2,3,8,7.799999999999997,4
2018-10-18,Torino,Pistoia,26.926027397260274,1,28,1,5,0.200,0,2,0.0,3,4,0.75,0,3,3,1,1,0,3,4,5,-0.49999999999999956,-13
2019-07-20,Torino,Caserta,27.67945205479452,1,34,6,11,0.545,3,5,0.6,0,0,0.0,0,8,8,1,2,1,2,1,15,13.099999999999998,-2
2018-09-03,Torino,Reggio Emilia,26.802739726027397,1,21,3,5,0.600,1,2,0.5,0,0,0.0,1,6,7,1,0,0,3,3,7,3.6999999999999993,5
