date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-09-09,Avellino,Trieste,26.621917808219177,0,15,0,3,0.000,0,0,0.0,0,0,0.0,0,4,4,0,0,1,1,1,0,-1.5999999999999996,-14
2018-12-22,Avellino,Sassari,26.906849315068495,1,26,2,5,0.000,0,0,0.0,1,2,0.5,2,1,3,1,0,3,1,3,5,4.199999999999999,3
2018-10-28,Avellino,Torino,26.756164383561643,1,26,1,2,0.000,0,0,0.0,0,0,0.0,1,2,3,1,0,1,2,0,2,1.7000000000000002,18
2018-10-20,Avellino,Milano,26.734246575342468,1,29,2,5,0.000,0,0,0.0,2,2,1.0,2,10,12,3,0,2,2,3,6,8.0,-13
2018-09-15,Avellino,Brindisi,26.638356164383563,1,28,4,4,0.000,0,0,0.0,0,0,0.0,2,8,10,0,0,1,3,3,8,7.099999999999998,8
2018-11-13,Avellino,Pistoia,26.8,1,30,1,5,0.000,0,0,0.0,0,0,0.0,5,8,13,3,0,1,1,3,2,5.3999999999999995,5
2018-12-05,Avellino,Cantù,26.86027397260274,1,32,5,12,0.000,0,0,0.0,2,4,0.5,4,4,8,2,1,1,1,3,12,9.7,-3
2019-06-18,Avellino,Cremona,27.394520547945206,1,30,3,6,0.000,0,0,0.0,2,4,0.5,3,6,9,1,4,0,1,3,8,10.599999999999998,-2
2019-03-01,Avellino,Virtus Bologna,27.095890410958905,1,30,5,12,0.000,0,0,0.0,0,0,0.0,3,6,9,0,2,0,1,3,10,7.300000000000001,-14
2018-12-20,Avellino,Brescia,26.9013698630137,1,24,3,6,0.000,0,0,0.0,0,0,0.0,5,9,14,2,0,2,1,2,6,10.200000000000001,-7
2018-10-19,Avellino,Torino,26.731506849315068,1,21,1,4,0.000,0,0,0.0,1,4,0.25,1,7,8,1,1,2,2,1,3,2.9000000000000004,9
2019-02-17,Avellino,Milano,27.063013698630137,1,22,5,7,0.000,0,0,0.0,0,0,0.0,3,5,8,1,0,1,3,5,10,7.099999999999998,8
2019-03-24,Avellino,Brindisi,27.15890410958904,1,22,2,3,0.000,0,0,0.0,0,0,0.0,0,9,9,1,1,1,0,2,4,7.000000000000001,7
