date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-10-07,Brindisi,Milano,26.435616438356163,0,15,2,3,0.667,2,3,0.667,2,2,1.0,0,3,3,2,0,0,2,1,8,6.600000000000001,2
2018-10-14,Brindisi,Pesaro,26.454794520547946,0,14,0,2,0.000,0,1,0.0,0,0,0.0,0,4,4,4,2,0,1,2,0,2.8,-1
2018-10-21,Brindisi,Sassari,26.473972602739725,0,10,0,2,0.000,0,1,0.0,0,0,0.0,0,1,1,1,0,0,0,0,0,-0.3999999999999999,-9
2018-10-28,Brindisi,Pistoia,26.493150684931507,0,10,1,3,0.333,1,1,1.0,0,0,0.0,0,0,0,2,0,0,1,3,3,0.5,8
2018-11-04,Brindisi,Cantù,26.51232876712329,0,11,1,3,0.333,0,2,0.0,0,0,0.0,0,2,2,0,0,0,0,1,2,0.5000000000000002,-6
2018-11-11,Brindisi,Torino,26.53150684931507,0,12,1,2,0.500,1,2,0.5,0,0,0.0,0,1,1,0,0,0,1,0,3,1.2999999999999998,5
2018-11-18,Brindisi,Brescia,26.55068493150685,0,7,0,1,0.000,0,1,0.0,0,0,0.0,0,1,1,2,0,0,0,1,0,0.6,-6
2018-11-25,Brindisi,Varese,26.56986301369863,0,18,0,3,0.000,0,1,0.0,0,0,0.0,1,0,1,5,0,0,0,0,0,2.1000000000000005,3
2018-12-09,Brindisi,Reggio Emilia,26.60821917808219,0,13,1,4,0.250,1,4,0.25,0,0,0.0,0,1,1,1,0,0,0,0,3,1.6,8
2018-12-16,Brindisi,Venezia,26.627397260273973,0,20,1,4,0.250,0,1,0.0,0,0,0.0,0,1,1,3,2,0,1,0,2,3.0,8
2018-12-22,Brindisi,Virtus Bologna,26.643835616438356,1,24,1,2,0.500,0,1,0.0,0,0,0.0,0,2,2,3,0,0,3,3,2,-0.5000000000000004,5
2018-12-26,Brindisi,Cremona,26.654794520547945,1,16,0,1,0.000,0,1,0.0,0,0,0.0,0,1,1,0,1,0,0,1,0,0.20000000000000007,-8
2018-12-30,Brindisi,Trieste,26.665753424657535,0,19,3,5,0.600,2,3,0.667,0,0,0.0,0,1,1,0,2,0,3,0,8,4.999999999999999,10
2019-01-05,Brindisi,Avellino,26.682191780821917,0,17,3,5,0.600,2,4,0.5,1,1,1.0,0,0,0,2,1,0,1,1,9,7.699999999999999,2
2019-01-13,Brindisi,Trentino,26.704109589041096,0,12,1,2,0.500,1,2,0.5,0,0,0.0,0,1,1,0,1,0,2,2,3,0.5,-2
2019-01-20,Brindisi,Milano,26.723287671232878,0,2,0,1,0.000,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,0.0,-3
2019-01-26,Brindisi,Pesaro,26.73972602739726,0,6,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,2,0,0,0,1,0,0.9999999999999999,3
2019-02-03,Brindisi,Sassari,26.76164383561644,0,12,0,1,0.000,0,1,0.0,0,0,0.0,0,0,0,0,0,0,1,1,0,-2.1,-6
2019-02-10,Brindisi,Pistoia,26.78082191780822,0,16,0,3,0.000,0,1,0.0,2,2,1.0,3,2,5,2,0,0,2,2,2,1.2000000000000002,-6
2019-03-04,Brindisi,Cantù,26.84109589041096,0,12,1,3,0.333,0,1,0.0,0,0,0.0,0,2,2,2,1,0,0,1,2,2.9000000000000004,-3
2019-03-10,Brindisi,Torino,26.857534246575344,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-03-17,Brindisi,Brescia,26.876712328767123,1,24,4,6,0.667,2,2,1.0,0,0,0.0,3,3,6,2,0,1,1,2,10,10.7,-21
2019-03-24,Brindisi,Varese,26.895890410958906,0,13,3,3,1.000,2,2,1.0,2,2,1.0,0,1,1,0,0,0,1,2,10,7.6,8
2019-03-31,Brindisi,Reggio Emilia,26.915068493150685,0,13,1,2,0.000,0,0,0.0,0,0,0.0,0,1,1,2,0,0,1,1,2,1.3000000000000003,-7
2019-04-07,Brindisi,Venezia,26.934246575342467,0,20,3,6,0.500,1,4,0.25,0,0,0.0,0,4,4,4,2,0,1,2,7,8.2,19
2019-04-14,Brindisi,Virtus Bologna,26.953424657534246,0,13,1,3,0.333,0,2,0.0,1,2,0.5,0,3,3,0,1,0,1,3,3,0.6000000000000001,10
2019-04-20,Brindisi,Cremona,26.96986301369863,0,15,2,2,1.000,1,1,1.0,0,0,0.0,0,1,1,1,0,0,0,1,5,5.0,-8
2019-04-28,Brindisi,Trieste,26.991780821917807,0,13,2,4,0.500,0,1,0.0,0,0,0.0,0,2,2,2,0,0,0,2,4,3.2,0
2019-05-05,Brindisi,Avellino,27.01095890410959,0,15,1,3,0.333,0,1,0.0,3,4,0.75,0,2,2,0,0,0,2,1,5,1.100000000000001,-7
