date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-12-17,Brescia,Varese,30.164383561643834,0,4,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,1,0,-1.4,-6
2018-12-12,Brescia,Reggio Emilia,30.15068493150685,0,9,1,1,0.000,0,0,0.0,0,0,0.0,0,1,1,1,0,0,1,2,2,0.9000000000000001,-3
2018-09-08,Brescia,Avellino,29.89041095890411,0,12,0,2,0.000,0,0,0.0,0,0,0.0,1,1,2,0,0,1,1,2,0,-1.5,-3
2019-04-13,Brescia,Pesaro,30.484931506849314,0,5,0,1,0.000,0,0,0.0,0,0,0.0,1,0,1,0,1,0,0,0,0,1.0,11
2019-07-19,Brescia,Trentino,30.75068493150685,0,6,0,0,0.000,0,0,0.0,0,0,0.0,0,2,2,1,0,2,0,1,0,2.3,-1
2018-10-27,Brescia,Brindisi,30.024657534246575,0,10,2,3,0.000,0,0,0.0,2,2,1.0,2,1,3,0,0,0,1,3,6,4.199999999999999,-4
2019-02-09,Brescia,Torino,30.312328767123287,0,5,1,2,0.000,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,0,2,2.0,3
2019-06-22,Brescia,Cantù,30.676712328767124,0,17,3,3,0.000,0,0,0.0,0,0,0.0,2,8,10,0,0,1,0,1,6,9.2,11
2018-12-20,Brescia,Cremona,30.172602739726027,0,6,2,3,0.000,0,0,0.0,2,2,1.0,3,0,3,0,0,0,1,1,6,5.3999999999999995,-5
2018-10-13,Brescia,Milano,29.986301369863014,0,12,2,3,0.667,1,1,1.0,0,1,0.0,0,1,1,1,0,0,1,2,5,2.5,-4
2018-09-02,Brescia,Sassari,29.873972602739727,0,11,2,2,1.000,1,1,1.0,1,2,0.5,2,1,3,0,0,2,2,1,6,5.699999999999999,5
2019-05-16,Brescia,Virtus Bologna,30.575342465753426,0,7,2,4,0.500,0,1,0.0,0,0,0.0,0,1,1,0,0,1,0,2,4,2.2,-4
2019-06-07,Brescia,Venezia,30.635616438356166,0,16,2,3,0.000,0,0,0.0,1,1,1.0,2,2,4,0,0,0,1,4,5,3.0999999999999996,-12
2019-04-07,Brescia,Varese,30.46849315068493,0,18,1,1,0.000,0,0,0.0,0,0,0.0,1,1,2,1,2,1,0,2,2,5.3,4
2018-12-11,Brescia,Reggio Emilia,30.147945205479452,0,20,2,3,0.000,0,0,0.0,0,0,0.0,1,1,2,1,1,1,0,0,4,6.1000000000000005,12
2019-03-11,Brescia,Trieste,30.394520547945206,0,13,1,2,0.500,0,1,0.0,0,0,0.0,0,1,1,0,0,0,2,5,2,-2.7,-9
2018-12-20,Brescia,Avellino,30.172602739726027,0,21,3,6,0.500,0,2,0.0,0,0,0.0,1,2,3,0,0,1,0,2,6,4.200000000000001,0
2018-12-06,Brescia,Pesaro,30.134246575342466,0,24,5,10,0.500,1,1,1.0,1,2,0.5,5,5,10,2,0,1,1,3,12,11.5,7
2018-09-13,Brescia,Trentino,29.904109589041095,0,17,1,1,0.000,0,0,0.0,2,4,0.5,0,4,4,1,1,2,2,2,4,4.400000000000001,-6
2019-04-18,Brescia,Brindisi,30.4986301369863,0,24,3,4,0.750,1,1,1.0,4,4,1.0,1,5,6,0,0,0,0,3,11,10.399999999999999,13
2019-01-18,Brescia,Torino,30.252054794520546,0,28,2,4,0.500,0,2,0.0,0,0,0.0,2,2,4,3,0,0,2,3,4,2.8999999999999995,12
2019-01-21,Brescia,Pistoia,30.26027397260274,0,26,3,6,0.500,0,1,0.0,3,4,0.75,4,3,7,2,1,2,0,4,9,11.5,-3
2018-12-16,Brescia,Cantù,30.161643835616438,0,17,2,5,0.400,0,1,0.0,2,2,1.0,2,1,3,0,0,1,0,0,6,5.699999999999999,-6
2018-12-02,Brescia,Cremona,30.123287671232877,0,12,2,4,0.000,0,0,0.0,1,3,0.333,3,1,4,0,0,0,1,2,5,2.8,2
2019-05-17,Brescia,Milano,30.578082191780823,0,19,0,4,0.000,0,0,0.0,2,4,0.5,4,4,8,1,0,2,1,5,2,1.5,5
2019-04-20,Brescia,Sassari,30.504109589041096,0,16,1,1,0.000,0,0,0.0,0,0,0.0,0,1,1,0,1,1,1,4,2,1.1,-1
2018-09-05,Brescia,Virtus Bologna,29.88219178082192,0,17,1,3,0.333,0,2,0.0,1,2,0.5,0,4,4,0,0,1,0,1,3,2.4,-7
2019-01-04,Brescia,Venezia,30.213698630136985,0,20,4,5,0.800,1,2,0.5,0,0,0.0,0,4,4,0,1,0,1,1,9,7.899999999999999,2
2018-09-14,Avellino,Reggio Emilia,29.906849315068495,0,31,3,5,0.600,1,2,0.5,0,0,0.0,2,4,6,0,0,1,1,3,7,5.8,6
2018-12-16,Avellino,Brescia,30.161643835616438,0,17,1,3,0.333,0,1,0.0,3,4,0.75,0,0,0,0,0,0,2,1,5,0.5000000000000009,-24
2018-12-10,Avellino,Torino,30.145205479452056,0,12,0,1,0.000,0,1,0.0,0,0,0.0,0,0,0,2,0,0,1,2,0,-1.1,3
2018-09-10,Avellino,Pistoia,29.895890410958906,0,14,3,6,0.500,0,3,0.0,0,0,0.0,0,6,6,0,0,0,1,4,6,2.2000000000000006,14
2018-09-07,Avellino,Cantù,29.887671232876713,0,18,1,3,0.333,1,2,0.5,0,0,0.0,3,4,7,2,0,1,0,1,3,6.3,15
2019-04-20,Avellino,Brindisi,30.504109589041096,0,10,0,0,0.000,0,0,0.0,0,0,0.0,1,2,3,1,0,1,0,2,0,1.8999999999999997,11
2018-11-24,Avellino,Varese,30.101369863013698,0,14,1,3,0.333,1,3,0.333,0,0,0.0,1,0,1,0,0,0,0,0,3,2.0,1
