date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-09-26,Trieste,Venezia,35.73424657534247,0,24,2,9,0.222,2,7,0.286,0,0,0.0,1,3,4,1,0,0,4,0,6,-1.2000000000000002,-13
2019-09-29,Trieste,Varese,35.74246575342466,0,18,2,3,0.000,0,0,0.0,7,7,1.0,1,1,2,1,0,0,1,4,11,8.8,-12
2019-10-06,Trieste,Milano,35.76164383561644,0,19,1,6,0.167,0,4,0.0,0,0,0.0,1,0,1,4,0,0,2,3,2,-1.4999999999999998,-7
2019-10-13,Trieste,Sassari,35.78082191780822,0,21,3,8,0.375,3,5,0.6,0,0,0.0,2,0,2,3,0,0,1,2,9,6.3,4
2019-10-19,Trieste,Brescia,35.797260273972604,0,19,2,8,0.250,2,7,0.286,0,0,0.0,1,0,1,3,0,0,1,2,6,2.2,-2
2019-11-03,Trieste,Pistoia,35.83835616438356,0,19,1,4,0.250,1,4,0.25,2,2,1.0,0,1,1,2,0,0,0,3,5,3.1000000000000005,-5
2019-11-10,Trieste,Brindisi,35.85753424657534,0,25,3,9,0.333,2,8,0.25,0,0,0.0,0,2,2,5,0,0,3,3,8,2.8,4
2019-11-17,Trieste,Virtus Bologna,35.87671232876713,0,21,3,6,0.500,3,5,0.6,7,9,0.778,0,1,1,1,0,0,1,1,16,11.799999999999999,-3
2019-11-24,Trieste,Cremona,35.895890410958906,0,22,0,3,0.000,0,2,0.0,0,0,0.0,0,0,0,1,0,0,0,4,0,-3.0,-3
2019-12-01,Trieste,Treviso,35.915068493150685,0,24,0,5,0.000,0,3,0.0,3,5,0.6,0,0,0,1,0,0,0,2,3,-1.4000000000000001,5
2019-12-08,Trieste,Roma,35.93424657534246,0,19,1,3,0.333,1,1,1.0,0,0,0.0,0,1,1,1,0,0,0,4,3,0.7000000000000002,-11
2019-12-15,Trieste,Reggio Emilia,35.95342465753425,0,11,2,4,0.500,1,3,0.333,2,2,1.0,0,1,1,4,0,0,1,1,7,6.699999999999999,12
2019-12-22,Trieste,Cantù,35.97260273972603,0,13,1,4,0.250,1,3,0.333,2,2,1.0,0,2,2,1,0,0,1,5,5,0.9000000000000004,1
2019-12-26,Trieste,Trentino,35.983561643835614,0,18,1,1,1.000,1,1,1.0,0,0,0.0,0,1,1,4,1,0,0,0,3,6.8,3
2019-12-29,Trieste,Fortitudo Bologna,35.99178082191781,1,26,5,10,0.500,3,7,0.429,1,1,1.0,1,1,2,1,2,0,1,2,14,10.899999999999999,7
2020-01-05,Trieste,Pesaro,36.010958904109586,1,19,1,5,0.200,1,3,0.333,1,1,1.0,0,2,2,2,0,0,0,4,4,1.3000000000000003,0
2020-01-12,Trieste,Venezia,36.03013698630137,1,23,1,4,0.250,1,4,0.25,0,0,0.0,0,1,1,3,1,0,2,5,3,0.0,-4
2020-01-19,Trieste,Varese,36.04931506849315,0,15,0,7,0.000,0,4,0.0,0,0,0.0,2,0,2,4,0,0,0,2,0,-1.4999999999999998,-5
2020-01-26,Trieste,Milano,36.06849315068493,0,23,2,4,0.500,1,2,0.5,0,0,0.0,0,2,2,5,0,0,1,2,5,5.3,-8
2020-02-02,Trieste,Sassari,36.087671232876716,1,22,2,3,0.667,1,2,0.5,0,0,0.0,0,0,0,1,1,0,0,2,5,4.6000000000000005,6
2020-02-09,Trieste,Brescia,36.106849315068494,0,16,3,4,0.750,3,4,0.75,0,0,0.0,0,0,0,1,0,0,1,3,9,5.8999999999999995,-1
2020-03-07,Trieste,Pistoia,36.18082191780822,0,10,1,3,0.333,1,1,1.0,0,0,0.0,0,0,0,2,0,0,1,2,3,0.9000000000000001,-5
