date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-09-26,Venezia,Trieste,33.18082191780822,0,4,0,2,0.000,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1.4,-11
2019-09-29,Venezia,Fortitudo Bologna,33.18904109589041,0,7,2,3,0.667,2,3,0.667,0,0,0.0,0,2,2,0,0,0,0,1,6,4.8999999999999995,10
2019-10-06,Venezia,Virtus Bologna,33.20821917808219,0,1,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,-1.0,-5
2019-10-13,Venezia,Cantù,33.227397260273975,0,13,0,2,0.000,0,2,0.0,0,0,0.0,1,2,3,0,0,0,1,0,0,-1.1,6
2019-10-19,Venezia,Treviso,33.24383561643835,0,5,2,5,0.400,2,5,0.4,0,0,0.0,0,0,0,0,1,0,1,3,6,2.0999999999999996,-3
2019-10-26,Venezia,Cremona,33.26301369863014,0,13,1,3,0.333,0,1,0.0,4,4,1.0,1,3,4,1,0,0,0,0,6,6.6000000000000005,0
2019-11-03,Venezia,Brindisi,33.28493150684932,0,10,0,0,0.000,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,2,0,-0.10000000000000009,0
2019-11-10,Venezia,Sassari,33.3041095890411,0,4,0,1,0.000,0,1,0.0,0,0,0.0,1,0,1,0,0,0,0,1,0,-0.4,5
2019-11-17,Venezia,Varese,33.323287671232876,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-11-24,Venezia,Trentino,33.342465753424655,0,13,2,3,0.667,2,3,0.667,0,0,0.0,0,0,0,3,1,0,0,1,6,7.3999999999999995,13
2019-12-01,Venezia,Pistoia,33.36164383561644,0,5,0,1,0.000,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,2,0,-1.2,0
2019-12-15,Venezia,Milano,33.4,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-12-22,Venezia,Reggio Emilia,33.419178082191785,0,7,1,2,0.500,1,2,0.5,0,0,0.0,1,0,1,1,1,0,0,2,3,3.6000000000000005,7
2020-01-25,Venezia,Virtus Bologna,33.512328767123286,0,7,1,1,1.000,1,1,1.0,0,0,0.0,0,0,0,2,0,0,0,1,3,3.6999999999999997,-3
2020-02-02,Venezia,Cantù,33.534246575342465,0,14,1,3,0.333,0,1,0.0,0,0,0.0,0,0,0,0,0,1,0,1,2,0.6000000000000002,2
2020-02-09,Venezia,Treviso,33.553424657534244,0,10,2,4,0.500,2,3,0.667,1,2,0.5,1,0,1,0,0,0,0,1,7,4.8999999999999995,-3
