date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-09-24,Fortitudo Bologna,Pesaro,25.84931506849315,1,25,3,4,0.000,0,0,0.0,0,0,0.0,2,1,3,4,0,0,1,2,6,7.1,17
2019-09-29,Fortitudo Bologna,Venezia,25.863013698630137,1,24,2,4,0.000,0,0,0.0,0,0,0.0,0,4,4,5,1,0,0,4,4,6.1,12
2019-10-06,Fortitudo Bologna,Varese,25.88219178082192,1,30,2,3,0.667,1,1,1.0,2,2,1.0,1,7,8,3,1,1,2,1,7,9.899999999999999,-15
2019-10-13,Fortitudo Bologna,Treviso,25.9013698630137,1,15,1,1,0.000,0,0,0.0,2,2,1.0,0,1,1,0,0,1,3,5,4,-0.2999999999999998,-1
2019-10-20,Fortitudo Bologna,Roma,25.92054794520548,1,18,1,1,0.000,0,0,0.0,0,0,0.0,0,1,1,2,0,0,0,2,2,2.5999999999999996,-7
2019-10-27,Fortitudo Bologna,Pistoia,25.93972602739726,1,20,1,4,0.250,0,1,0.0,0,0,0.0,1,1,2,6,1,0,0,0,2,5.799999999999999,6
2019-11-03,Fortitudo Bologna,Brescia,25.958904109589042,1,20,1,3,0.333,0,1,0.0,1,2,0.5,0,3,3,2,2,0,1,3,3,3.0,-1
2019-11-10,Fortitudo Bologna,Cremona,25.97808219178082,1,31,6,7,0.000,0,0,0.0,0,0,0.0,1,4,5,4,0,0,1,1,12,12.799999999999999,5
2019-11-17,Fortitudo Bologna,Milano,25.997260273972604,1,30,5,6,0.833,1,1,1.0,0,0,0.0,2,2,4,2,2,1,0,3,11,13.7,8
2019-11-24,Fortitudo Bologna,Cantù,26.016438356164382,1,26,1,3,0.333,0,1,0.0,0,0,0.0,1,3,4,1,0,0,0,3,2,1.4,6
2019-12-07,Fortitudo Bologna,Trentino,26.052054794520547,1,23,1,3,0.333,1,1,1.0,0,2,0.0,0,2,2,2,0,0,2,1,3,0.10000000000000009,16
2019-12-15,Fortitudo Bologna,Sassari,26.073972602739726,1,28,2,4,0.500,0,1,0.0,0,0,0.0,1,0,1,6,2,1,2,2,4,6.799999999999997,-3
2019-12-22,Fortitudo Bologna,Brindisi,26.09315068493151,1,30,3,5,0.000,0,0,0.0,2,2,1.0,1,3,4,4,1,0,1,4,8,8.499999999999998,14
2019-12-25,Fortitudo Bologna,Virtus Bologna,26.101369863013698,1,22,4,8,0.500,2,3,0.667,0,0,0.0,4,0,4,1,1,0,2,3,10,7.300000000000001,-20
2019-12-29,Fortitudo Bologna,Trieste,26.112328767123287,1,28,2,4,0.000,0,0,0.0,4,8,0.5,2,1,3,1,1,0,2,3,8,4.6000000000000005,-14
2020-01-05,Fortitudo Bologna,Reggio Emilia,26.13150684931507,1,32,4,5,0.800,2,2,1.0,1,1,1.0,1,3,4,1,0,2,1,3,11,10.599999999999998,13
2020-01-11,Fortitudo Bologna,Pesaro,26.147945205479452,1,29,4,8,0.500,0,1,0.0,0,0,0.0,2,2,4,6,1,0,3,3,8,7.0,12
2020-01-18,Fortitudo Bologna,Venezia,26.167123287671235,1,28,2,2,0.000,0,0,0.0,2,2,1.0,0,6,6,3,0,0,1,1,6,7.9,-5
2020-01-26,Fortitudo Bologna,Varese,26.18904109589041,1,25,3,5,0.000,0,0,0.0,0,0,0.0,1,1,2,6,0,1,1,1,6,8.199999999999998,16
2020-02-02,Fortitudo Bologna,Treviso,26.208219178082192,1,19,0,5,0.000,0,0,0.0,0,0,0.0,1,3,4,3,1,0,1,1,0,-0.2000000000000003,-5
2020-02-08,Fortitudo Bologna,Roma,26.224657534246575,1,31,3,6,0.500,0,1,0.0,2,3,0.667,3,2,5,9,3,0,2,3,8,13.399999999999999,17
