date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-09-26,Venezia,Trieste,32.56712328767124,0,14,1,4,0.250,1,3,0.333,0,0,0.0,0,2,2,1,0,0,0,0,3,1.9000000000000001,4
2019-09-29,Venezia,Fortitudo Bologna,32.57534246575342,0,15,1,5,0.200,0,4,0.0,0,0,0.0,1,1,2,3,2,0,0,3,2,2.7999999999999994,-18
2019-10-06,Venezia,Virtus Bologna,32.59452054794521,0,21,3,7,0.429,3,6,0.5,0,0,0.0,0,1,1,3,1,0,2,0,9,6.699999999999999,1
2019-10-13,Venezia,Cantù,32.61369863013699,0,18,4,7,0.571,2,4,0.5,0,0,0.0,1,2,3,1,1,0,1,2,10,7.899999999999999,8
2019-10-19,Venezia,Treviso,32.63013698630137,0,21,3,7,0.429,2,5,0.4,2,2,1.0,0,0,0,1,2,0,0,3,10,7.8,-2
2019-10-26,Venezia,Cremona,32.64931506849315,0,14,0,3,0.000,0,2,0.0,0,0,0.0,0,0,0,0,1,0,2,1,0,-3.4999999999999996,-2
2019-11-03,Venezia,Brindisi,32.67123287671233,0,14,1,5,0.200,1,2,0.5,0,0,0.0,2,2,4,0,2,0,0,3,3,2.6999999999999997,-4
2019-11-10,Venezia,Sassari,32.69041095890411,0,17,2,5,0.400,2,3,0.667,0,0,0.0,0,3,3,1,0,0,2,0,6,2.8999999999999995,8
2019-11-17,Venezia,Varese,32.70958904109589,0,13,1,4,0.250,1,3,0.333,0,0,0.0,0,1,1,2,0,0,0,2,3,1.4999999999999998,4
2019-11-24,Venezia,Trentino,32.728767123287675,0,20,3,7,0.429,2,6,0.333,0,0,0.0,0,2,2,1,0,0,0,1,8,5.199999999999999,19
2019-12-01,Venezia,Pistoia,32.74794520547945,0,6,1,5,0.200,0,3,0.0,0,0,0.0,0,1,1,1,0,0,0,0,2,-0.10000000000000009,-13
2019-12-15,Venezia,Milano,32.78630136986301,0,10,2,4,0.500,0,2,0.0,0,0,0.0,0,0,0,1,0,0,1,1,4,1.3000000000000003,-6
2019-12-26,Venezia,Roma,32.81643835616438,0,5,0,2,0.000,0,1,0.0,0,0,0.0,0,0,0,1,0,0,1,1,0,-2.1,7
2019-12-29,Venezia,Pesaro,32.824657534246576,0,3,0,2,0.000,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,3,0,-2.6,-4
2020-01-04,Venezia,Brescia,32.84109589041096,0,10,1,6,0.167,0,4,0.0,1,1,1.0,0,0,0,0,0,0,0,2,3,-1.5999999999999994,-3
2020-01-12,Venezia,Trieste,32.863013698630134,0,5,0,2,0.000,0,1,0.0,0,0,0.0,0,0,0,0,0,0,1,1,0,-2.8,-3
2020-01-18,Venezia,Fortitudo Bologna,32.87945205479452,0,17,4,11,0.364,4,7,0.571,4,4,1.0,2,0,2,1,1,0,1,3,16,10.8,6
2020-01-25,Venezia,Virtus Bologna,32.8986301369863,0,14,1,5,0.200,1,5,0.2,2,2,1.0,0,1,1,3,0,0,3,2,5,0.5,-13
2020-02-02,Venezia,Cantù,32.92054794520548,0,4,0,1,0.000,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,0.0,-10
2020-02-09,Venezia,Treviso,32.93972602739726,0,12,0,7,0.000,0,4,0.0,0,0,0.0,0,3,3,2,2,0,2,2,0,-3.3999999999999995,-2
