date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-11-03,Treviso,Pesaro,25.73972602739726,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-11-10,Treviso,Virtus Bologna,25.758904109589043,0,2,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-1
2019-11-17,Treviso,Brescia,25.778082191780822,0,11,0,2,0.000,0,2,0.0,0,0,0.0,0,1,1,0,1,0,0,1,0,-0.4999999999999999,3
2019-11-24,Treviso,Roma,25.797260273972604,0,25,2,6,0.333,2,4,0.5,0,0,0.0,0,3,3,4,1,0,0,1,6,6.8999999999999995,6
2019-12-08,Treviso,Reggio Emilia,25.835616438356166,0,9,0,2,0.000,0,2,0.0,1,1,1.0,0,3,3,1,1,0,0,1,1,1.8000000000000003,14
2019-12-15,Treviso,Cantù,25.854794520547944,0,14,0,5,0.000,0,2,0.0,0,0,0.0,1,1,2,2,0,0,0,0,0,-1.1,-9
2019-12-27,Treviso,Sassari,25.887671232876713,1,17,2,7,0.286,0,4,0.0,3,3,1.0,0,0,0,3,1,0,2,2,7,3.2,-18
2019-12-29,Treviso,Brindisi,25.893150684931506,1,24,2,4,0.500,2,4,0.5,2,2,1.0,0,3,3,3,1,0,2,4,8,6.4,1
2020-01-05,Treviso,Varese,25.912328767123288,0,12,1,1,1.000,1,1,1.0,0,0,0.0,0,0,0,0,0,0,2,2,3,-0.09999999999999987,-4
2020-01-12,Treviso,Milano,25.93150684931507,0,13,1,5,0.200,1,5,0.2,1,2,0.5,0,1,1,0,0,0,0,0,4,0.8000000000000003,-17
2020-01-18,Treviso,Cremona,25.947945205479453,0,25,3,6,0.500,2,5,0.4,0,0,0.0,0,2,2,2,0,0,2,2,8,4.2,-1
2020-01-26,Treviso,Pistoia,25.96986301369863,0,13,1,2,0.500,1,2,0.5,0,0,0.0,0,0,0,0,0,0,3,1,3,-1.4,-10
2020-02-02,Treviso,Fortitudo Bologna,25.98904109589041,0,10,0,1,0.000,0,1,0.0,2,2,1.0,0,2,2,2,2,0,1,2,2,3.5,6
2020-02-09,Treviso,Venezia,26.008219178082193,0,16,3,7,0.429,2,5,0.4,0,0,0.0,0,2,2,1,0,0,1,1,8,4.199999999999999,-1
