date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-09-25,Pistoia,Trentino,23.356164383561644,1,35,7,16,0.438,2,6,0.333,1,2,0.5,1,8,9,1,0,1,0,1,17,12.299999999999999,-13
2019-09-29,Pistoia,Virtus Bologna,23.367123287671234,1,34,6,16,0.375,3,7,0.429,5,8,0.625,3,7,10,1,3,0,0,2,20,17.099999999999998,-8
2019-10-06,Pistoia,Treviso,23.386301369863013,1,30,5,5,1.000,1,1,1.0,4,4,1.0,0,4,4,0,1,1,1,3,15,14.2,-16
2019-10-12,Pistoia,Roma,23.4027397260274,1,27,6,15,0.400,1,6,0.167,4,4,1.0,2,2,4,0,1,0,0,1,17,11.499999999999998,-10
2019-10-20,Pistoia,Reggio Emilia,23.424657534246574,1,31,9,18,0.500,2,4,0.5,1,2,0.5,4,7,11,0,0,0,1,1,21,15.100000000000005,1
2019-10-27,Pistoia,Fortitudo Bologna,23.443835616438356,1,35,6,13,0.462,1,3,0.333,0,0,0.0,0,10,10,2,0,1,1,2,13,9.6,-7
2019-11-03,Pistoia,Trieste,23.46301369863014,0,26,4,11,0.364,0,2,0.0,0,0,0.0,3,8,11,0,3,1,2,3,8,6.899999999999999,0
2019-11-11,Pistoia,Milano,23.484931506849314,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-11-17,Pistoia,Cantù,23.5013698630137,0,20,4,8,0.500,2,3,0.667,0,2,0.0,2,5,7,0,0,0,1,0,10,7.1,-3
2019-11-24,Pistoia,Brindisi,23.52054794520548,0,24,5,16,0.313,0,3,0.0,0,0,0.0,0,7,7,1,0,0,1,1,10,2.2000000000000006,-22
2019-12-01,Pistoia,Venezia,23.53972602739726,1,31,5,13,0.385,1,2,0.5,3,4,0.75,2,4,6,3,0,0,0,3,14,10.0,1
2019-12-08,Pistoia,Brescia,23.55890410958904,1,26,7,16,0.438,2,4,0.5,5,5,1.0,0,5,5,0,0,0,1,2,21,12.3,-27
2019-12-15,Pistoia,Cremona,23.578082191780823,1,25,6,11,0.545,1,3,0.333,1,3,0.333,0,8,8,0,2,0,0,2,14,11.499999999999998,7
2019-12-22,Pistoia,Pesaro,23.5972602739726,1,20,1,3,0.000,0,0,0.0,1,2,0.5,1,2,3,1,0,0,1,1,3,1.5000000000000004,6
2019-12-26,Pistoia,Varese,23.60821917808219,1,29,2,10,0.200,1,4,0.25,3,4,0.75,3,3,6,1,2,2,1,2,8,6.7,-12
2020-01-04,Pistoia,Sassari,23.632876712328766,1,25,4,12,0.333,1,5,0.2,2,2,1.0,3,3,6,1,3,0,2,3,11,7.699999999999999,-5
2020-01-12,Pistoia,Trentino,23.654794520547945,1,27,3,9,0.333,1,1,1.0,3,4,0.75,2,1,3,2,0,1,2,5,10,4.299999999999997,2
2020-01-18,Pistoia,Virtus Bologna,23.671232876712327,1,25,3,7,0.429,0,1,0.0,0,0,0.0,1,2,3,1,2,1,3,1,6,3.6000000000000014,-26
2020-01-26,Pistoia,Treviso,23.693150684931506,1,27,6,13,0.462,0,2,0.0,4,5,0.8,1,5,6,0,1,2,1,3,16,11.299999999999997,-14
2020-02-02,Pistoia,Roma,23.71232876712329,1,32,7,13,0.538,1,3,0.333,5,6,0.833,4,5,9,1,0,2,2,1,20,17.3,-10
2020-02-09,Pistoia,Reggio Emilia,23.731506849315068,1,25,8,11,0.727,2,5,0.4,1,2,0.5,2,7,9,2,2,0,2,4,19,17.4,4
2020-03-07,Pistoia,Trieste,23.805479452054794,1,33,4,10,0.400,0,1,0.0,0,2,0.0,4,3,7,0,0,0,0,0,8,5.5,-19
