date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-09-25,Trentino,Pistoia,25.709589041095892,1,30,4,9,0.444,0,2,0.0,4,4,1.0,0,6,6,0,0,1,0,4,12,8.2,6
2019-09-28,Trentino,Reggio Emilia,25.71780821917808,1,19,2,4,0.500,0,2,0.0,0,0,0.0,1,4,5,0,0,2,0,3,4,4.1000000000000005,1
2019-10-05,Trentino,Sassari,25.736986301369864,1,20,2,5,0.400,0,3,0.0,2,2,1.0,1,0,1,2,1,0,1,3,6,4.2,-6
2019-10-13,Trentino,Brescia,25.758904109589043,1,26,6,11,0.545,4,7,0.571,0,2,0.0,0,4,4,0,0,0,1,2,16,9.299999999999997,-14
2019-10-20,Trentino,Cantù,25.778082191780822,1,27,2,8,0.250,0,4,0.0,0,0,0.0,3,3,6,3,0,1,3,2,4,1.1999999999999993,5
2019-10-26,Trentino,Treviso,25.794520547945204,1,10,1,5,0.200,0,2,0.0,0,0,0.0,0,1,1,0,0,0,0,0,2,-0.8,3
2019-11-09,Trentino,Pesaro,25.83287671232877,1,24,1,6,0.167,1,4,0.25,3,3,1.0,0,3,3,1,0,1,0,4,6,2.900000000000001,-4
2019-11-17,Trentino,Cremona,25.854794520547944,0,4,0,1,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-1.1,-6
2019-11-24,Trentino,Venezia,25.873972602739727,0,9,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,1,0,-1.4,-8
2019-11-30,Trentino,Brindisi,25.89041095890411,0,5,0,1,0.000,0,1,0.0,0,0,0.0,0,2,2,0,0,0,0,0,0,-0.09999999999999998,3
2019-12-07,Trentino,Fortitudo Bologna,25.90958904109589,0,29,7,11,0.636,2,6,0.333,3,3,1.0,1,4,5,0,1,0,1,0,19,16.0,-1
2019-12-14,Trentino,Roma,25.92876712328767,0,9,1,2,0.500,1,1,1.0,2,2,1.0,0,1,1,0,0,0,0,1,5,3.9,-2
2019-12-22,Trentino,Milano,25.95068493150685,0,12,2,5,0.400,0,2,0.0,0,0,0.0,0,3,3,0,2,0,0,2,4,3.3999999999999995,2
2019-12-26,Trentino,Trieste,25.96164383561644,0,3,2,2,1.000,1,1,1.0,3,3,1.0,0,1,1,0,0,0,1,0,8,6.7,4
2019-12-29,Trentino,Varese,25.96986301369863,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2020-01-05,Trentino,Virtus Bologna,25.98904109589041,0,3,0,2,0.000,0,2,0.0,0,0,0.0,0,0,0,0,0,0,1,1,0,-2.8,-6
2020-01-12,Trentino,Pistoia,26.008219178082193,0,4,0,1,0.000,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.7,6
