date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-09-29,Cremona,Treviso,25.28767123287671,1,28,6,13,0.462,4,8,0.5,2,2,1.0,2,1,3,0,2,0,1,3,18,12.8,1
2019-10-06,Cremona,Roma,25.306849315068494,1,17,3,5,0.600,1,2,0.5,1,1,1.0,0,1,1,0,1,0,2,3,8,3.799999999999999,5
2019-10-13,Cremona,Reggio Emilia,25.326027397260273,0,23,6,13,0.462,2,6,0.333,0,0,0.0,0,2,2,1,1,0,1,3,14,7.399999999999999,2
2019-10-20,Cremona,Milano,25.345205479452055,1,25,4,9,0.444,1,5,0.2,6,6,1.0,1,2,3,1,2,0,3,0,15,11.299999999999999,2
2019-10-26,Cremona,Venezia,25.361643835616437,1,26,3,8,0.375,1,4,0.25,0,0,0.0,1,5,6,2,2,0,3,2,7,4.3999999999999995,-6
2019-11-03,Cremona,Cantù,25.383561643835616,1,12,1,3,0.333,1,2,0.5,0,0,0.0,0,0,0,1,1,0,3,2,3,-0.7999999999999998,-14
2019-11-10,Cremona,Fortitudo Bologna,25.4027397260274,1,31,6,17,0.353,3,10,0.3,0,1,0.0,1,2,3,3,2,0,0,2,15,9.699999999999998,6
2019-11-17,Cremona,Trentino,25.421917808219177,1,29,7,14,0.500,2,5,0.4,0,1,0.0,4,4,8,1,2,1,0,3,16,14.8,11
2019-11-24,Cremona,Trieste,25.44109589041096,1,29,4,9,0.444,2,5,0.4,0,0,0.0,3,2,5,1,0,0,3,2,10,4.8999999999999995,17
2019-12-01,Cremona,Pesaro,25.46027397260274,1,20,4,12,0.333,3,7,0.429,0,0,0.0,0,3,3,2,0,0,1,0,11,5.500000000000002,2
2019-12-30,Cremona,Sassari,25.53972602739726,0,2,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-0.4,2
2020-01-05,Cremona,Brindisi,25.556164383561644,0,9,1,4,0.250,0,1,0.0,0,0,0.0,1,1,2,1,0,0,1,2,2,-0.5,-1
2020-01-18,Cremona,Treviso,25.59178082191781,0,4,0,1,0.000,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.7,-3
2020-01-26,Cremona,Roma,25.613698630136987,0,19,4,8,0.500,3,6,0.5,3,4,0.75,0,2,2,2,1,0,0,0,14,12.6,10
2020-02-02,Cremona,Reggio Emilia,25.632876712328766,0,23,6,10,0.600,3,4,0.75,4,4,1.0,1,5,6,1,0,0,1,3,19,15.099999999999998,12
2020-02-09,Cremona,Milano,25.65205479452055,0,19,3,7,0.429,1,4,0.25,1,1,1.0,0,4,4,2,1,0,1,1,8,6.5,-9
