date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-09-26,Sassari,Varese,31.46027397260274,0,19,0,1,0.000,0,1,0.0,4,6,0.667,0,4,4,2,0,1,2,2,4,3.0,13
2019-09-29,Sassari,Pesaro,31.46849315068493,0,17,5,6,0.000,0,0,0.0,3,3,1.0,5,1,6,1,3,0,4,2,13,13.5,10
2019-10-05,Sassari,Trentino,31.484931506849314,0,24,4,8,0.500,0,1,0.0,4,7,0.571,2,5,7,1,0,0,3,2,12,6.599999999999998,7
2019-10-13,Sassari,Trieste,31.506849315068493,0,19,2,5,0.400,0,1,0.0,3,6,0.5,2,4,6,0,0,0,1,2,7,3.9000000000000004,-4
2019-10-27,Sassari,Cantù,31.545205479452054,0,17,1,2,0.000,0,0,0.0,2,2,1.0,1,1,2,1,0,0,2,0,4,2.7,0
2019-11-02,Sassari,Roma,31.56164383561644,0,15,3,4,0.750,0,1,0.0,1,1,1.0,3,2,5,2,0,0,0,2,7,8.7,16
2019-11-10,Sassari,Venezia,31.583561643835615,0,17,1,3,0.333,0,1,0.0,2,2,1.0,1,4,5,0,1,0,2,1,4,2.8000000000000007,-10
2019-11-16,Sassari,Reggio Emilia,31.6,0,14,6,7,0.000,0,0,0.0,1,1,1.0,0,1,1,0,0,0,0,1,13,10.4,4
2019-11-24,Sassari,Milano,31.621917808219177,0,16,1,4,0.000,0,0,0.0,0,0,0.0,2,1,3,0,0,1,3,3,2,-2.2,-9
2019-12-01,Sassari,Brescia,31.64109589041096,0,18,0,1,0.000,0,1,0.0,1,2,0.5,0,3,3,0,1,0,1,2,1,-2.220446049250313e-16,-7
2019-12-08,Sassari,Brindisi,31.66027397260274,0,17,2,4,0.000,0,0,0.0,1,2,0.5,2,0,2,0,1,0,1,3,5,2.8,-3
2019-12-15,Sassari,Fortitudo Bologna,31.67945205479452,0,15,4,6,0.000,0,0,0.0,1,4,0.25,1,0,1,0,0,0,2,2,9,3.1000000000000005,-6
2019-12-22,Sassari,Virtus Bologna,31.698630136986303,0,22,2,5,0.400,2,2,1.0,5,6,0.833,4,1,5,1,0,0,0,2,11,10.899999999999999,-6
2019-12-27,Sassari,Treviso,31.71232876712329,0,23,2,3,0.667,1,1,1.0,3,4,0.75,4,3,7,0,2,0,0,1,8,11.600000000000001,10
2019-12-30,Sassari,Cremona,31.720547945205478,0,15,0,2,0.000,0,0,0.0,1,4,0.25,0,2,2,1,0,0,0,2,1,-1.1,5
2020-01-04,Sassari,Pistoia,31.734246575342468,0,17,2,5,0.000,0,0,0.0,2,2,1.0,0,3,3,1,1,0,0,1,6,5.499999999999999,7
