date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-09-25,Trentino,Pistoia,21.47945205479452,0,20,5,10,0.500,2,4,0.5,2,2,1.0,1,4,5,0,0,0,0,1,14,10.499999999999998,8
2019-09-28,Trentino,Reggio Emilia,21.487671232876714,0,20,6,7,0.857,4,5,0.8,1,1,1.0,2,0,2,0,2,0,1,1,17,16.5,15
2019-10-05,Trentino,Sassari,21.506849315068493,0,9,0,2,0.000,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0,-2.2,-13
2019-10-13,Trentino,Brescia,21.528767123287672,0,19,2,2,0.000,0,0,0.0,1,2,0.5,0,0,0,2,1,0,1,2,5,4.6000000000000005,-17
2019-10-20,Trentino,Cantù,21.54794520547945,1,17,2,8,0.250,2,5,0.4,0,0,0.0,0,3,3,0,0,1,2,2,6,-2.220446049250313e-16,-10
2019-10-26,Trentino,Treviso,21.564383561643837,1,15,0,2,0.000,0,2,0.0,0,0,0.0,1,1,2,0,1,0,0,3,0,-0.6000000000000001,-10
2019-11-09,Trentino,Pesaro,21.602739726027398,0,25,7,10,0.700,4,5,0.8,0,0,0.0,1,0,1,1,1,0,0,3,18,15.0,5
2019-11-17,Trentino,Cremona,21.624657534246577,0,14,1,2,0.000,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,2,0.9,-12
2019-11-24,Trentino,Venezia,21.643835616438356,1,28,3,5,0.600,3,5,0.6,3,3,1.0,1,3,4,1,0,0,0,1,12,11.599999999999998,-15
2019-11-30,Trentino,Brindisi,21.66027397260274,1,27,2,6,0.333,2,5,0.4,0,0,0.0,0,5,5,0,0,0,0,3,6,2.9000000000000004,14
2019-12-07,Trentino,Fortitudo Bologna,21.67945205479452,1,21,1,3,0.333,0,2,0.0,1,2,0.5,0,0,0,0,0,0,0,1,3,0.5000000000000002,-23
2019-12-14,Trentino,Roma,21.698630136986303,1,14,1,2,0.500,1,2,0.5,2,2,1.0,0,1,1,0,0,0,0,4,5,2.6999999999999997,-2
2019-12-22,Trentino,Milano,21.720547945205478,0,16,1,5,0.200,0,2,0.0,0,0,0.0,0,0,0,0,0,1,0,2,2,-1.2000000000000002,0
2019-12-26,Trentino,Trieste,21.731506849315068,0,10,1,1,0.000,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,2,2,1.5999999999999999,-3
2019-12-29,Trentino,Varese,21.73972602739726,0,11,0,3,0.000,0,3,0.0,0,0,0.0,0,1,1,0,0,1,0,2,0,-1.8999999999999997,7
2020-01-05,Trentino,Virtus Bologna,21.758904109589043,0,13,1,3,0.333,1,2,0.5,0,0,0.0,1,0,1,1,0,0,0,2,3,1.9000000000000001,6
2020-01-12,Trentino,Pistoia,21.778082191780822,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2020-01-18,Trentino,Reggio Emilia,21.794520547945204,0,14,1,3,0.000,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,0,2,0.9000000000000002,4
2020-01-25,Trentino,Sassari,21.813698630136987,0,6,0,1,0.000,0,1,0.0,0,0,0.0,2,1,3,0,0,0,0,0,0,1.0,-4
2020-02-02,Trentino,Brescia,21.835616438356166,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2020-02-09,Trentino,Cantù,21.854794520547944,0,18,3,3,1.000,1,1,1.0,0,0,0.0,2,1,3,1,1,0,0,3,7,8.3,19
