date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-09-25,Trentino,Pistoia,27.649315068493152,0,16,1,3,0.000,0,0,0.0,0,0,0.0,0,2,2,1,0,0,1,3,2,-0.6000000000000001,8
2019-09-28,Trentino,Reggio Emilia,27.65753424657534,0,2,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-5
2019-10-05,Trentino,Sassari,27.676712328767124,0,12,1,3,0.333,1,2,0.5,0,0,0.0,0,0,0,1,0,0,0,1,3,1.6,8
2019-10-13,Trentino,Brescia,27.698630136986303,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-10-20,Trentino,Cantù,27.71780821917808,0,13,0,2,0.000,0,1,0.0,0,0,0.0,0,2,2,0,0,0,0,0,0,-0.7999999999999999,-7
2019-10-26,Trentino,Treviso,27.734246575342468,0,4,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-0.4,-4
2019-11-09,Trentino,Pesaro,27.77260273972603,0,8,1,1,1.000,1,1,1.0,0,0,0.0,0,0,0,0,1,0,0,1,3,3.3000000000000003,10
2019-11-17,Trentino,Cremona,27.794520547945204,0,14,1,4,0.250,0,2,0.0,1,1,1.0,0,2,2,0,0,0,0,2,3,0.40000000000000013,-12
2019-11-24,Trentino,Venezia,27.813698630136987,0,13,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,2,0,0.19999999999999996,-3
2019-11-30,Trentino,Brindisi,27.83013698630137,0,22,2,3,0.667,0,1,0.0,0,0,0.0,0,2,2,0,0,0,0,2,4,2.5,17
2019-12-07,Trentino,Fortitudo Bologna,27.84931506849315,0,16,3,6,0.500,0,1,0.0,0,0,0.0,0,1,1,1,0,0,2,1,6,1.600000000000001,8
2019-12-14,Trentino,Roma,27.86849315068493,0,14,2,6,0.333,1,4,0.25,0,0,0.0,1,0,1,0,1,0,1,2,5,1.5000000000000009,-12
2019-12-22,Trentino,Milano,27.89041095890411,0,13,1,5,0.200,0,4,0.0,0,0,0.0,1,2,3,1,0,0,2,1,2,-1.5000000000000002,2
2019-12-26,Trentino,Trieste,27.9013698630137,0,16,2,5,0.400,0,1,0.0,0,0,0.0,0,1,1,0,1,0,2,2,4,-0.2000000000000004,5
2019-12-29,Trentino,Varese,27.90958904109589,0,14,7,11,0.636,5,9,0.556,2,2,1.0,0,4,4,1,1,0,1,4,21,16.4,4
2020-01-05,Trentino,Virtus Bologna,27.92876712328767,0,9,0,2,0.000,0,0,0.0,0,0,0.0,0,1,1,0,1,0,0,1,0,-0.4999999999999999,-3
2020-01-12,Trentino,Pistoia,27.947945205479453,0,20,1,3,0.333,1,3,0.333,1,2,0.5,0,3,3,0,0,0,0,4,4,1.2000000000000006,5
2020-01-18,Trentino,Reggio Emilia,27.964383561643835,0,20,0,2,0.000,0,2,0.0,0,0,0.0,0,0,0,0,0,0,1,4,0,-4.0,-4
2020-01-25,Trentino,Sassari,27.983561643835618,0,14,3,7,0.429,1,3,0.333,0,0,0.0,0,0,0,0,0,0,0,3,7,2.0999999999999996,-3
2020-02-02,Trentino,Brescia,28.005479452054796,0,12,0,1,0.000,0,1,0.0,0,0,0.0,1,2,3,1,0,0,1,2,0,-0.5000000000000002,-3
