date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-09-25,Reggio Emilia,Brescia,22.997260273972604,0,16,2,3,0.000,0,0,0.0,1,2,0.5,1,3,4,0,1,1,1,2,5,4.800000000000001,2
2019-09-28,Reggio Emilia,Trentino,23.005479452054793,0,15,1,3,0.000,0,0,0.0,0,2,0.0,1,2,3,0,0,0,1,1,2,-0.5999999999999999,0
2019-10-06,Reggio Emilia,Cantù,23.027397260273972,0,15,2,6,0.000,0,0,0.0,0,0,0.0,2,2,4,0,0,0,1,1,4,1.2000000000000006,-2
2019-10-13,Reggio Emilia,Cremona,23.046575342465754,0,10,0,1,0.000,0,0,0.0,0,0,0.0,1,3,4,0,0,1,0,0,0,1.5999999999999999,-4
2019-10-20,Reggio Emilia,Pistoia,23.065753424657533,0,16,1,4,0.000,0,0,0.0,0,0,0.0,2,3,5,0,0,1,0,2,2,1.7999999999999996,6
2019-10-27,Reggio Emilia,Pesaro,23.084931506849315,0,19,1,4,0.000,0,0,0.0,4,4,1.0,3,6,9,0,0,3,0,3,6,8.399999999999999,15
2019-11-03,Reggio Emilia,Virtus Bologna,23.104109589041094,0,21,3,3,0.000,0,0,0.0,2,2,1.0,3,2,5,0,0,0,2,3,8,6.599999999999998,-7
2019-11-16,Reggio Emilia,Sassari,23.13972602739726,0,24,2,4,0.000,0,0,0.0,4,4,1.0,3,2,5,1,0,0,3,3,8,5.199999999999999,-14
2019-11-23,Reggio Emilia,Varese,23.15890410958904,0,21,3,5,0.000,0,0,0.0,0,1,0.0,3,5,8,1,0,0,1,2,6,5.800000000000001,0
2019-12-01,Reggio Emilia,Milano,23.18082191780822,0,20,4,5,0.000,0,0,0.0,2,2,1.0,5,5,10,0,1,0,0,3,10,12.899999999999999,1
2019-12-08,Reggio Emilia,Treviso,23.2,0,15,0,3,0.000,0,0,0.0,2,2,1.0,2,4,6,0,1,0,0,4,2,1.9,0
2019-12-15,Reggio Emilia,Trieste,23.21917808219178,0,12,2,3,0.000,0,0,0.0,0,0,0.0,2,0,2,0,0,0,0,1,4,3.6999999999999997,-11
2019-12-22,Reggio Emilia,Venezia,23.23835616438356,0,17,3,6,0.000,0,0,0.0,1,1,1.0,1,1,2,0,3,1,1,1,7,7.299999999999999,-19
2019-12-26,Reggio Emilia,Brindisi,23.24931506849315,0,25,6,10,0.000,0,0,0.0,1,2,0.5,3,3,6,1,0,0,1,0,13,10.7,-5
2019-12-29,Reggio Emilia,Roma,23.257534246575343,1,31,6,6,0.000,0,0,0.0,4,5,0.8,2,3,5,0,0,1,0,2,16,15.999999999999996,10
2020-01-05,Reggio Emilia,Fortitudo Bologna,23.276712328767122,0,14,0,2,0.000,0,0,0.0,2,2,1.0,1,1,2,0,0,1,0,1,2,1.9,-7
2020-01-11,Reggio Emilia,Brescia,23.293150684931508,0,12,2,3,0.000,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,0,4,3.3000000000000003,-20
2020-01-18,Reggio Emilia,Trentino,23.312328767123287,0,16,5,5,0.000,0,0,0.0,0,0,0.0,0,3,3,0,1,1,0,3,10,9.899999999999999,3
2020-01-25,Reggio Emilia,Cantù,23.33150684931507,0,22,4,7,0.000,0,0,0.0,1,1,1.0,5,6,11,0,0,2,1,3,9,10.2,20
2020-02-02,Reggio Emilia,Cremona,23.353424657534248,0,16,1,5,0.000,0,0,0.0,2,3,0.667,2,4,6,1,0,1,0,1,4,4.1000000000000005,-16
2020-02-09,Reggio Emilia,Pistoia,23.372602739726027,0,26,2,4,0.000,0,0,0.0,3,6,0.5,1,6,7,0,0,0,1,1,7,4.8999999999999995,-1
