date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-09-26,Treviso,Milano,25.49041095890411,1,26,2,8,0.000,0,0,0.0,0,0,0.0,1,4,5,1,2,0,1,1,4,2.4,-21
2019-09-29,Treviso,Cremona,25.4986301369863,0,15,2,5,0.400,0,1,0.0,0,0,0.0,0,5,5,0,0,0,3,2,4,-1.0000000000000002,-4
2019-10-06,Treviso,Pistoia,25.517808219178082,0,14,2,3,0.667,1,2,0.5,4,5,0.8,0,4,4,1,1,0,0,5,9,8.2,13
2019-10-13,Treviso,Fortitudo Bologna,25.536986301369865,0,21,1,4,0.250,0,2,0.0,0,0,0.0,1,1,2,1,0,0,0,3,2,0.09999999999999987,-5
2019-10-19,Treviso,Venezia,25.553424657534247,0,23,4,8,0.500,2,5,0.4,1,2,0.5,0,4,4,1,3,0,2,3,11,8.3,-4
2019-10-26,Treviso,Trentino,25.572602739726026,0,26,0,8,0.000,0,4,0.0,3,4,0.75,2,5,7,0,2,1,1,5,3,-0.39999999999999947,4
2019-11-03,Treviso,Pesaro,25.594520547945205,0,16,3,4,0.750,1,1,1.0,1,1,1.0,1,3,4,3,2,0,0,4,8,10.5,10
2019-11-10,Treviso,Virtus Bologna,25.613698630136987,0,24,4,10,0.400,2,3,0.667,0,0,0.0,2,4,6,1,1,1,0,2,10,8.799999999999997,2
2019-11-17,Treviso,Brescia,25.632876712328766,0,20,1,4,0.250,1,4,0.25,2,2,1.0,0,4,4,1,1,0,1,2,5,3.700000000000001,-1
2019-11-24,Treviso,Roma,25.65205479452055,0,12,0,2,0.000,0,0,0.0,0,0,0.0,1,0,1,1,1,0,0,4,0,-0.6000000000000001,0
2019-12-01,Treviso,Trieste,25.671232876712327,0,24,3,7,0.429,2,5,0.4,2,2,1.0,2,4,6,1,2,2,3,3,10,8.799999999999997,-14
2019-12-08,Treviso,Reggio Emilia,25.69041095890411,0,23,10,17,0.588,5,8,0.625,0,0,0.0,1,8,9,0,1,0,1,3,25,19.0,5
2019-12-15,Treviso,Cantù,25.709589041095892,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-12-27,Treviso,Sassari,25.742465753424657,1,23,5,9,0.556,3,3,1.0,0,0,0.0,1,5,6,1,1,0,0,2,13,11.799999999999997,-16
2019-12-29,Treviso,Brindisi,25.747945205479454,1,29,4,12,0.333,0,2,0.0,0,0,0.0,1,4,5,1,1,1,0,3,8,4.300000000000002,-3
2020-01-05,Treviso,Varese,25.767123287671232,1,23,4,9,0.444,2,5,0.4,4,6,0.667,1,4,5,1,2,2,2,5,14,10.499999999999998,-5
2020-01-12,Treviso,Milano,25.786301369863015,1,20,3,12,0.250,1,7,0.143,3,3,1.0,2,2,4,0,0,2,1,5,10,3.200000000000001,5
2020-01-18,Treviso,Cremona,25.802739726027397,0,29,1,6,0.167,0,2,0.0,2,2,1.0,3,3,6,1,0,2,1,3,4,3.1000000000000005,5
2020-01-26,Treviso,Pistoia,25.824657534246576,1,28,4,11,0.364,2,3,0.667,5,6,0.833,2,12,14,2,1,0,1,5,15,12.900000000000002,17
2020-02-02,Treviso,Fortitudo Bologna,25.843835616438355,1,32,4,9,0.444,2,5,0.4,1,2,0.5,2,9,11,3,3,0,1,3,11,12.899999999999999,16
2020-02-09,Treviso,Venezia,25.863013698630137,1,26,2,4,0.500,0,2,0.0,0,0,0.0,2,5,7,0,3,1,2,3,4,5.3999999999999995,-3
