date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-09-26,Trieste,Venezia,33.942465753424656,1,22,0,4,0.000,0,2,0.0,2,2,1.0,1,4,5,2,2,0,0,3,2,3.3,-2
2019-09-29,Trieste,Varese,33.95068493150685,1,13,2,5,0.400,0,2,0.0,0,0,0.0,1,0,1,0,0,0,2,1,4,-0.40000000000000036,-15
2019-10-06,Trieste,Milano,33.96986301369863,1,21,4,8,0.000,0,0,0.0,3,3,1.0,1,1,2,0,1,2,3,2,11,6.6,-17
2019-10-13,Trieste,Sassari,33.989041095890414,1,22,5,9,0.000,0,0,0.0,0,0,0.0,2,3,5,2,1,0,2,2,10,7.6,-3
2019-10-19,Trieste,Brescia,34.00547945205479,1,17,1,5,0.000,0,0,0.0,5,6,0.833,2,2,4,0,2,0,2,4,7,3.9000000000000004,3
2019-11-03,Trieste,Pistoia,34.04657534246575,1,23,5,8,0.625,0,1,0.0,2,2,1.0,1,1,2,1,0,0,2,3,12,6.899999999999999,-8
2019-11-10,Trieste,Brindisi,34.06575342465754,1,21,5,8,0.625,1,2,0.5,0,0,0.0,3,2,5,2,2,0,3,2,11,9.7,-6
2019-11-17,Trieste,Virtus Bologna,34.084931506849315,1,27,2,9,0.222,0,2,0.0,4,4,1.0,1,3,4,1,3,0,1,4,8,5.200000000000001,1
2019-11-24,Trieste,Cremona,34.104109589041094,1,28,7,10,0.700,0,1,0.0,3,4,0.75,1,4,5,2,2,1,2,4,17,14.799999999999994,-7
2019-12-01,Trieste,Treviso,34.12328767123288,1,18,2,5,0.400,0,1,0.0,1,2,0.5,0,3,3,1,1,0,2,4,5,0.8999999999999999,-2
2019-12-08,Trieste,Roma,34.14246575342466,1,23,4,7,0.571,1,3,0.333,4,4,1.0,0,3,3,0,0,0,0,2,13,9.799999999999999,-4
2019-12-15,Trieste,Reggio Emilia,34.16164383561644,1,24,6,13,0.462,1,2,0.5,1,2,0.5,1,4,5,2,1,0,2,2,14,8.399999999999999,-13
2019-12-22,Trieste,Cantù,34.18082191780822,1,17,6,9,0.667,1,3,0.333,1,3,0.333,1,3,4,3,0,1,1,1,14,12.299999999999995,-2
2019-12-26,Trieste,Trentino,34.19178082191781,1,20,2,8,0.250,0,2,0.0,0,0,0.0,1,2,3,0,1,0,1,1,4,0.10000000000000009,-19
2019-12-29,Trieste,Fortitudo Bologna,34.2,1,16,4,7,0.571,0,2,0.0,2,3,0.667,2,5,7,0,0,0,0,3,10,7.999999999999999,6
2020-01-05,Trieste,Pesaro,34.21917808219178,1,21,6,10,0.600,1,2,0.5,1,1,1.0,2,2,4,2,0,0,2,4,14,9.2,11
2020-01-12,Trieste,Venezia,34.23835616438356,1,33,6,12,0.500,0,2,0.0,5,9,0.556,4,5,9,1,0,0,1,4,17,11.799999999999999,-2
2020-01-19,Trieste,Varese,34.25753424657534,1,23,3,8,0.375,0,2,0.0,2,2,1.0,1,4,5,6,3,0,1,0,8,11.7,-5
2020-01-26,Trieste,Milano,34.276712328767125,1,20,6,12,0.500,1,4,0.25,0,0,0.0,3,3,6,0,1,0,0,3,13,9.8,-19
2020-02-02,Trieste,Sassari,34.295890410958904,1,26,1,5,0.200,0,2,0.0,1,2,0.5,3,5,8,2,1,0,4,3,3,0.2999999999999998,4
2020-03-07,Trieste,Pistoia,34.38904109589041,1,27,8,15,0.533,0,3,0.0,0,0,0.0,1,6,7,2,2,0,1,3,16,12.399999999999999,11
