date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-09-25,Virtus Bologna,Roma,28.013698630136986,1,28,4,12,0.333,1,4,0.25,0,0,0.0,3,3,6,0,1,1,1,1,9,5.500000000000001,9
2019-09-29,Virtus Bologna,Pistoia,28.024657534246575,1,22,5,6,0.833,2,2,1.0,3,3,1.0,1,1,2,1,0,0,0,4,15,12.9,9
2019-10-06,Virtus Bologna,Venezia,28.043835616438358,1,19,1,5,0.000,0,0,0.0,2,2,1.0,1,1,2,0,0,0,0,3,4,0.7000000000000002,-15
2019-10-13,Virtus Bologna,Pesaro,28.063013698630137,1,26,3,3,1.000,1,1,1.0,0,2,0.0,2,7,9,6,0,0,1,2,7,11.199999999999998,16
2019-10-19,Virtus Bologna,Varese,28.07945205479452,1,28,5,9,0.556,3,6,0.5,0,0,0.0,1,3,4,2,0,0,4,3,13,6.5,13
2019-10-26,Virtus Bologna,Brescia,28.0986301369863,1,24,4,8,0.500,3,6,0.5,0,0,0.0,1,0,1,0,1,0,2,3,11,5.499999999999999,-2
2019-11-03,Virtus Bologna,Reggio Emilia,28.12054794520548,1,25,4,7,0.571,4,6,0.667,0,0,0.0,0,1,1,4,3,0,0,2,12,14.0,11
2019-11-10,Virtus Bologna,Treviso,28.13972602739726,1,30,5,8,0.625,1,2,0.5,2,2,1.0,2,6,8,0,0,0,1,2,13,10.8,17
2019-11-17,Virtus Bologna,Trieste,28.15890410958904,1,29,2,10,0.200,0,7,0.0,0,0,0.0,3,3,6,3,3,1,1,5,4,3.5999999999999988,10
2019-12-01,Virtus Bologna,Cantù,28.197260273972603,1,27,1,4,0.250,0,1,0.0,0,0,0.0,4,1,5,4,2,0,0,1,2,7.099999999999999,8
2019-12-08,Virtus Bologna,Cremona,28.216438356164385,1,26,3,8,0.375,1,4,0.25,0,0,0.0,3,6,9,1,2,0,1,2,7,7.399999999999999,-10
2019-12-14,Virtus Bologna,Brindisi,28.232876712328768,1,20,4,7,0.571,2,5,0.4,0,0,0.0,1,2,3,2,1,0,3,1,10,7.0,6
2019-12-22,Virtus Bologna,Sassari,28.254794520547946,1,12,0,5,0.000,0,2,0.0,0,0,0.0,1,2,3,0,0,0,0,4,0,-3.8,-13
2019-12-25,Virtus Bologna,Fortitudo Bologna,28.263013698630136,1,25,3,7,0.429,2,4,0.5,0,0,0.0,1,4,5,0,0,0,0,1,8,5.8,16
2019-12-29,Virtus Bologna,Milano,28.273972602739725,1,22,3,6,0.500,1,3,0.333,0,0,0.0,1,3,4,0,2,0,0,2,7,6.8,11
2020-01-05,Virtus Bologna,Trentino,28.293150684931508,1,29,4,10,0.400,2,5,0.4,0,0,0.0,1,6,7,6,0,0,0,2,10,10.499999999999998,12
2020-01-12,Virtus Bologna,Roma,28.312328767123287,1,20,3,6,0.500,1,3,0.333,5,6,0.833,1,5,6,1,1,0,0,3,12,11.299999999999997,9
2020-01-18,Virtus Bologna,Pistoia,28.328767123287673,1,23,8,11,0.727,4,5,0.8,2,2,1.0,1,3,4,0,1,0,1,2,22,18.299999999999997,19
2020-01-25,Virtus Bologna,Venezia,28.34794520547945,1,17,3,3,1.000,1,1,1.0,0,0,0.0,1,4,5,0,1,0,0,2,7,8.2,15
2020-02-01,Virtus Bologna,Pesaro,28.367123287671234,1,23,4,8,0.500,3,6,0.5,0,0,0.0,0,8,8,7,1,1,4,1,11,11.6,13
