date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-09-29,Cremona,Treviso,29.545205479452054,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-10-06,Cremona,Roma,29.564383561643837,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-10-13,Cremona,Reggio Emilia,29.583561643835615,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-10-20,Cremona,Milano,29.602739726027398,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-10-26,Cremona,Venezia,29.61917808219178,0,11,0,2,0.000,0,2,0.0,0,0,0.0,0,0,0,1,1,0,1,0,0,-0.7,-4
2019-11-03,Cremona,Cantù,29.64109589041096,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-11-10,Cremona,Fortitudo Bologna,29.66027397260274,0,13,1,1,1.000,1,1,1.0,0,0,0.0,0,1,1,1,1,0,0,0,3,4.7,14
2019-11-17,Cremona,Trentino,29.67945205479452,0,10,2,2,1.000,2,2,1.0,0,0,0.0,0,1,1,2,0,0,1,0,6,6.1,8
2019-11-24,Cremona,Trieste,29.698630136986303,0,13,0,0,0.000,0,0,0.0,3,3,1.0,0,1,1,3,0,0,0,2,3,4.6,7
2019-12-01,Cremona,Pesaro,29.71780821917808,0,3,0,2,0.000,0,2,0.0,0,0,0.0,0,1,1,1,0,0,0,0,0,-0.3999999999999999,1
2019-12-08,Cremona,Virtus Bologna,29.736986301369864,0,8,0,0,0.000,0,0,0.0,2,2,1.0,0,1,1,0,0,0,0,2,2,1.4999999999999998,4
2019-12-15,Cremona,Pistoia,29.756164383561643,0,11,0,6,0.000,0,3,0.0,0,0,0.0,0,0,0,1,0,0,0,3,0,-4.699999999999999,-9
2019-12-21,Cremona,Varese,29.77260273972603,0,21,3,5,0.600,2,4,0.5,2,3,0.667,0,5,5,5,0,0,0,2,10,11.499999999999998,24
2019-12-26,Cremona,Brescia,29.786301369863015,0,14,3,5,0.600,2,4,0.5,0,0,0.0,0,0,0,2,2,0,2,2,8,6.299999999999999,-2
2019-12-30,Cremona,Sassari,29.797260273972604,0,7,0,1,0.000,0,0,0.0,0,0,0.0,0,1,1,2,0,0,1,0,0,0.0,-7
2020-01-05,Cremona,Brindisi,29.813698630136987,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2020-01-18,Cremona,Treviso,29.84931506849315,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2020-01-26,Cremona,Roma,29.87123287671233,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2020-02-02,Cremona,Reggio Emilia,29.89041095890411,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2020-02-09,Cremona,Milano,29.90958904109589,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
