date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-09-26,Treviso,Milano,23.28219178082192,0,4,1,2,0.500,1,2,0.5,0,0,0.0,0,0,0,0,0,0,0,0,3,2.0,-1
2019-09-29,Treviso,Cremona,23.29041095890411,0,26,4,6,0.667,2,4,0.5,0,0,0.0,2,2,4,1,0,0,0,0,10,10.1,-1
2019-10-06,Treviso,Pistoia,23.30958904109589,0,24,4,8,0.500,3,7,0.429,0,0,0.0,0,0,0,4,2,0,2,4,11,8.200000000000001,9
2019-10-13,Treviso,Fortitudo Bologna,23.328767123287673,0,10,0,0,0.000,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,4,0,-2.3,0
2019-10-19,Treviso,Venezia,23.345205479452055,0,4,0,0,0.000,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,-0.7,-8
2019-10-26,Treviso,Trentino,23.364383561643837,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-11-03,Treviso,Pesaro,23.386301369863013,0,1,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-3
2019-11-10,Treviso,Virtus Bologna,23.405479452054795,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-11-17,Treviso,Brescia,23.424657534246574,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-11-24,Treviso,Roma,23.443835616438356,0,2,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,2
2019-12-01,Treviso,Trieste,23.46301369863014,0,7,0,0,0.000,0,0,0.0,0,0,0.0,0,3,3,0,0,0,0,1,0,0.4999999999999999,-7
2019-12-08,Treviso,Reggio Emilia,23.482191780821918,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-12-15,Treviso,Cantù,23.5013698630137,0,11,1,3,0.333,1,3,0.333,0,0,0.0,2,1,3,1,0,0,1,2,3,1.9000000000000004,-6
2019-12-27,Treviso,Sassari,23.534246575342465,0,12,1,1,0.000,0,0,0.0,0,0,0.0,1,1,2,0,0,0,1,2,2,0.8999999999999997,-4
2019-12-29,Treviso,Brindisi,23.53972602739726,0,11,1,1,1.000,1,1,1.0,0,0,0.0,0,1,1,1,0,0,1,1,3,2.3000000000000003,-4
2020-01-05,Treviso,Varese,23.55890410958904,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2020-01-12,Treviso,Milano,23.578082191780823,0,5,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-0.4,-7
2020-01-18,Treviso,Cremona,23.594520547945205,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
