date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-10-20,Fortitudo Bologna,Roma,29.586301369863016,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-10-27,Fortitudo Bologna,Pistoia,29.605479452054794,1,28,9,17,0.000,0,0,0.0,0,0,0.0,1,4,5,3,2,2,1,2,18,15.3,12
2019-11-03,Fortitudo Bologna,Brescia,29.624657534246577,1,20,2,7,0.000,0,0,0.0,1,2,0.5,3,5,8,2,0,3,2,0,5,5.6,-7
2019-11-10,Fortitudo Bologna,Cremona,29.643835616438356,1,25,8,13,0.000,0,0,0.0,2,2,1.0,2,1,3,2,0,0,5,3,18,9.0,-3
2019-11-17,Fortitudo Bologna,Milano,29.663013698630138,1,23,6,12,0.000,0,0,0.0,5,7,0.714,3,8,11,2,1,2,1,3,17,16.299999999999997,0
2019-11-24,Fortitudo Bologna,Cantù,29.682191780821917,1,31,5,11,0.000,0,0,0.0,5,6,0.833,1,6,7,0,1,0,2,3,15,9.2,0
2019-12-07,Fortitudo Bologna,Trentino,29.71780821917808,1,19,5,6,0.000,0,0,0.0,4,4,1.0,1,2,3,4,0,2,1,1,14,15.899999999999999,29
2019-12-15,Fortitudo Bologna,Sassari,29.73972602739726,1,22,8,11,0.000,0,0,0.0,1,2,0.5,2,7,9,3,1,1,5,3,17,13.200000000000003,-3
2019-12-22,Fortitudo Bologna,Brindisi,29.758904109589043,1,34,7,11,0.000,0,0,0.0,3,4,0.75,1,16,17,5,1,7,2,2,17,23.799999999999997,8
2019-12-25,Fortitudo Bologna,Virtus Bologna,29.767123287671232,1,35,7,16,0.000,0,0,0.0,2,2,1.0,4,9,13,2,1,1,3,2,16,12.400000000000002,-34
2019-12-29,Fortitudo Bologna,Trieste,29.778082191780822,1,32,5,14,0.357,0,1,0.0,5,8,0.625,3,8,11,2,0,0,0,1,15,11.500000000000002,-19
2020-01-05,Fortitudo Bologna,Reggio Emilia,29.797260273972604,1,30,10,19,0.000,0,0,0.0,3,5,0.6,4,8,12,1,1,2,2,1,23,18.799999999999997,24
2020-01-11,Fortitudo Bologna,Pesaro,29.813698630136987,1,31,6,12,0.500,0,1,0.0,4,4,1.0,5,14,19,7,0,4,1,3,16,23.2,5
2020-01-18,Fortitudo Bologna,Venezia,29.83287671232877,1,24,5,9,0.000,0,0,0.0,4,4,1.0,0,4,4,1,1,0,2,3,14,9.399999999999999,-11
2020-01-26,Fortitudo Bologna,Varese,29.854794520547944,1,26,7,9,0.000,0,0,0.0,0,0,0.0,1,7,8,0,0,3,4,2,14,10.599999999999998,-8
2020-02-02,Fortitudo Bologna,Treviso,29.873972602739727,1,23,5,5,0.000,0,0,0.0,0,0,0.0,1,6,7,0,1,2,3,4,10,8.8,-12
2020-02-08,Fortitudo Bologna,Roma,29.89041095890411,1,21,5,8,0.000,0,0,0.0,2,4,0.5,1,5,6,1,0,0,1,0,12,9.5,10
