date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-09-25,Reggio Emilia,Brescia,18.71232876712329,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-09-28,Reggio Emilia,Trentino,18.720547945205478,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-10-13,Reggio Emilia,Cremona,18.76164383561644,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-12-08,Reggio Emilia,Treviso,18.915068493150685,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-12-15,Reggio Emilia,Trieste,18.934246575342467,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-12-22,Reggio Emilia,Venezia,18.953424657534246,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-12-26,Reggio Emilia,Brindisi,18.964383561643835,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-12-29,Reggio Emilia,Roma,18.972602739726028,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2020-01-05,Reggio Emilia,Fortitudo Bologna,18.991780821917807,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2020-01-11,Reggio Emilia,Brescia,19.008219178082193,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2020-01-18,Reggio Emilia,Trentino,19.027397260273972,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2020-01-25,Reggio Emilia,Cantù,19.046575342465754,0,1,0,1,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,-1.7,-3
2020-02-02,Reggio Emilia,Cremona,19.068493150684933,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2020-02-09,Reggio Emilia,Pistoia,19.087671232876712,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
