date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-09-26,Treviso,Milano,24.986301369863014,0,18,1,4,0.000,0,0,0.0,3,3,1.0,0,1,1,0,1,0,2,2,5,1.1000000000000005,-7
2019-09-29,Treviso,Cremona,24.994520547945207,0,13,4,4,0.000,0,0,0.0,0,0,0.0,0,5,5,1,1,0,3,4,8,5.4,2
2019-10-06,Treviso,Pistoia,25.013698630136986,0,14,2,7,0.286,0,1,0.0,0,0,0.0,2,0,2,1,1,0,1,4,4,0.3999999999999999,4
2019-10-13,Treviso,Fortitudo Bologna,25.03287671232877,1,21,4,8,0.500,0,2,0.0,1,1,1.0,2,3,5,1,1,0,0,4,9,7.4,-1
2019-10-19,Treviso,Venezia,25.04931506849315,1,24,2,7,0.286,0,3,0.0,0,2,0.0,0,6,6,2,0,2,3,4,4,-0.9000000000000004,15
2019-10-26,Treviso,Trentino,25.068493150684933,1,22,4,9,0.444,0,1,0.0,0,0,0.0,2,2,4,1,0,0,2,4,8,2.3999999999999986,-8
2019-11-03,Treviso,Pesaro,25.09041095890411,1,24,7,14,0.500,2,2,1.0,2,2,1.0,2,5,7,2,1,0,0,3,18,15.100000000000001,6
2019-11-10,Treviso,Virtus Bologna,25.10958904109589,1,13,4,6,0.000,0,0,0.0,2,2,1.0,0,2,2,1,0,0,0,5,10,6.699999999999999,-5
2019-11-17,Treviso,Brescia,25.12876712328767,1,26,2,4,0.000,0,0,0.0,3,4,0.75,3,7,10,0,0,2,3,1,7,6.799999999999999,7
2019-11-24,Treviso,Roma,25.147945205479452,1,23,5,8,0.625,0,2,0.0,0,2,0.0,2,7,9,0,2,1,1,5,10,8.799999999999999,25
2019-12-01,Treviso,Trieste,25.167123287671235,1,26,4,10,0.400,2,3,0.667,1,2,0.5,0,9,9,0,1,0,3,3,11,4.699999999999998,3
2019-12-08,Treviso,Reggio Emilia,25.186301369863013,1,20,3,6,0.500,0,1,0.0,1,1,1.0,1,3,4,1,0,1,0,3,7,5.8,2
2019-12-15,Treviso,Cantù,25.205479452054796,1,31,7,14,0.500,0,1,0.0,1,1,1.0,4,8,12,1,0,1,3,4,15,10.0,12
2019-12-27,Treviso,Sassari,25.23835616438356,1,11,2,2,1.000,1,1,1.0,0,0,0.0,0,2,2,1,0,0,0,5,5,3.7,-8
2019-12-29,Treviso,Brindisi,25.243835616438357,0,21,3,9,0.333,0,1,0.0,5,6,0.833,2,1,3,0,0,0,1,2,11,5.399999999999999,-8
2020-01-05,Treviso,Varese,25.263013698630136,1,22,4,6,0.000,0,0,0.0,1,2,0.5,1,2,3,0,1,0,0,3,9,7.1000000000000005,0
2020-01-12,Treviso,Milano,25.28219178082192,0,15,1,9,0.111,0,2,0.0,0,0,0.0,3,1,4,2,0,0,0,5,2,-2.1000000000000005,-7
2020-01-18,Treviso,Cremona,25.2986301369863,1,9,0,2,0.000,0,1,0.0,0,0,0.0,0,1,1,1,0,0,0,2,0,-1.2,-17
2020-01-26,Treviso,Pistoia,25.32054794520548,0,6,1,1,0.000,0,0,0.0,0,2,0.0,1,0,1,1,0,0,2,3,2,-0.9000000000000004,-4
2020-02-02,Treviso,Fortitudo Bologna,25.339726027397262,0,21,9,13,0.692,0,2,0.0,0,1,0.0,4,2,6,0,3,0,1,2,18,16.7,6
2020-02-09,Treviso,Venezia,25.35890410958904,0,13,4,7,0.571,0,1,0.0,0,1,0.0,0,1,1,0,0,1,0,3,8,4.1,2
