date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-09-26,Brindisi,Cantù,24.413698630136988,1,22,0,5,0.000,0,2,0.0,1,2,0.5,0,0,0,3,0,0,1,3,1,-3.0000000000000004,-15
2019-09-29,Brindisi,Roma,24.421917808219177,1,29,8,11,0.727,2,3,0.667,3,4,0.75,2,2,4,3,1,0,2,3,21,18.000000000000004,22
2019-10-05,Brindisi,Brescia,24.438356164383563,1,26,7,11,0.636,3,4,0.75,1,2,0.5,2,1,3,4,3,0,3,2,18,16.400000000000002,2
2019-10-13,Brindisi,Milano,24.46027397260274,1,27,5,9,0.556,1,2,0.5,1,2,0.5,2,0,2,1,2,0,0,3,12,10.2,1
2019-10-20,Brindisi,Pesaro,24.47945205479452,1,28,6,12,0.500,3,4,0.75,2,2,1.0,0,2,2,3,0,0,1,3,17,11.5,4
2019-10-27,Brindisi,Varese,24.4986301369863,1,28,5,10,0.500,0,1,0.0,0,0,0.0,2,1,3,1,2,1,1,0,10,9.099999999999998,-27
2019-11-03,Brindisi,Venezia,24.517808219178082,1,19,2,6,0.333,1,2,0.5,2,2,1.0,0,3,3,0,1,0,0,2,7,4.7,-6
2019-11-10,Brindisi,Trieste,24.536986301369865,1,26,6,11,0.545,1,4,0.25,0,0,0.0,1,0,1,0,2,0,1,4,13,7.800000000000001,4
2019-11-24,Brindisi,Pistoia,24.575342465753426,1,20,4,7,0.571,1,3,0.333,1,2,0.5,0,3,3,4,0,0,1,2,10,8.2,18
2019-11-30,Brindisi,Trentino,24.59178082191781,1,30,6,14,0.429,0,4,0.0,0,0,0.0,0,1,1,2,1,0,0,3,12,6.1000000000000005,-5
2019-12-08,Brindisi,Sassari,24.613698630136987,1,31,6,9,0.667,2,3,0.667,1,3,0.333,1,0,1,6,4,0,0,2,15,18.399999999999995,-3
2019-12-14,Brindisi,Virtus Bologna,24.63013698630137,1,32,7,13,0.538,3,6,0.5,2,3,0.667,3,4,7,3,3,0,0,1,19,20.300000000000004,-5
2019-12-22,Brindisi,Fortitudo Bologna,24.65205479452055,1,32,1,7,0.143,0,2,0.0,0,0,0.0,0,4,4,7,1,1,0,4,2,3.6999999999999997,-2
2019-12-26,Brindisi,Reggio Emilia,24.663013698630138,1,27,4,9,0.444,0,1,0.0,3,4,0.75,1,3,4,5,0,1,0,1,11,11.299999999999999,10
2019-12-29,Brindisi,Treviso,24.671232876712327,1,31,4,8,0.500,1,2,0.5,4,4,1.0,1,1,2,4,1,0,3,2,13,10.0,4
2020-01-05,Brindisi,Cremona,24.69041095890411,1,24,4,7,0.571,0,2,0.0,0,2,0.0,1,2,3,3,0,0,2,3,8,4.1,-25
2020-01-12,Brindisi,Cantù,24.709589041095892,1,28,4,10,0.400,3,4,0.75,2,2,1.0,3,4,7,2,2,1,1,4,13,12.399999999999999,4
2020-01-19,Brindisi,Roma,24.72876712328767,1,35,7,16,0.438,4,6,0.667,0,0,0.0,0,0,0,2,0,0,2,2,18,8.200000000000001,9
2020-01-26,Brindisi,Brescia,24.747945205479454,1,19,1,7,0.143,1,2,0.5,0,0,0.0,0,0,0,2,3,2,0,5,3,2.3000000000000007,15
2020-02-01,Brindisi,Milano,24.764383561643836,1,20,1,5,0.200,0,2,0.0,0,0,0.0,1,2,3,4,1,2,3,3,2,1.1999999999999993,-3
2020-02-09,Brindisi,Pesaro,24.786301369863015,0,19,7,11,0.636,3,4,0.75,2,2,1.0,0,2,2,4,0,0,0,4,19,15.9,20
