date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-09-24,Pesaro,Fortitudo Bologna,22.22739726027397,0,22,6,8,0.000,0,0,0.0,0,0,0.0,6,2,8,0,1,3,0,3,12,15.5,0
2019-09-29,Pesaro,Sassari,22.24109589041096,0,18,4,6,0.000,0,0,0.0,1,2,0.5,4,3,7,0,1,0,1,2,9,8.9,-9
2019-10-13,Pesaro,Virtus Bologna,22.279452054794522,0,18,1,1,0.000,0,0,0.0,1,3,0.333,2,2,4,0,0,1,0,1,3,4.199999999999999,-9
2019-12-01,Pesaro,Cremona,22.413698630136988,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-12-08,Pesaro,Milano,22.432876712328767,0,15,3,5,0.600,0,2,0.0,4,5,0.8,0,2,2,0,0,1,0,1,10,8.199999999999998,-6
2019-12-15,Pesaro,Varese,22.45205479452055,0,13,3,4,0.000,0,0,0.0,0,0,0.0,1,2,3,0,0,0,0,4,6,4.1,-1
2019-12-22,Pesaro,Pistoia,22.471232876712328,0,18,5,7,0.000,0,0,0.0,0,0,0.0,3,3,6,1,0,1,3,2,10,7.6999999999999975,-2
2019-12-26,Pesaro,Cantù,22.482191780821918,0,29,8,9,0.000,0,0,0.0,1,5,0.2,6,3,9,1,1,4,1,1,17,20.5,0
2019-12-29,Pesaro,Venezia,22.49041095890411,1,37,5,11,0.455,0,1,0.0,3,4,0.75,3,8,11,0,0,0,1,2,13,9.6,-3
2020-01-05,Pesaro,Trieste,22.50958904109589,1,20,2,7,0.000,0,0,0.0,1,2,0.5,2,2,4,0,0,0,0,1,5,2.1000000000000005,-10
2020-01-11,Pesaro,Fortitudo Bologna,22.526027397260275,1,26,6,10,0.600,0,1,0.0,0,2,0.0,5,5,10,0,0,1,2,4,12,8.700000000000001,-4
2020-01-19,Pesaro,Sassari,22.54794520547945,1,12,1,3,0.000,0,0,0.0,2,3,0.667,0,1,1,0,1,0,0,5,4,1.2000000000000006,-11
2020-02-01,Pesaro,Virtus Bologna,22.583561643835615,1,18,3,7,0.000,0,0,0.0,0,2,0.0,3,2,5,1,0,2,4,3,6,1.1000000000000005,-14
2020-02-09,Pesaro,Brindisi,22.605479452054794,1,40,8,15,0.533,0,1,0.0,1,4,0.25,4,4,8,2,1,1,0,4,17,14.0,-26
