date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-09-26,Sassari,Varese,27.923287671232877,1,22,4,7,0.571,3,5,0.6,0,0,0.0,0,0,0,1,2,0,2,1,11,7.999999999999998,17
2019-09-29,Sassari,Pesaro,27.93150684931507,1,24,4,11,0.364,1,3,0.333,2,2,1.0,1,5,6,1,1,0,3,1,11,5.4,4
2019-10-05,Sassari,Trentino,27.947945205479453,1,24,3,4,0.750,3,4,0.75,3,3,1.0,1,4,5,1,0,0,2,3,12,9.799999999999997,-9
2019-10-13,Sassari,Trieste,27.96986301369863,1,25,2,6,0.333,0,3,0.0,3,3,1.0,0,3,3,1,1,0,2,1,7,3.8,-7
2019-10-27,Sassari,Cantù,28.008219178082193,1,30,2,5,0.400,2,5,0.4,4,4,1.0,0,3,3,6,0,0,2,1,10,10.0,21
2019-11-02,Sassari,Roma,28.024657534246575,1,22,5,9,0.556,2,5,0.4,0,0,0.0,1,1,2,4,3,0,0,2,12,13.7,35
2019-11-10,Sassari,Venezia,28.046575342465754,1,21,1,6,0.167,1,2,0.5,1,2,0.5,0,0,0,2,1,0,2,0,4,0.20000000000000107,4
2019-11-16,Sassari,Reggio Emilia,28.063013698630137,1,30,4,7,0.571,3,5,0.6,3,3,1.0,1,1,2,5,0,1,1,2,14,14.099999999999998,6
2019-11-24,Sassari,Milano,28.084931506849315,1,23,4,6,0.667,3,4,0.75,1,2,0.5,0,2,2,1,1,0,0,2,12,10.499999999999998,4
2019-12-01,Sassari,Brescia,28.104109589041094,1,23,2,8,0.250,1,6,0.167,4,4,1.0,1,7,8,1,1,0,1,2,9,6.900000000000001,5
2019-12-08,Sassari,Brindisi,28.123287671232877,1,26,5,6,0.833,2,3,0.667,0,0,0.0,1,3,4,1,1,0,0,0,12,13.1,9
2019-12-15,Sassari,Fortitudo Bologna,28.14246575342466,1,25,6,7,0.857,2,2,1.0,2,3,0.667,1,5,6,3,0,0,1,1,16,16.0,13
2019-12-22,Sassari,Virtus Bologna,28.161643835616438,1,24,3,9,0.333,2,5,0.4,0,0,0.0,0,3,3,2,1,0,2,0,8,4.199999999999999,17
2019-12-27,Sassari,Treviso,28.175342465753424,1,26,5,7,0.714,3,5,0.6,6,6,1.0,0,1,1,1,2,0,3,4,19,14.5,23
2019-12-30,Sassari,Cremona,28.183561643835617,1,21,2,6,0.333,1,3,0.333,1,1,1.0,0,2,2,1,1,0,2,2,6,2.1000000000000014,6
2020-01-04,Sassari,Pistoia,28.197260273972603,1,25,5,6,0.833,2,3,0.667,2,2,1.0,0,3,3,2,0,0,1,0,14,13.100000000000001,11
2020-01-12,Sassari,Varese,28.21917808219178,1,34,3,4,0.750,3,4,0.75,5,7,0.714,0,3,3,1,1,0,2,2,14,11.399999999999997,-2
2020-01-19,Sassari,Pesaro,28.23835616438356,1,27,4,6,0.667,2,4,0.5,6,6,1.0,0,6,6,6,2,0,2,0,16,19.400000000000002,23
2020-01-25,Sassari,Trentino,28.254794520547946,1,31,4,6,0.667,3,4,0.75,3,3,1.0,0,2,2,3,0,0,6,3,14,6.899999999999999,-6
2020-02-02,Sassari,Trieste,28.276712328767122,1,25,4,8,0.500,3,6,0.5,1,2,0.5,0,2,2,2,0,0,2,2,12,6.799999999999999,-5
2020-03-07,Sassari,Roma,28.36986301369863,1,37,4,7,0.571,1,4,0.25,6,6,1.0,1,2,3,3,0,0,0,2,15,14.3,-2
