date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-10-07,Venezia,Torino,32.21095890410959,0,3,0,2,0.000,0,1,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,-0.3999999999999999,-4
2018-10-14,Venezia,Pistoia,32.23013698630137,1,14,2,4,0.500,0,2,0.0,0,0,0.0,0,3,3,4,1,0,0,0,4,6.699999999999999,10
2018-10-21,Venezia,Pesaro,32.24931506849315,0,16,0,1,0.000,0,1,0.0,0,0,0.0,0,1,1,1,0,0,2,1,0,-2.1,0
2018-10-27,Venezia,Trentino,32.26575342465753,0,5,0,1,0.000,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-0.39999999999999997,-4
2018-11-04,Venezia,Virtus Bologna,32.28767123287671,0,8,0,1,0.000,0,0,0.0,0,0,0.0,0,4,4,0,0,0,0,1,0,0.09999999999999998,-2
2018-11-10,Venezia,Sassari,32.3041095890411,0,1,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-2
2018-11-18,Venezia,Milano,32.326027397260276,0,2,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-0.4,-8
2018-11-25,Venezia,Avellino,32.345205479452055,0,13,0,2,0.000,0,2,0.0,1,2,0.5,0,0,0,1,2,0,0,1,1,1.5,7
2018-12-09,Venezia,Varese,32.38356164383562,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-12-16,Venezia,Brindisi,32.4027397260274,0,4,0,1,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-1.1,4
2018-12-23,Venezia,Cantù,32.42191780821918,0,5,1,1,1.000,1,1,1.0,0,0,0.0,0,2,2,0,0,0,0,0,3,3.3000000000000003,-2
2018-12-26,Venezia,Trieste,32.43013698630137,0,8,0,1,0.000,0,1,0.0,0,0,0.0,0,2,2,0,1,0,0,2,0,0.09999999999999998,5
2018-12-30,Venezia,Reggio Emilia,32.441095890410956,0,1,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-3
2019-01-06,Venezia,Cremona,32.46027397260274,0,1,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,3
2019-01-12,Venezia,Brescia,32.47671232876712,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-01-20,Venezia,Torino,32.4986301369863,0,7,0,1,0.000,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,2,0,-0.8,2
2019-01-27,Venezia,Pistoia,32.517808219178086,0,14,2,4,0.500,1,3,0.333,0,0,0.0,0,1,1,3,1,0,1,1,5,4.999999999999999,7
2019-02-03,Venezia,Pesaro,32.536986301369865,0,8,0,1,0.000,0,1,0.0,1,2,0.5,1,1,2,0,0,0,0,2,1,0.09999999999999987,7
2019-02-10,Venezia,Trentino,32.556164383561644,0,7,1,1,1.000,1,1,1.0,1,2,0.5,0,0,0,0,0,0,0,2,4,2.5,10
2019-03-02,Venezia,Virtus Bologna,32.61095890410959,0,3,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-1
2019-03-10,Venezia,Sassari,32.632876712328766,0,1,0,1,0.000,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-0.39999999999999997,-3
2019-03-17,Venezia,Milano,32.652054794520545,0,6,0,0,0.000,0,0,0.0,0,0,0.0,0,1,1,0,1,0,0,0,0,1.3,1
2019-03-24,Venezia,Avellino,32.67123287671233,0,9,1,2,0.500,0,1,0.0,0,0,0.0,0,2,2,1,0,0,0,2,2,1.4999999999999998,3
2019-03-31,Venezia,Varese,32.69041095890411,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-04-07,Venezia,Brindisi,32.70958904109589,0,9,1,2,0.500,1,2,0.5,0,0,0.0,0,0,0,0,0,0,1,2,3,0.19999999999999996,-13
2019-04-14,Venezia,Cantù,32.728767123287675,0,3,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,1,0,0.6,-5
2019-04-20,Venezia,Trieste,32.74520547945205,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-04-28,Venezia,Reggio Emilia,32.76712328767123,0,2,0,0,0.000,0,0,0.0,1,2,0.5,0,0,0,0,0,0,0,0,1,0.6,3
2019-05-05,Venezia,Cremona,32.78630136986301,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-05-12,Venezia,Brescia,32.8054794520548,0,22,1,5,0.200,0,4,0.0,0,0,0.0,0,0,0,2,2,0,0,2,2,1.4999999999999998,1
